Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,123.672148,[531  13] ; [78 38],[501.96363636  42.03636364] ; [107.03636364   8.96363636],1
v4,1,0.0,35.940933,[532  10] ; [100  16],[520.58358663  21.41641337] ; [111.41641337   4.58358663],1
r3,1,0.0,32.158452,[521  19] ; [96 20],[507.89634146  32.10365854] ; [109.10365854   6.89634146],1
u1,1,1.5e-05,18.770567,[124 420] ; [  6 110],[107.15151515 436.84848485] ; [22.84848485 93.15151515],1
d3,1,2e-05,18.20668,[388 153] ; [59 56],[368.63871951 172.36128049] ; [78.36128049 36.63871951],1
d1,1,3e-05,17.391711,[348 196] ; [50 66],[328.04848485 215.95151515] ; [69.95151515 46.04848485],1
s6,1,3.5e-05,17.122084,[390 142] ; [60 52],[371.73913043 160.26086957] ; [78.26086957 33.73913043],1
a5,1,7.3e-05,15.728885,[427 116] ; [71 45],[410.33990895 132.66009105] ; [87.66009105 28.33990895],1
d4,1,8.9e-05,15.357907,[451  87] ; [79 37],[435.99388379 102.00611621] ; [94.00611621 21.99388379],1
a7,1,0.000142,14.476878,[403 138] ; [66 50],[386.19330289 154.80669711] ; [82.80669711 33.19330289],1
p7,1,0.000265,13.302313,[357 168] ; [57 57],[340.14084507 184.85915493] ; [73.85915493 40.14084507],1
s8,1,0.000369,12.684491,[269 268] ; [37 79],[251.64165391 285.35834609] ; [54.35834609 61.64165391],1
v2,1,0.000584,11.825468,[310 213] ; [46 65],[293.67192429 229.32807571] ; [62.32807571 48.67192429],1
a2,1,0.000628,11.690287,[159 385] ; [ 16 100],[144.24242424 399.75757576] ; [30.75757576 85.24242424],1
p2,1,0.001119,10.6193,[461  79] ; [83 31],[449.17431193  90.82568807] ; [94.82568807 19.17431193],0
a3,1,0.001146,10.576228,[410 130] ; [71 45],[395.94512195 144.05487805] ; [85.05487805 30.94512195],0
d2,1,0.001501,10.076972,[292 248] ; [43 71],[276.60550459 263.39449541] ; [58.39449541 55.60550459],0
u3,1,0.001518,10.057157,[84 50] ; [16 29],[74.8603352 59.1396648] ; [25.1396648 19.8603352],0
n6,1,0.001656,9.896035,[496  46] ; [94 21],[486.72754947  55.27245053] ; [103.27245053  11.72754947],0
d5,1,0.002567,9.092244,[452  89] ; [83 33],[440.54033486 100.45966514] ; [94.45966514 21.54033486],0
n4,1,0.00279,8.93972,[493  51] ; [94 22],[483.83030303  60.16969697] ; [103.16969697  12.83030303],0
s5,1,0.003122,8.734889,[200 325] ; [25 83],[186.61137441 338.38862559] ; [38.38862559 69.61137441],0
p8,1,0.005773,7.619807,[303 227] ; [49 65],[289.68944099 240.31055901] ; [62.31055901 51.68944099],0
u2,1,0.006152,7.505237,[77 56] ; [15 29],[69.1299435 63.8700565] ; [22.8700565 21.1299435],0
s2,1,0.006761,7.335293,[300 235] ; [49 67],[286.81259601 248.18740399] ; [62.18740399 53.81259601],0
s7,1,0.009422,6.741105,[286 230] ; [46 64],[273.66134185 242.33865815] ; [58.33865815 51.66134185],0
p4,1,0.010204,6.598883,[350 189] ; [60 55],[337.90519878 201.09480122] ; [72.09480122 42.90519878],0
v1,1,0.019169,5.486025,[321 212] ; [54 58],[309.88372093 223.11627907] ; [65.11627907 46.88372093],0
a8,1,0.023049,5.164824,[ 80 404] ; [  9 103],[ 72.27516779 411.72483221] ; [16.72483221 95.27516779],0
a4,1,0.026662,4.912589,[268 272] ; [44 71],[257.22137405 282.77862595] ; [54.77862595 60.22137405],0
a6,1,0.032223,4.586606,[385 155] ; [71 45],[375.36585366 164.63414634] ; [80.63414634 35.36585366],0
a1,1,0.035349,4.428215,[ 25 519] ; [ 11 105],[ 29.67272727 514.32727273] ; [  6.32727273 109.67272727],0
p11,1,0.036072,4.39372,[445  99] ; [85 31],[436.84848485 107.15151515] ; [93.15151515 22.84848485],0
p10,1,0.036529,4.372244,[458  79] ; [89 26],[450.51993865  86.48006135] ; [96.48006135 18.51993865],0
s3,1,0.036989,4.350899,[322 210] ; [58 58],[311.97530864 220.02469136] ; [68.02469136 47.97530864],0
v3,1,0.037077,4.34687,[237 287] ; [39 74],[227.03924647 296.96075353] ; [48.96075353 64.03924647],0
p12,1,0.069855,3.286414,[ 52 486] ; [  5 109],[ 47.03374233 490.96625767] ; [  9.96625767 104.03374233],0
p3,1,0.094226,2.800659,[290 249] ; [52 63],[281.86238532 257.13761468] ; [60.13761468 54.86238532],0
p9,1,0.16371,1.939619,[464  71] ; [94 21],[459.27692308  75.72307692] ; [98.72307692 16.27692308],0
b4,1,0.331632,0.942513,[311 233] ; [72 44],[315.68484848 228.31515152] ; [67.31515152 48.68484848],0
p5,1,0.448305,0.574933,[ 75 462] ; [ 13 102],[ 72.47852761 464.52147239] ; [15.52147239 99.47852761],0
p6,1,0.453646,0.561527,[214 320] ; [41 72],[210.46367852 323.53632148] ; [44.53632148 68.46367852],0
