Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.0052,7.808443,[6 1] ; [ 56 109],[2.52325581 4.47674419] ; [ 59.47674419 105.52325581],0
b3,1,0.0052,7.808443,[6 1] ; [ 56 109],[2.52325581 4.47674419] ; [ 59.47674419 105.52325581],0
v3,1,0.024247,5.076907,[5 1] ; [101 165],[2.33823529 3.66176471] ; [103.66176471 162.33823529],0
a8,1,0.032505,4.571669,[2 2] ; [ 33 220],[0.54474708 3.45525292] ; [ 34.45525292 218.54474708],0
a1,1,0.040305,4.205009,[2 5] ; [ 20 251],[0.55395683 6.44604317] ; [ 21.44604317 249.55395683],0
a2,1,0.048459,3.894008,[4 3] ; [ 66 205],[1.76258993 5.23741007] ; [ 68.23741007 202.76258993],0
u1,1,0.075995,3.148538,[3 4] ; [ 46 225],[1.23381295 5.76618705] ; [ 47.76618705 223.23381295],0
d2,1,0.08439,2.978253,[6 1] ; [143 128],[3.75179856 3.24820144] ; [145.24820144 125.75179856],0
d1,1,0.126823,2.33097,[6 1] ; [154 117],[4.02877698 2.97122302] ; [155.97122302 115.02877698],0
v2,1,0.134671,2.23782,[5 1] ; [136 123],[3.19245283 2.80754717] ; [137.80754717 121.19245283],0
p5,1,0.175759,1.833122,[2 4] ; [ 37 231],[0.8540146 5.1459854] ; [ 38.1459854 229.8540146],0
a4,1,0.242906,1.363647,[5 2] ; [133 138],[3.47482014 3.52517986] ; [134.52517986 136.47482014],0
s8,1,0.254774,1.296936,[5 2] ; [134 136],[3.51263538 3.48736462] ; [135.48736462 134.51263538],0
b5,1,0.337991,0.918038,[5 2] ; [144 127],[3.75179856 3.24820144] ; [145.24820144 125.75179856],0
s7,1,0.363234,0.826681,[5 2] ; [139 118],[3.81818182 3.18181818] ; [140.18181818 116.81818182],0
b4,1,0.451912,0.565852,[5 2] ; [155 116],[4.02877698 2.97122302] ; [155.97122302 115.02877698],0
p12,1,0.466817,0.529501,[1 6] ; [ 19 250],[0.50724638 6.49275362] ; [ 19.49275362 249.50724638],0
s3,1,0.539322,0.376797,[5 2] ; [160 107],[4.21532847 2.78467153] ; [160.78467153 106.21532847],0
s5,1,0.661494,0.191714,[2 5] ; [ 96 166],[2.55018587 4.44981413] ; [ 95.44981413 166.55018587],0
d5,1,0.673406,0.177644,[6 1] ; [213  56],[5.55434783 1.44565217] ; [213.44565217  55.55434783],0
r1,1,0.676619,0.173956,[6 1] ; [214  56],[5.55956679 1.44043321] ; [214.44043321  55.55956679],0
a6,1,0.688521,0.160691,[5 2] ; [173  97],[4.49819495 2.50180505] ; [173.50180505  96.49819495],0
n4,1,0.6955,0.153196,[6 1] ; [216  55],[5.58992806 1.41007194] ; [216.41007194  54.58992806],0
p4,1,0.707884,0.1404,[5 2] ; [175  96],[4.5323741 2.4676259] ; [175.4676259  95.5323741],0
a7,1,0.817466,0.053271,[5 2] ; [181  88],[4.7173913 2.2826087] ; [181.2826087  87.7173913],0
p2,1,0.880342,0.022661,[6 1] ; [224  44],[5.85454545 1.14545455] ; [224.14545455  43.85454545],0
s2,1,0.895796,0.017154,[4 3] ; [147 122],[3.82971014 3.17028986] ; [147.17028986 121.82971014],0
p6,1,0.929877,0.007744,[3 4] ; [110 157],[2.88686131 4.11313869] ; [110.11313869 156.88686131],0
p8,1,0.942108,0.005274,[4 3] ; [150 119],[3.9057971 3.0942029] ; [150.0942029 118.9057971],0
p7,1,0.960572,0.002444,[5 2] ; [187  78],[4.94117647 2.05882353] ; [187.05882353  77.94117647],0
p3,1,0.964136,0.002022,[4 3] ; [156 113],[4.05797101 2.94202899] ; [155.94202899 113.05797101],0
