Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,6e-06,20.345361,[25  1] ; [17 24],[16.29850746  9.70149254] ; [25.70149254 15.29850746],1
s6,1,0.000332,12.878049,[15 10] ; [ 7 34],[ 8.33333333 16.66666667] ; [13.66666667 27.33333333],1
d5,1,0.000365,12.704209,[23  3] ; [19 23],[16.05882353  9.94117647] ; [25.94117647 16.05882353],1
p4,1,0.000503,12.105495,[14 12] ; [ 6 36],[ 7.64705882 18.35294118] ; [12.35294118 29.64705882],1
p11,1,0.002071,9.485832,[18  8] ; [13 29],[11.85294118 14.14705882] ; [19.14705882 22.85294118],0
r4,1,0.003372,8.594444,[13 13] ; [ 7 35],[ 7.64705882 18.35294118] ; [12.35294118 29.64705882],0
d1,1,0.003791,8.381336,[16 10] ; [11 31],[10.32352941 15.67647059] ; [16.67647059 25.32352941],0
n3,1,0.021743,5.266204,[7 1] ; [ 7 11],[4.30769231 3.69230769] ; [9.69230769 8.30769231],0
d2,1,0.028002,4.827923,[16 10] ; [14 27],[11.64179104 14.35820896] ; [18.35820896 22.64179104],0
p6,1,0.028821,4.778259,[ 8 18] ; [ 4 37],[ 4.65671642 21.34328358] ; [ 7.34328358 33.65671642],0
p2,1,0.048409,3.895713,[15 11] ; [14 28],[11.08823529 14.91176471] ; [17.91176471 24.08823529],0
n2,1,0.05659,3.634615,[7 2] ; [ 7 11],[4.66666667 4.33333333] ; [9.33333333 8.66666667],0
b4,1,0.065497,3.392412,[20  6] ; [23 19],[16.44117647  9.55882353] ; [26.55882353 15.44117647],0
d4,1,0.068778,3.311934,[21  5] ; [25 17],[17.58823529  8.41176471] ; [28.41176471 13.58823529],0
p10,1,0.068863,3.309915,[14 11] ; [14 28],[10.44776119 14.55223881] ; [17.55223881 24.44776119],0
a5,1,0.08112,3.042324,[18  8] ; [20 22],[14.52941176 11.47058824] ; [23.47058824 18.52941176],0
p9,1,0.085036,2.965927,[15  9] ; [17 25],[11.63636364 12.36363636] ; [20.36363636 21.63636364],0
n6,1,0.086258,2.942866,[17  9] ; [18 23],[13.58208955 12.41791045] ; [21.41791045 19.58208955],0
d3,1,0.091256,2.852069,[16 10] ; [17 25],[12.61764706 13.38235294] ; [20.38235294 21.61764706],0
