Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,5e-06,20.936468,[115  25] ; [15 19],[104.59770115  35.40229885] ; [25.40229885  8.59770115],1
n5,1,2.8e-05,17.531227,[105  34] ; [13 21],[94.80924855 44.19075145] ; [23.19075145 10.80924855],1
p10,1,0.000207,13.767887,[110  29] ; [15 17],[101.60818713  37.39181287] ; [23.39181287  8.60818713],1
v4,1,0.00095,10.922751,[132   8] ; [25  8],[127.05202312  12.94797688] ; [29.94797688  3.05202312],1
r3,1,0.001343,10.282325,[131   8] ; [26  8],[126.14450867  12.85549133] ; [30.85549133  3.14450867],0
p2,1,0.001427,10.170352,[111  29] ; [16 15],[103.97660819  36.02339181] ; [23.02339181  7.97660819],0
n4,1,0.001642,9.912289,[114  26] ; [19 15],[107.01149425  32.98850575] ; [25.98850575  8.01149425],0
p9,1,0.002267,9.320107,[109  27] ; [18 15],[102.20118343  33.79881657] ; [24.79881657  8.20118343],0
r4,1,0.009801,6.670635,[118  22] ; [22 12],[112.64367816  27.35632184] ; [27.35632184  6.64367816],0
p4,1,0.020919,5.333502,[70 68] ; [ 9 23],[64.12941176 73.87058824] ; [14.87058824 17.12941176],0
b1,1,0.023607,5.123293,[45 95] ; [18 16],[50.68965517 89.31034483] ; [12.31034483 21.68965517],0
n2,1,0.024975,5.025641,[24 12] ; [4 9],[20.57142857 15.42857143] ; [7.42857143 5.57142857],0
p6,1,0.031397,4.631109,[41 97] ; [ 3 26],[ 36.35928144 101.64071856] ; [ 7.64071856 21.35928144],0
p8,1,0.054347,3.702012,[74 65] ; [11 21],[69.09356725 69.90643275] ; [15.90643275 16.09356725],0
v2,1,0.058552,3.577929,[85 52] ; [14 18],[80.25443787 56.74556213] ; [18.74556213 13.25443787],0
s8,1,0.06016,3.53298,[ 38 102] ; [ 4 30],[ 33.79310345 106.20689655] ; [ 8.20689655 25.79310345],0
v1,1,0.076133,3.145585,[68 70] ; [11 23],[63.38372093 74.61627907] ; [15.61627907 18.38372093],0
p7,1,0.084899,2.968534,[82 57] ; [14 19],[77.58139535 61.41860465] ; [18.41860465 14.58139535],0
n3,1,0.10956,2.560554,[25 12] ; [5 7],[22.65306122 14.34693878] ; [7.34693878 4.65306122],0
v3,1,0.14619,2.111557,[56 77] ; [ 9 23],[52.39393939 80.60606061] ; [12.60606061 19.39393939],0
s7,1,0.152945,2.042631,[35 98] ; [ 4 25],[ 32.01851852 100.98148148] ; [ 6.98148148 22.01851852],0
b2,1,0.153924,2.032926,[40 44] ; [ 6 14],[37.15384615 46.84615385] ; [ 8.84615385 11.15384615],0
b3,1,0.153924,2.032926,[40 44] ; [ 6 14],[37.15384615 46.84615385] ; [ 8.84615385 11.15384615],0
b4,1,0.205969,1.599539,[78 62] ; [23 11],[81.26436782 58.73563218] ; [19.73563218 14.26436782],0
