Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,32.948571,[127  13] ; [13 15],[116.66666667  23.33333333] ; [23.33333333  4.66666667],1
d3,1,6e-06,20.512814,[106  34] ; [ 9 19],[95.83333333 44.16666667] ; [19.16666667  8.83333333],1
d2,1,1e-05,19.549091,[84 56] ; [ 4 24],[73.33333333 66.66666667] ; [14.66666667 13.33333333],1
a4,1,0.001067,10.706913,[74 66] ; [ 5 22],[66.22754491 73.77245509] ; [12.77245509 14.22754491],0
a2,1,0.010137,6.610732,[43 97] ; [ 2 26],[ 37.5 102.5] ; [ 7.5 20.5],0
a6,1,0.028083,4.822942,[91 49] ; [12 16],[85.83333333 54.16666667] ; [17.16666667 10.83333333],0
a3,1,0.029642,4.729926,[104  35] ; [14 12],[99.40606061 39.59393939] ; [18.59393939  7.40606061],0
v2,1,0.04496,4.020122,[73 61] ; [ 9 18],[68.2484472 65.7515528] ; [13.7515528 13.2484472],0
p1,1,0.071808,3.241194,[ 10 129] ; [ 5 23],[ 12.48502994 126.51497006] ; [ 2.51497006 25.48502994],0
p3,1,0.09233,2.83327,[58 80] ; [ 7 21],[54.03614458 83.96385542] ; [10.96385542 17.03614458],0
p9,1,0.105493,2.620469,[88 48] ; [13 14],[84.26993865 51.73006135] ; [16.73006135 10.26993865],0
r3,1,0.125398,2.348573,[123  15] ; [22  6],[120.54216867  17.45783133] ; [24.45783133  3.54216867],0
b1,1,0.12887,2.306069,[68 72] ; [18 10],[71.66666667 68.33333333] ; [14.33333333 13.66666667],0
b5,1,0.134481,2.24,[91 49] ; [14 14],[87.5 52.5] ; [17.5 10.5],0
a8,1,0.13861,2.193318,[ 12 112] ; [ 5 20],[ 14.14765101 109.85234899] ; [ 2.85234899 22.14765101],0
b4,1,0.140802,2.16917,[86 54] ; [13 15],[82.5 57.5] ; [16.5 11.5],0
s5,1,0.219667,1.506547,[45 86] ; [ 6 21],[42.28481013 88.71518987] ; [ 8.71518987 18.28481013],0
p6,1,0.219777,1.505829,[47 90] ; [ 6 21],[44.27439024 92.72560976] ; [ 8.72560976 18.27439024],0
p10,1,0.225171,1.471108,[82 53] ; [13 14],[79.16666667 55.83333333] ; [15.83333333 11.16666667],0
r2,1,0.247946,1.334838,[132   7] ; [25  3],[130.67664671   8.32335329] ; [26.32335329  1.67664671],0
n1,1,0.260243,1.267462,[25 28] ; [ 5 11],[23.04347826 29.95652174] ; [6.95652174 9.04347826],0
u2,1,0.277515,1.179218,[18 16] ; [5 9],[16.29166667 17.70833333] ; [6.70833333 7.29166667],0
a5,1,0.296078,1.091777,[99 41] ; [17 11],[96.66666667 43.33333333] ; [19.33333333  8.66666667],0
s2,1,0.316016,1.005363,[74 65] ; [12 16],[71.58083832 67.41916168] ; [14.41916168 13.58083832],0
n5,1,0.330139,0.948352,[84 55] ; [19  8],[86.24698795 52.75301205] ; [16.75301205 10.24698795],0
