Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,58.475936,[16 29] ; [86  4],[34. 11.] ; [68. 22.],1
r3,1,0.0,58.475936,[16 29] ; [86  4],[34. 11.] ; [68. 22.],1
r1,1,0.0,38.133529,[12 33] ; [73 17],[28.33333333 16.66666667] ; [56.66666667 33.33333333],1
r2,1,0.0,35.783511,[25 18] ; [88  2],[36.53383459  6.46616541] ; [76.46616541 13.53383459],1
s6,1,0.0,30.275065,[ 6 39] ; [56 32],[20.97744361 24.02255639] ; [41.02255639 46.97744361],1
p9,1,8e-06,20.000893,[10 31] ; [58 29],[21.78125 19.21875] ; [46.21875 40.78125],1
s8,1,9e-06,19.633413,[ 2 43] ; [37 53],[13. 32.] ; [26. 64.],1
p11,1,3.5e-05,17.126866,[11 34] ; [56 34],[22.33333333 22.66666667] ; [44.66666667 45.33333333],1
s2,1,3.6e-05,17.08287,[ 4 41] ; [39 49],[14.54887218 30.45112782] ; [28.45112782 59.54887218],1
n6,1,0.000108,15.0,[20 25] ; [70 20],[30. 15.] ; [60. 30.],1
p10,1,0.000695,11.503034,[12 32] ; [51 36],[21.16030534 22.83969466] ; [41.83969466 45.16030534],1
u3,1,0.000901,11.020873,[ 3 14] ; [21 10],[8.5 8.5] ; [15.5 15.5],1
p4,1,0.001307,10.332415,[ 3 42] ; [28 61],[10.41044776 34.58955224] ; [20.58955224 68.41044776],0
p3,1,0.003573,8.488778,[ 3 41] ; [26 64],[ 9.52238806 34.47761194] ; [19.47761194 70.52238806],0
u2,1,0.006604,7.377609,[ 4 13] ; [20 11],[8.5 8.5] ; [15.5 15.5],0
s5,1,0.00729,7.2,[ 4 41] ; [24 57],[10. 35.] ; [18. 63.],0
n3,1,0.012206,6.280749,[10 15] ; [24  9],[14.65517241 10.34482759] ; [19.34482759 13.65517241],0
a1,1,0.020137,5.4,[ 9 36] ; [ 6 84],[ 5. 40.] ; [10. 80.],0
p1,1,0.020137,5.4,[ 9 36] ; [ 6 84],[ 5. 40.] ; [10. 80.],0
b5,1,0.020323,5.383893,[18 27] ; [55 35],[24.33333333 20.66666667] ; [48.66666667 41.33333333],0
n2,1,0.02033,5.383329,[12 14] ; [27  9],[16.35483871  9.64516129] ; [22.64516129 13.35483871],0
s7,1,0.024929,5.02878,[ 8 34] ; [33 52],[13.55905512 28.44094488] ; [27.44094488 57.55905512],0
s3,1,0.025637,4.980359,[10 34] ; [37 50],[15.78625954 28.21374046] ; [31.21374046 55.78625954],0
a7,1,0.048115,3.905967,[21 24] ; [58 32],[26.33333333 18.66666667] ; [52.66666667 37.33333333],0
v1,1,0.056996,3.622706,[ 9 35] ; [32 55],[13.77099237 30.22900763] ; [27.22900763 59.77099237],0
p6,1,0.062418,3.471935,[ 1 42] ; [11 79],[ 3.87969925 39.12030075] ; [ 8.12030075 81.87969925],0
v3,1,0.104088,2.641767,[11 34] ; [31 49],[15.12 29.88] ; [26.88 53.12],0
d3,1,0.110711,2.544045,[21 24] ; [55 35],[25.33333333 19.66666667] ; [50.66666667 39.33333333],0
u1,1,0.130728,2.283835,[ 4 41] ; [17 73],[ 7. 38.] ; [14. 76.],0
p12,1,0.139435,2.18418,[ 1 44] ; [ 8 81],[ 3.02238806 41.97761194] ; [ 5.97761194 83.02238806],0
p8,1,0.187503,1.737132,[ 3 42] ; [13 77],[ 5.33333333 39.66666667] ; [10.66666667 79.33333333],0
v2,1,0.190826,1.711226,[13 30] ; [35 48],[16.38095238 26.61904762] ; [31.61904762 51.38095238],0
s4,1,0.196172,1.670649,[ 6 39] ; [20 68],[ 8.79699248 36.20300752] ; [17.20300752 70.79699248],0
b2,1,0.201335,1.632662,[16 14] ; [21 33],[13.21428571 16.78571429] ; [23.78571429 30.21428571],0
b3,1,0.201335,1.632662,[16 14] ; [21 33],[13.21428571 16.78571429] ; [23.78571429 30.21428571],0
a5,1,0.201425,1.632012,[26 19] ; [62 28],[29.33333333 15.66666667] ; [58.66666667 31.33333333],0
d4,1,0.2155,1.534091,[30 15] ; [69 21],[33. 12.] ; [66. 24.],0
a6,1,0.216749,1.525769,[23 22] ; [56 34],[26.33333333 18.66666667] ; [52.66666667 37.33333333],0
n5,1,0.263552,1.25,[30 15] ; [51 39],[27. 18.] ; [54. 36.],0
a2,1,0.311124,1.0259,[ 8 37] ; [23 67],[10.33333333 34.66666667] ; [20.66666667 69.33333333],0
b1,1,0.32954,0.950704,[24 21] ; [40 50],[21.33333333 23.66666667] ; [42.66666667 47.33333333],0
p5,1,0.356741,0.849334,[ 1 44] ; [ 5 82],[ 2.04545455 42.95454545] ; [ 3.95454545 83.04545455],0
s1,1,0.384168,0.757322,[ 5 40] ; [ 6 83],[ 3.69402985 41.30597015] ; [ 7.30597015 81.69402985],0
d2,1,0.422859,0.642356,[25 19] ; [44 45],[22.82706767 21.17293233] ; [46.17293233 42.82706767],0
n1,1,0.480548,0.497619,[11 15] ; [18 17],[12.36065574 13.63934426] ; [16.63934426 18.36065574],0
a4,1,0.576633,0.31171,[19 25] ; [43 46],[20.5112782 23.4887218] ; [41.4887218 47.5112782],0
d5,1,0.698535,0.15,[29 16] ; [61 29],[30. 15.] ; [60. 30.],0
d1,1,0.714933,0.133399,[21 24] ; [45 45],[22. 23.] ; [44. 46.],0
a3,1,0.761913,0.091791,[28 16] ; [59 30],[28.78195489 15.21804511] ; [58.21804511 30.78195489],0
n4,1,0.801002,0.063529,[29 16] ; [56 34],[28.33333333 16.66666667] ; [56.66666667 33.33333333],0
b4,1,0.804353,0.061364,[26 19] ; [54 36],[26.66666667 18.33333333] ; [53.33333333 36.66666667],0
a8,1,0.834507,0.043649,[ 3 41] ; [ 5 80],[ 2.72868217 41.27131783] ; [ 5.27131783 79.72868217],0
