Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.004574,8.040497,[1 7] ; [6 1],[3.73333333 4.26666667] ; [3.26666667 3.73333333],0
p2,1,0.00551,7.703804,[ 3 17] ; [9 6],[ 6.85714286 13.14285714] ; [5.14285714 9.85714286],0
p10,1,0.020153,5.398599,[ 3 16] ; [8 7],[ 6.14705882 12.85294118] ; [ 4.85294118 10.14705882],0
n4,1,0.031169,4.64364,[14  6] ; [ 5 10],[10.85714286  9.14285714] ; [8.14285714 6.85714286],0
b5,1,0.03647,4.375,[ 5 15] ; [9 6],[ 8. 12.] ; [6. 9.],0
p9,1,0.047527,3.926617,[ 5 14] ; [9 6],[ 7.82352941 11.17647059] ; [6.17647059 8.82352941],0
s6,1,0.069868,3.286111,[ 1 19] ; [ 4 11],[ 2.85714286 17.14285714] ; [ 2.14285714 12.85714286],0
p8,1,0.080171,3.06144,[ 1 18] ; [ 4 11],[ 2.79411765 16.20588235] ; [ 2.20588235 12.79411765],0
p11,1,0.087669,2.916667,[ 2 18] ; [ 5 10],[ 4. 16.] ; [ 3. 12.],0
a1,1,0.087669,2.916667,[ 6 14] ; [ 1 14],[ 4. 16.] ; [ 3. 12.],0
d5,1,0.11827,2.440087,[ 8 12] ; [10  5],[10.28571429  9.71428571] ; [7.71428571 7.28571429],0
s5,1,0.167493,1.905242,[ 1 19] ; [ 3 12],[ 2.28571429 17.71428571] ; [ 1.71428571 13.28571429],0
n3,1,0.179712,1.8,[4 8] ; [4 2],[5.33333333 6.66666667] ; [2.66666667 3.33333333],0
v2,1,0.185414,1.753684,[ 1 18] ; [ 3 12],[ 2.23529412 16.76470588] ; [ 1.76470588 13.23529412],0
b2,1,0.216522,1.527273,[8 6] ; [2 5],[6.66666667 7.33333333] ; [3.33333333 3.66666667],0
b3,1,0.216522,1.527273,[8 6] ; [2 5],[6.66666667 7.33333333] ; [3.33333333 3.66666667],0
r2,1,0.217444,1.521162,[10  9] ; [11  4],[11.73529412  7.26470588] ; [9.26470588 5.73529412],0
a7,1,0.241374,1.372549,[ 8 12] ; [9 6],[ 9.71428571 10.28571429] ; [7.28571429 7.71428571],0
p7,1,0.244607,1.353846,[ 4 16] ; [5 8],[ 5.45454545 14.54545455] ; [3.54545455 9.45454545],0
n5,1,0.278092,1.176389,[13  7] ; [7 8],[11.42857143  8.57142857] ; [8.57142857 6.42857143],0
n1,1,0.317311,1.0,[7 5] ; [2 4],[6. 6.] ; [3. 3.],0
a5,1,0.324127,0.972222,[10 10] ; [ 5 10],[ 8.57142857 11.42857143] ; [6.42857143 8.57142857],0
a4,1,0.324127,0.972222,[10 10] ; [ 5 10],[ 8.57142857 11.42857143] ; [6.42857143 8.57142857],0
s7,1,0.371408,0.798948,[ 2 16] ; [ 3 10],[ 2.90322581 15.09677419] ; [ 2.09677419 10.90322581],0
d4,1,0.379581,0.772059,[ 9 11] ; [9 6],[10.28571429  9.71428571] ; [7.71428571 7.28571429],0
s2,1,0.38347,0.759549,[ 1 19] ; [ 2 13],[ 1.71428571 18.28571429] ; [ 1.28571429 13.71428571],0
v3,1,0.393153,0.729167,[ 5 15] ; [ 2 13],[ 4. 16.] ; [ 3. 12.],0
b1,1,0.410854,0.676329,[12  8] ; [11  4],[13.14285714  6.85714286] ; [9.85714286 5.14285714],0
d2,1,0.485667,0.486111,[ 9 11] ; [ 5 10],[ 8. 12.] ; [6. 9.],0
v1,1,0.537371,0.380435,[ 6 14] ; [6 9],[ 6.85714286 13.14285714] ; [5.14285714 9.85714286],0
b4,1,0.556732,0.345395,[10 10] ; [9 6],[10.85714286  9.14285714] ; [8.14285714 6.85714286],0
a3,1,0.563293,0.334035,[12  7] ; [8 7],[11.17647059  7.82352941] ; [8.82352941 6.17647059],0
d3,1,0.693282,0.155556,[ 8 12] ; [7 8],[ 8.57142857 11.42857143] ; [6.42857143 8.57142857],0
p3,1,0.697713,0.150862,[ 3 17] ; [ 3 12],[ 3.42857143 16.57142857] ; [ 2.57142857 12.42857143],0
n2,1,0.737316,0.1125,[5 7] ; [3 3],[5.33333333 6.66666667] ; [2.66666667 3.33333333],0
s3,1,0.75494,0.097427,[ 6 13] ; [ 4 11],[ 5.58823529 13.41176471] ; [ 4.41176471 10.58823529],0
p4,1,0.759046,0.094086,[ 2 18] ; [ 2 13],[ 2.28571429 17.71428571] ; [ 1.71428571 13.28571429],0
d1,1,0.828969,0.046667,[ 6 14] ; [ 4 11],[ 5.71428571 14.28571429] ; [ 4.28571429 10.71428571],0
r1,1,0.828969,0.046667,[ 6 14] ; [ 4 11],[ 5.71428571 14.28571429] ; [ 4.28571429 10.71428571],0
s4,1,0.8891,0.019444,[ 3 17] ; [ 2 13],[ 2.85714286 17.14285714] ; [ 2.14285714 12.85714286],0
a2,1,0.8891,0.019444,[ 3 17] ; [ 2 13],[ 2.85714286 17.14285714] ; [ 2.14285714 12.85714286],0
a6,1,0.921972,0.009594,[ 9 11] ; [7 8],[ 9.14285714 10.85714286] ; [6.85714286 8.14285714],0
