Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,0.001267,10.390235,[35  9] ; [46 45],[26.4 17.6] ; [54.6 36.4],0
p3,1,0.002661,9.026163,[22 23] ; [21 69],[14.33333333 30.66666667] ; [28.66666667 61.33333333],0
b3,1,0.005091,7.846913,[ 7 25] ; [27 24],[13.10843373 18.89156627] ; [20.89156627 30.10843373],0
b2,1,0.005091,7.846913,[ 7 25] ; [27 24],[13.10843373 18.89156627] ; [20.89156627 30.10843373],0
s3,1,0.006578,7.38472,[26 19] ; [30 60],[18.66666667 26.33333333] ; [37.33333333 52.66666667],0
u2,1,0.029927,4.7135,[9 5] ; [10 23],[5.65957447 8.34042553] ; [13.34042553 19.65957447],0
s8,1,0.039372,4.244763,[15 30] ; [16 75],[10.25735294 34.74264706] ; [20.74264706 70.25735294],0
p4,1,0.06921,3.301655,[21 24] ; [28 63],[16.21323529 28.78676471] ; [32.78676471 58.21323529],0
s2,1,0.06921,3.301655,[21 24] ; [28 63],[16.21323529 28.78676471] ; [32.78676471 58.21323529],0
r4,1,0.078248,3.100929,[27 18] ; [40 51],[22.16911765 22.83088235] ; [44.83088235 46.16911765],0
r3,1,0.089258,2.887701,[38  7] ; [64 26],[34. 11.] ; [68. 22.],0
p6,1,0.091177,2.853477,[13 31] ; [15 74],[ 9.26315789 34.73684211] ; [18.73684211 70.26315789],0
n2,1,0.093081,2.820258,[13  2] ; [24 14],[10.47169811  4.52830189] ; [26.52830189 11.47169811],0
n3,1,0.094212,2.800885,[12  3] ; [21 17],[9.33962264 5.66037736] ; [23.66037736 14.33962264],0
s7,1,0.103801,2.646154,[17 26] ; [22 64],[13. 30.] ; [26. 60.],0
p10,1,0.125433,2.348133,[30 15] ; [47 42],[25.85820896 19.14179104] ; [51.14179104 37.85820896],0
v4,1,0.135512,2.228197,[37  8] ; [64 27],[33.41911765 11.58088235] ; [67.58088235 23.41911765],0
s6,1,0.162446,1.951307,[22 22] ; [34 57],[18.25185185 25.74814815] ; [37.74814815 53.25185185],0
a4,1,0.165662,1.921765,[13 32] ; [37 53],[16.66666667 28.33333333] ; [33.33333333 56.66666667],0
a2,1,0.190629,1.712751,[ 8 37] ; [ 9 82],[ 5.625 39.375] ; [11.375 79.625],0
p5,1,0.197396,1.661538,[ 3 42] ; [ 2 88],[ 1.66666667 43.33333333] ; [ 3.33333333 86.66666667],0
b1,1,0.20207,1.62735,[26 19] ; [42 49],[22.5 22.5] ; [45.5 45.5],0
p1,1,0.205469,1.603067,[ 2 43] ; [10 81],[ 3.97058824 41.02941176] ; [ 8.02941176 82.97058824],0
v2,1,0.217636,1.519888,[19 26] ; [27 59],[15.80152672 29.19847328] ; [30.19847328 55.80152672],0
d1,1,0.23495,1.410639,[15 30] ; [40 51],[18.19852941 26.80147059] ; [36.80147059 54.19852941],0
a6,1,0.239634,1.382744,[29 16] ; [49 42],[25.80882353 19.19117647] ; [52.19117647 38.80882353],0
d2,1,0.246686,1.341974,[17 28] ; [43 46],[20.14925373 24.85074627] ; [39.85074627 49.14925373],0
