Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,74.157118,[333  97] ; [63 95],[289.59183673 140.40816327] ; [106.40816327  51.59183673],1
d3,1,0.0,50.800892,[342  89] ; [78 80],[307.3344652 123.6655348] ; [112.6655348  45.3344652],1
u1,1,0.0,26.971974,[112 321] ; [ 10 148],[ 89.38409475 343.61590525] ; [ 32.61590525 125.38409475],1
a2,1,1e-06,23.169506,[134 299] ; [ 18 140],[111.36379019 321.63620981] ; [ 40.63620981 117.36379019],1
b1,1,3.3e-05,17.264092,[141 292] ; [81 77],[162.64974619 270.35025381] ; [59.35025381 98.64974619],1
b5,1,5.2e-05,16.363944,[290 143] ; [77 81],[268.88494078 164.11505922] ; [98.11505922 59.88494078],1
r1,1,0.004601,8.030019,[369  61] ; [120  38],[357.60204082  72.39795918] ; [131.39795918  26.60204082],0
d1,1,0.00781,7.076527,[277 156] ; [82 76],[263.02368866 169.97631134] ; [95.97631134 62.02368866],0
p2,1,0.011396,6.402496,[373  59] ; [122  35],[363.05602716  68.94397284] ; [131.94397284  25.05602716],0
v2,1,0.012704,6.209903,[254 160] ; [75 76],[241.07256637 172.92743363] ; [87.92743363 63.07256637],0
d4,1,0.01917,5.485938,[372  59] ; [123  34],[362.83163265  68.16836735] ; [132.16836735  24.83163265],0
r4,1,0.019631,5.444396,[410  23] ; [141  17],[403.69373942  29.30626058] ; [147.30626058  10.69373942],0
r2,1,0.021899,5.253753,[414  14] ; [144  12],[408.94520548  19.05479452] ; [149.05479452   6.94520548],0
s8,1,0.02979,4.721393,[229 201] ; [100  58],[240.5952381 189.4047619] ; [88.4047619 69.5952381],0
u3,1,0.037411,4.331611,[80 37] ; [24 23],[74.19512195 42.80487805] ; [29.80487805 17.19512195],0
v4,1,0.042098,4.131243,[420  12] ; [147  10],[415.86417657  16.13582343] ; [151.13582343   5.86417657],0
n1,1,0.043474,4.076873,[30 59] ; [21 19],[35.18604651 53.81395349] ; [15.81395349 24.18604651],0
s7,1,0.048703,3.885575,[242 172] ; [104  50],[252.19014085 161.80985915] ; [93.80985915 60.19014085],0
d5,1,0.050071,3.839071,[367  64] ; [123  34],[359.16666667  71.83333333] ; [130.83333333  26.16666667],0
n6,1,0.068759,3.312397,[376  54] ; [128  29],[369.19931857  60.80068143] ; [134.80068143  22.19931857],0
a5,1,0.133203,2.25477,[333 100] ; [112  46],[326.0321489 106.9678511] ; [118.9678511  39.0321489],0
u2,1,0.161296,1.962035,[76 41] ; [25 22],[72.05487805 44.94512195] ; [28.94512195 18.05487805],0
b2,1,0.165882,1.919771,[ 89 166] ; [44 59],[ 94.73463687 160.26536313] ; [38.26536313 64.73463687],0
b3,1,0.165882,1.919771,[ 89 166] ; [44 59],[ 94.73463687 160.26536313] ; [38.26536313 64.73463687],0
n3,1,0.18289,1.773982,[68 22] ; [25 14],[64.88372093 25.11627907] ; [28.11627907 10.88372093],0
s5,1,0.204981,1.606524,[174 246] ; [72 80],[180.62937063 239.37062937] ; [65.37062937 86.62937063],0
p10,1,0.217524,1.52063,[363  64] ; [126  30],[358.15265866  68.84734134] ; [130.84734134  25.15265866],0
s4,1,0.264465,1.245231,[ 85 341] ; [ 38 119],[ 89.87650086 336.12349914] ; [ 33.12349914 123.87650086],0
b4,1,0.269249,1.220569,[263 170] ; [88 70],[257.16243655 175.83756345] ; [93.83756345 64.16243655],0
p4,1,0.270884,1.212264,[285 145] ; [97 61],[279.3537415 150.6462585] ; [102.6462585  55.3537415],0
p3,1,0.310289,1.029446,[223 209] ; [89 69],[228.44745763 203.55254237] ; [83.55254237 74.44745763],0
a1,1,0.315296,1.008362,[ 21 412] ; [ 11 147],[ 23.44500846 409.55499154] ; [  8.55499154 149.44500846],0
p9,1,0.383468,0.759553,[376  51] ; [134  23],[372.89383562  54.10616438] ; [137.10616438  19.89383562],0
p6,1,0.464669,0.534625,[169 259] ; [66 88],[172.81786942 255.18213058] ; [62.18213058 91.81786942],0
n4,1,0.476593,0.506649,[332 100] ; [125  32],[335.18505942  96.81494058] ; [121.81494058  35.18505942],0
p7,1,0.506064,0.442198,[282 136] ; [100  55],[278.66666667 139.33333333] ; [103.33333333  51.66666667],0
a8,1,0.533392,0.387924,[ 60 328] ; [ 20 130],[ 57.69516729 330.30483271] ; [ 22.30483271 127.69516729],0
