Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,76.780727,[50 81] ; [251  60],[89.21040724 41.78959276] ; [211.78959276  99.21040724],1
d3,1,0.0,38.901491,[62 69] ; [241  70],[89.80316742 41.19683258] ; [213.19683258  97.80316742],1
a2,1,0.0,30.079039,[ 11 120] ; [105 209],[34.14831461 96.85168539] ; [ 81.85168539 232.14831461],1
b5,1,2e-06,22.759435,[53 78] ; [204 110],[75.65617978 55.34382022] ; [181.34382022 132.65617978],1
u1,1,8e-06,20.003039,[  9 122] ; [ 80 234],[ 26.2 104.8] ; [ 62.8 251.2],1
d1,1,0.005024,7.870863,[66 65] ; [203 111],[79.18876404 51.81123596] ; [189.81123596 124.18876404],0
r1,1,0.005211,7.804754,[99 32] ; [268  42],[109.01814059  21.98185941] ; [257.98185941  52.01814059],0
r4,1,0.009669,6.694832,[114  17] ; [296  18],[120.69662921  10.30337079] ; [289.30337079  24.69662921],0
r2,1,0.012595,6.225084,[116  12] ; [300  11],[121.29384966   6.70615034] ; [294.70615034  16.29384966],0
b1,1,0.022128,5.235703,[65 66] ; [119 195],[54.16629213 76.83370787] ; [129.83370787 184.16629213],0
p4,1,0.026228,4.940908,[85 45] ; [237  76],[94.49209932 35.50790068] ; [227.50790068  85.49209932],0
v4,1,0.028547,4.794744,[120   9] ; [304   8],[124.02721088   4.97278912] ; [299.97278912  12.02721088],0
d4,1,0.073065,3.212795,[99 30] ; [262  50],[105.59863946  23.40136054] ; [255.40136054  56.59863946],0
a5,1,0.080387,3.057056,[92 39] ; [245  69],[99.20674157 31.79325843] ; [237.79325843  76.20674157],0
s8,1,0.088809,2.895838,[75 56] ; [150 160],[66.83673469 64.16326531] ; [158.16326531 151.83673469],0
a3,1,0.096779,2.757839,[90 41] ; [238  74],[96.99322799 34.00677201] ; [231.00677201  80.99322799],0
p8,1,0.099388,2.71533,[83 46] ; [224  86],[90.2118451 38.7881549] ; [216.7881549  93.2118451],0
a8,1,0.104513,2.635286,[ 17 107] ; [ 57 221],[ 22.82587065 101.17412935] ; [ 51.17412935 226.82587065],0
p3,1,0.11163,2.530995,[73 57] ; [201 112],[80.40632054 49.59367946] ; [193.59367946 119.40632054],0
p1,1,0.118373,2.438716,[  8 123] ; [ 34 279],[ 12.39189189 118.60810811] ; [ 29.60810811 283.39189189],0
d5,1,0.120067,2.416448,[103  27] ; [266  46],[108.52941176  21.47058824] ; [260.47058824  51.52941176],0
s4,1,0.122922,2.379689,[ 28 103] ; [ 47 260],[ 22.43150685 108.56849315] ; [ 52.56849315 254.43150685],0
b4,1,0.124856,2.355327,[63 68] ; [176 138],[70.35730337 60.64269663] ; [168.64269663 145.35730337],0
u3,1,0.147958,2.093182,[18 23] ; [44 32],[21.72649573 19.27350427] ; [40.27350427 35.72649573],0
s6,1,0.156203,2.010601,[85 41] ; [227  79],[91. 35.] ; [221.  85.],0
s5,1,0.158569,1.987821,[58 70] ; [116 189],[51.43648961 76.56351039] ; [122.56351039 182.43648961],0
s7,1,0.164527,1.932122,[78 48] ; [161 134],[71.52969121 54.47030879] ; [167.47030879 127.52969121],0
v2,1,0.165846,1.920094,[72 56] ; [192 111],[78.4037123 49.5962877] ; [185.5962877 117.4037123],0
n2,1,0.187723,1.735397,[22  8] ; [41  7],[24.23076923  5.76923077] ; [38.76923077  9.23076923],0
b2,1,0.22783,1.454361,[40 48] ; [ 75 123],[35.38461538 52.61538462] ; [ 79.61538462 118.38461538],0
b3,1,0.22783,1.454361,[40 48] ; [ 75 123],[35.38461538 52.61538462] ; [ 79.61538462 118.38461538],0
a4,1,0.280413,1.165085,[55 75] ; [150 163],[60.15801354 69.84198646] ; [144.84198646 168.15801354],0
p9,1,0.287101,1.133166,[113  17] ; [281  30],[116.14512472  13.85487528] ; [277.85487528  33.14512472],0
r3,1,0.288046,1.128732,[124   7] ; [301  10],[125.96153846   5.03846154] ; [299.03846154  11.96153846],0
u2,1,0.302865,1.061538,[20 20] ; [45 30],[22.60869565 17.39130435] ; [42.39130435 32.60869565],0
p12,1,0.344956,0.891926,[  9 119] ; [ 31 283],[ 11.58371041 116.41628959] ; [ 28.41628959 285.58371041],0
v3,1,0.405674,0.691444,[64 67] ; [134 167],[60.04166667 70.95833333] ; [137.95833333 163.04166667],0
p5,1,0.463973,0.536292,[ 25 105] ; [ 51 261],[ 22.35294118 107.64705882] ; [ 53.64705882 258.35294118],0
p11,1,0.506389,0.441523,[113  18] ; [263  51],[110.68764045  20.31235955] ; [265.31235955  48.68764045],0
p10,1,0.535004,0.384878,[111  17] ; [278  35],[112.90702948  15.09297052] ; [276.09297052  36.90702948],0
v1,1,0.547604,0.361627,[78 51] ; [195 112],[80.77293578 48.22706422] ; [192.22706422 114.77293578],0
