Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,32.553954,[ 4 22] ; [67 20],[16.33628319  9.66371681] ; [54.66371681 32.33628319],1
d5,1,0.0,31.969146,[ 9 17] ; [77 10],[19.78761062  6.21238938] ; [66.21238938 20.78761062],1
a4,1,0.001192,10.502543,[ 1 25] ; [32 55],[ 7.59292035 18.40707965] ; [25.40707965 61.59292035],0
a6,1,0.007072,7.254713,[10 16] ; [59 28],[15.87610619 10.12389381] ; [53.12389381 33.87610619],0
a7,1,0.01164,6.3649,[13 13] ; [66 21],[18.17699115  7.82300885] ; [60.82300885 26.17699115],0
a5,1,0.01521,5.891977,[ 7 19] ; [47 40],[12.42477876 13.57522124] ; [41.57522124 45.42477876],0
u2,1,0.015293,5.882353,[ 4 12] ; [21 13],[8. 8.] ; [17. 17.],0
s5,1,0.017346,5.661032,[ 2 24] ; [26 58],[ 6.61818182 19.38181818] ; [21.38181818 62.61818182],0
d2,1,0.019377,5.467165,[ 4 22] ; [35 52],[ 8.97345133 17.02654867] ; [30.02654867 56.97345133],0
n3,1,0.030328,4.690598,[11  3] ; [19 23],[7.5 6.5] ; [22.5 19.5],0
r1,1,0.049444,3.860227,[12 14] ; [58 28],[16.25  9.75] ; [53.75 32.25],0
a3,1,0.055386,3.670439,[10 16] ; [52 35],[14.26548673 11.73451327] ; [47.73451327 39.26548673],0
n5,1,0.056409,3.639929,[12 14] ; [23 64],[ 8.05309735 17.94690265] ; [26.94690265 60.05309735],0
a8,1,0.074566,3.179534,[ 2 23] ; [ 1 80],[ 0.70754717 24.29245283] ; [ 2.29245283 78.70754717],0
a2,1,0.106358,2.607522,[ 1 25] ; [14 73],[ 3.45132743 22.54867257] ; [11.54867257 75.45132743],0
p1,1,0.197669,1.659515,[ 3 23] ; [ 4 83],[ 1.61061947 24.38938053] ; [ 5.38938053 81.61061947],0
p11,1,0.277932,1.177175,[16 10] ; [43 44],[13.57522124 12.42477876] ; [45.42477876 41.57522124],0
b4,1,0.279899,1.167578,[14 12] ; [57 30],[16.33628319  9.66371681] ; [54.66371681 32.33628319],0
s2,1,0.285692,1.139813,[ 7 19] ; [33 53],[ 9.28571429 16.71428571] ; [30.71428571 55.28571429],0
v3,1,0.322242,0.979824,[ 4 22] ; [20 61],[ 5.8317757 20.1682243] ; [18.1682243 62.8317757],0
s3,1,0.330286,0.947778,[ 8 18] ; [36 51],[10.12389381 15.87610619] ; [33.87610619 53.12389381],0
p4,1,0.335541,0.927392,[ 5 21] ; [25 62],[ 6.90265487 19.09734513] ; [23.09734513 63.90265487],0
s7,1,0.335828,0.926293,[ 4 22] ; [20 62],[ 5.77777778 20.22222222] ; [18.22222222 63.77777778],0
p9,1,0.358225,0.844107,[19  6] ; [55 28],[17.12962963  7.87037037] ; [56.87037037 26.12962963],0
v2,1,0.361734,0.831864,[ 9 16] ; [38 44],[10.98130841 14.01869159] ; [36.01869159 45.98130841],0
b2,1,0.390116,0.738579,[2 7] ; [16 27],[3.11538462 5.88461538] ; [14.88461538 28.11538462],0
b3,1,0.390116,0.738579,[2 7] ; [16 27],[3.11538462 5.88461538] ; [14.88461538 28.11538462],0
u3,1,0.392899,0.729951,[9 7] ; [24 11],[10.35294118  5.64705882] ; [22.64705882 12.35294118],0
n2,1,0.425556,0.634921,[10  4] ; [25 17],[8.75 5.25] ; [26.25 15.75],0
p3,1,0.427741,0.628949,[ 6 20] ; [14 72],[ 4.64285714 21.35714286] ; [15.35714286 70.64285714],0
b5,1,0.47112,0.519349,[17  9] ; [50 37],[15.4159292 10.5840708] ; [51.5840708 35.4159292],0
s4,1,0.47323,0.514424,[ 4 22] ; [19 68],[ 5.2920354 20.7079646] ; [17.7079646 69.2920354],0
r2,1,0.496178,0.463101,[21  5] ; [75 12],[22.08849558  3.91150442] ; [73.91150442 13.08849558],0
p10,1,0.502274,0.450128,[16  9] ; [48 37],[14.54545455 10.45454545] ; [49.45454545 35.54545455],0
n1,1,0.524293,0.40544,[ 3 11] ; [13 30],[ 3.92982456 10.07017544] ; [12.07017544 30.92982456],0
n6,1,0.536449,0.382162,[17  9] ; [51 36],[15.6460177 10.3539823] ; [52.3539823 34.6460177],0
s1,1,0.536918,0.381283,[ 2 24] ; [ 4 83],[ 1.38053097 24.61946903] ; [ 4.61946903 82.38053097],0
b1,1,0.552171,0.353442,[10 16] ; [28 59],[ 8.74336283 17.25663717] ; [29.25663717 57.74336283],0
r3,1,0.717777,0.130633,[22  4] ; [76 11],[22.54867257  3.45132743] ; [75.45132743 11.54867257],0
v1,1,0.728802,0.120215,[ 9 17] ; [33 53],[ 9.75 16.25] ; [32.25 53.75],0
v4,1,0.766233,0.088391,[23  3] ; [75 12],[22.54867257  3.45132743] ; [75.45132743 11.54867257],0
s6,1,0.810372,0.057574,[12 14] ; [42 44],[12.53571429 13.46428571] ; [41.46428571 44.53571429],0
p2,1,0.820429,0.051526,[15 11] ; [48 39],[14.49557522 11.50442478] ; [48.50442478 38.49557522],0
r4,1,0.841402,0.04004,[18  8] ; [62 25],[18.40707965  7.59292035] ; [61.59292035 25.40707965],0
p8,1,0.915919,0.011146,[ 6 20] ; [19 67],[ 5.80357143 20.19642857] ; [19.19642857 66.80357143],0
p5,1,0.931353,0.007421,[ 1 25] ; [ 3 83],[ 0.92857143 25.07142857] ; [ 3.07142857 82.92857143],0
s8,1,0.992501,8.8e-05,[ 6 20] ; [20 67],[ 5.98230088 20.01769912] ; [20.01769912 66.98230088],0
