Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,3e-06,21.946985,[ 4 11] ; [57 10],[11.15853659  3.84146341] ; [49.84146341 17.15853659],1
p7,1,0.000328,12.901707,[ 3 12] ; [45 19],[9.11392405 5.88607595] ; [38.88607595 25.11392405],1
p8,1,0.001809,9.733955,[ 1 14] ; [34 33],[6.40243902 8.59756098] ; [28.59756098 38.40243902],0
d3,1,0.010376,6.569148,[7 8] ; [53 14],[10.97560976  4.02439024] ; [49.02439024 17.97560976],0
a6,1,0.037267,4.338186,[6 9] ; [46 21],[9.51219512 5.48780488] ; [42.48780488 24.51219512],0
p3,1,0.045554,3.99801,[ 4 11] ; [37 30],[7.5 7.5] ; [33.5 33.5],0
n1,1,0.056478,3.637908,[4 2] ; [ 4 13],[2.08695652 3.91304348] ; [ 5.91304348 11.08695652],0
p9,1,0.076237,3.143348,[10  4] ; [59  7],[12.075  1.925] ; [56.925  9.075],0
s4,1,0.119364,2.425652,[6 9] ; [14 53],[ 3.65853659 11.34146341] ; [16.34146341 50.65853659],0
s5,1,0.162725,1.948718,[7 6] ; [21 42],[4.78947368 8.21052632] ; [23.21052632 39.78947368],0
v1,1,0.231332,1.432653,[9 6] ; [27 36],[6.92307692 8.07692308] ; [29.07692308 33.92307692],0
p4,1,0.285878,1.138931,[6 9] ; [37 30],[7.86585366 7.13414634] ; [35.13414634 31.86585366],0
n6,1,0.330904,0.945358,[8 7] ; [44 22],[9.62962963 5.37037037] ; [42.37037037 23.62962963],0
b1,1,0.369839,0.804205,[7 8] ; [23 44],[5.48780488 9.51219512] ; [24.51219512 42.48780488],0
a5,1,0.375982,0.783799,[9 6] ; [48 19],[10.42682927  4.57317073] ; [46.57317073 20.42682927],0
s2,1,0.377609,0.778472,[11  4] ; [41 26],[9.51219512 5.48780488] ; [42.48780488 24.51219512],0
p10,1,0.393222,0.728955,[10  4] ; [53 12],[11.16455696  2.83544304] ; [51.83544304 13.16455696],0
n3,1,0.423206,0.641394,[4 2] ; [14  3],[4.69565217 1.30434783] ; [13.30434783  3.69565217],0
a2,1,0.434238,0.61146,[ 2 13] ; [15 52],[ 3.1097561 11.8902439] ; [13.8902439 53.1097561],0
d2,1,0.45166,0.566482,[9 6] ; [33 34],[7.68292683 7.31707317] ; [34.31707317 32.68292683],0
p1,1,0.458873,0.548643,[ 1 14] ; [ 9 57],[ 1.85185185 13.14814815] ; [ 8.14814815 57.85185185],0
v2,1,0.481931,0.49449,[9 5] ; [34 29],[7.81818182 6.18181818] ; [35.18181818 27.81818182],0
u1,1,0.504105,0.446284,[ 2 13] ; [14 53],[ 2.92682927 12.07317073] ; [13.07317073 53.92682927],0
p11,1,0.529372,0.395598,[10  5] ; [50 17],[10.97560976  4.02439024] ; [49.02439024 17.97560976],0
s3,1,0.596869,0.279744,[9 6] ; [45 22],[9.87804878 5.12195122] ; [44.12195122 22.87804878],0
n4,1,0.620431,0.245263,[8 7] ; [31 36],[7.13414634 7.86585366] ; [31.86585366 35.13414634],0
d1,1,0.65089,0.20478,[8 7] ; [40 27],[8.7804878 6.2195122] ; [39.2195122 27.7804878],0
a4,1,0.65089,0.20478,[7 8] ; [27 40],[6.2195122 8.7804878] ; [27.7804878 39.2195122],0
d4,1,0.670212,0.181354,[13  2] ; [55 12],[12.43902439  2.56097561] ; [55.56097561 11.43902439],0
p12,1,0.675504,0.175231,[ 1 13] ; [ 3 64],[ 0.69135802 13.30864198] ; [ 3.30864198 63.69135802],0
r1,1,0.747461,0.103677,[12  3] ; [51 16],[11.52439024  3.47560976] ; [51.47560976 15.52439024],0
r2,1,0.751403,0.100356,[14  1] ; [59  6],[13.6875  1.3125] ; [59.3125  5.6875],0
b5,1,0.772365,0.083684,[10  5] ; [42 25],[9.51219512 5.48780488] ; [42.48780488 24.51219512],0
b4,1,0.772365,0.083684,[10  5] ; [42 25],[9.51219512 5.48780488] ; [42.48780488 24.51219512],0
a8,1,0.788797,0.071756,[ 2 13] ; [10 52],[ 2.33766234 12.66233766] ; [ 9.66233766 52.33766234],0
v3,1,0.8021,0.062815,[4 9] ; [22 42],[4.38961039 8.61038961] ; [21.61038961 42.38961039],0
s7,1,0.815562,0.054408,[9 5] ; [39 25],[8.61538462 5.38461538] ; [39.38461538 24.61538462],0
b2,1,0.846026,0.03771,[4 8] ; [16 28],[4.28571429 7.71428571] ; [15.71428571 28.28571429],0
b3,1,0.846026,0.03771,[4 8] ; [16 28],[4.28571429 7.71428571] ; [15.71428571 28.28571429],0
p6,1,0.880655,0.022542,[ 5 10] ; [23 42],[5.25 9.75] ; [22.75 42.25],0
a3,1,0.880987,0.022415,[10  5] ; [46 21],[10.24390244  4.75609756] ; [45.75609756 21.24390244],0
a1,1,0.918833,0.010384,[ 1 14] ; [ 4 63],[ 0.91463415 14.08536585] ; [ 4.08536585 62.91463415],0
n2,1,0.930912,0.007516,[4 2] ; [11  6],[3.91304348 2.08695652] ; [11.08695652  5.91304348],0
d5,1,0.957939,0.002782,[12  3] ; [54 13],[12.07317073  2.92682927] ; [53.92682927 13.07317073],0
u3,1,0.961268,0.002358,[4 1] ; [17  4],[4.03846154 0.96153846] ; [16.96153846  4.03846154],0
