Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.3e-05,19.01397,[11 71] ; [18 17],[20.32478632 61.67521368] ; [ 8.67521368 26.32478632],1
s3,1,7.7e-05,15.619851,[16 64] ; [20 15],[25.04347826 54.95652174] ; [10.95652174 24.04347826],1
s8,1,0.001116,10.624435,[ 8 75] ; [12 23],[14.06779661 68.93220339] ; [ 5.93220339 29.06779661],0
p2,1,0.001666,9.885611,[36 45] ; [26  8],[43.66956522 37.33043478] ; [18.33043478 15.66956522],0
p11,1,0.001671,9.879439,[33 50] ; [25 10],[40.79661017 42.20338983] ; [17.20338983 17.79661017],0
r3,1,0.003101,8.747022,[36 45] ; [26  9],[43.29310345 37.70689655] ; [18.70689655 16.29310345],0
b5,1,0.006469,7.41469,[39 44] ; [26  9],[45.72033898 37.27966102] ; [19.27966102 15.72033898],0
v2,1,0.009741,6.681613,[21 59] ; [17 16],[26.90265487 53.09734513] ; [11.09734513 21.90265487],0
v1,1,0.01823,5.573872,[22 59] ; [17 17],[27.46956522 53.53043478] ; [11.53043478 22.46956522],0
p7,1,0.021731,5.267193,[24 56] ; [17 15],[29.28571429 50.71428571] ; [11.71428571 20.28571429],0
n6,1,0.044064,4.054121,[41 39] ; [25 10],[45.91304348 34.08695652] ; [20.08695652 14.91304348],0
b3,1,0.060941,3.51159,[20 27] ; [ 4 17],[16.58823529 30.41176471] ; [ 7.41176471 13.58823529],0
b2,1,0.060941,3.51159,[20 27] ; [ 4 17],[16.58823529 30.41176471] ; [ 7.41176471 13.58823529],0
v4,1,0.061594,3.493945,[45 37] ; [25  9],[49.48275862 32.51724138] ; [20.51724138 13.48275862],0
p9,1,0.066084,3.377701,[39 39] ; [24 11],[43.48672566 34.51327434] ; [19.51327434 15.48672566],0
s7,1,0.079632,3.072391,[16 59] ; [13 22],[19.77272727 55.22727273] ; [ 9.22727273 25.77272727],0
v3,1,0.08636,2.94095,[16 66] ; [12 23],[19.62393162 62.37606838] ; [ 8.37606838 26.62393162],0
a6,1,0.098765,2.72537,[36 47] ; [21 14],[40.09322034 42.90677966] ; [16.90677966 18.09322034],0
d3,1,0.110696,2.544262,[36 46] ; [21 14],[39.94871795 42.05128205] ; [17.05128205 17.94871795],0
d4,1,0.115905,2.471802,[49 34] ; [26  9],[52.75423729 30.24576271] ; [22.24576271 12.75423729],0
n3,1,0.115969,2.47094,[22 22] ; [11  4],[24.61016949 19.38983051] ; [8.38983051 6.61016949],0
s4,1,0.135796,2.224962,[10 73] ; [ 8 27],[12.66101695 70.33898305] ; [ 5.33898305 29.66101695],0
d5,1,0.148352,2.089117,[45 38] ; [24 11],[48.53389831 34.46610169] ; [20.46610169 14.53389831],0
s1,1,0.15038,2.068388,[ 9 73] ; [ 1 34],[ 7.00854701 74.99145299] ; [ 2.99145299 32.00854701],0
u3,1,0.156049,2.012104,[ 9 27] ; [6 7],[11.02040816 24.97959184] ; [3.97959184 9.02040816],0
p4,1,0.16629,1.916073,[24 57] ; [15 20],[27.23275862 53.76724138] ; [11.76724138 23.23275862],0
p1,1,0.204923,1.606939,[ 8 75] ; [ 1 34],[ 6.33050847 76.66949153] ; [ 2.66949153 32.33050847],0
n4,1,0.253803,1.302245,[47 35] ; [24 11],[49.76068376 32.23931624] ; [21.23931624 13.76068376],0
u2,1,0.26478,1.243593,[13 23] ; [7 6],[14.69387755 21.30612245] ; [5.30612245 7.69387755],0
u1,1,0.271057,1.211388,[ 7 76] ; [ 1 34],[ 5.62711864 77.37288136] ; [ 2.37288136 32.62711864],0
b4,1,0.27776,1.178016,[47 36] ; [16 19],[44.31355932 38.68644068] ; [18.68644068 16.31355932],0
