Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,36.663613,[78  3] ; [1 4],[74.40697674  6.59302326] ; [4.59302326 0.40697674],1
r2,1,1e-06,23.298238,[79  2] ; [3 3],[76.34482759  4.65517241] ; [5.65517241 0.34482759],1
v4,1,0.00011,14.957422,[79  2] ; [3 2],[77.23255814  3.76744186] ; [4.76744186 0.23255814],1
a4,1,0.065573,3.390509,[36 45] ; [5 1],[38.17241379 42.82758621] ; [2.82758621 3.17241379],0
s2,1,0.074869,3.172916,[49 32] ; [1 4],[47.09302326 33.90697674] ; [2.90697674 2.09302326],0
a2,1,0.083572,2.994023,[16 65] ; [3 3],[17.68965517 63.31034483] ; [1.31034483 4.68965517],0
s6,1,0.105899,2.614379,[65 10] ; [3 2],[63.75 11.25] ; [4.25 0.75],0
p2,1,0.114019,2.497608,[72  9] ; [4 2],[70.75862069 10.24137931] ; [5.24137931 0.75862069],0
p4,1,0.12268,2.382774,[70  9] ; [4 2],[68.77647059 10.22352941] ; [5.22352941 0.77647059],0
s5,1,0.17512,1.838557,[52 23] ; [2 3],[50.625 24.375] ; [3.375 1.625],0
p7,1,0.218587,1.513626,[65 14] ; [3 2],[63.95238095 15.04761905] ; [4.04761905 0.95238095],0
b4,1,0.222517,1.488065,[47 34] ; [5 1],[48.4137931 32.5862069] ; [3.5862069 2.4137931],0
n6,1,0.238857,1.387325,[76  4] ; [5 1],[75.34883721  4.65116279] ; [5.65116279 0.34883721],0
b1,1,0.239351,1.384413,[34 47] ; [4 2],[35.37931034 45.62068966] ; [2.62068966 3.37931034],0
a6,1,0.305316,1.050831,[50 30] ; [5 1],[51.1627907 28.8372093] ; [3.8372093 2.1627907],0
d1,1,0.314746,1.010657,[51 30] ; [5 1],[52.13793103 28.86206897] ; [3.86206897 2.13793103],0
n3,1,0.322888,0.977211,[9 5] ; [1 2],[8.23529412 5.76470588] ; [1.76470588 1.23529412],0
v1,1,0.356426,0.850445,[54 25] ; [3 3],[52.97647059 26.02352941] ; [4.02352941 1.97647059],0
d3,1,0.420244,0.649634,[54 26] ; [5 1],[54.88372093 25.11627907] ; [4.11627907 1.88372093],0
p3,1,0.438744,0.599564,[64 16] ; [4 2],[63.25581395 16.74418605] ; [4.74418605 1.25581395],0
p8,1,0.438744,0.599564,[64 16] ; [4 2],[63.25581395 16.74418605] ; [4.74418605 1.25581395],0
p6,1,0.460471,0.544751,[52 28] ; [3 3],[51.1627907 28.8372093] ; [3.8372093 2.1627907],0
n4,1,0.511587,0.430819,[74  7] ; [5 1],[73.55172414  7.44827586] ; [5.44827586 0.55172414],0
u1,1,0.532535,0.389552,[18 63] ; [2 4],[18.62068966 62.37931034] ; [1.37931034 4.62068966],0
v3,1,0.533187,0.388314,[49 29] ; [3 3],[48.28571429 29.71428571] ; [3.71428571 2.28571429],0
v2,1,0.667436,0.184615,[46 32] ; [3 3],[45.5 32.5] ; [3.5 2.5],0
p12,1,0.744101,0.106555,[22 59] ; [2 4],[22.34482759 58.65517241] ; [1.65517241 4.34482759],0
a7,1,0.744101,0.106555,[59 22] ; [4 2],[58.65517241 22.34482759] ; [4.34482759 1.65517241],0
s7,1,0.766793,0.087955,[57 20] ; [4 1],[57.2804878 19.7195122] ; [3.7195122 1.2804878],0
s3,1,0.774898,0.081781,[53 27] ; [3 2],[52.70588235 27.29411765] ; [3.29411765 1.70588235],0
s8,1,0.790566,0.070531,[52 27] ; [3 2],[51.72619048 27.27380952] ; [3.27380952 1.72619048],0
n1,1,0.868645,0.02735,[8 5] ; [2 1],[8.125 4.875] ; [1.875 1.125],0
b2,1,0.879849,0.022849,[29 33] ; [3 3],[29.17647059 32.82352941] ; [2.82352941 3.17647059],0
b3,1,0.879849,0.022849,[29 33] ; [3 3],[29.17647059 32.82352941] ; [2.82352941 3.17647059],0
b5,1,0.883813,0.021356,[38 43] ; [3 3],[38.17241379 42.82758621] ; [2.82758621 3.17241379],0
p11,1,0.902288,0.015073,[69 12] ; [5 1],[68.89655172 12.10344828] ; [5.10344828 0.89655172],0
p1,1,0.950198,0.003901,[26 55] ; [2 4],[26.06896552 54.93103448] ; [1.93103448 4.06896552],0
a3,1,0.969191,0.001492,[67 14] ; [5 1],[67.03448276 13.96551724] ; [4.96551724 1.03448276],0
