Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,29.405596,[34 31] ; [101  13],[49.02234637 15.97765363] ; [85.97765363 28.02234637],1
r2,1,2.5e-05,17.777474,[46 19] ; [107   7],[55.55865922  9.44134078] ; [97.44134078 16.55865922],1
a5,1,0.000712,11.457187,[24 41] ; [72 42],[34.8603352 30.1396648] ; [61.1396648 52.8603352],1
v2,1,0.001007,10.815175,[13 51] ; [48 58],[22.96470588 41.03529412] ; [38.03529412 67.96470588],0
s6,1,0.002302,9.291346,[21 43] ; [64 49],[30.73446328 33.26553672] ; [54.26553672 58.73446328],0
s8,1,0.003528,8.512189,[ 7 58] ; [34 80],[14.88826816 50.11173184] ; [26.11173184 87.88826816],0
v4,1,0.003768,8.392156,[48 17] ; [102  11],[54.7752809 10.2247191] ; [95.2247191 17.7752809],0
r3,1,0.00476,7.968486,[46 18] ; [101  13],[52.85393258 11.14606742] ; [94.14606742 19.85393258],0
a6,1,0.014439,5.9837,[30 35] ; [74 40],[37.76536313 27.23463687] ; [66.23463687 47.76536313],0
p3,1,0.016111,5.790697,[ 9 56] ; [34 80],[15.61452514 49.38547486] ; [27.38547486 86.61452514],0
u3,1,0.045139,4.013437,[13 23] ; [29 21],[17.58139535 18.41860465] ; [24.41860465 25.58139535],0
s1,1,0.048154,3.904606,[ 1 64] ; [ 10 101],[ 4.0625 60.9375] ; [  6.9375 104.0625],0
p11,1,0.061786,3.488786,[36 29] ; [79 35],[41.75977654 23.24022346] ; [73.24022346 40.75977654],0
p4,1,0.06835,3.322218,[14 51] ; [39 74],[19.35393258 45.64606742] ; [33.64606742 79.35393258],0
a3,1,0.107634,2.588626,[29 36] ; [64 48],[34.15254237 30.84745763] ; [58.84745763 53.15254237],0
v1,1,0.115359,2.479226,[21 42] ; [51 61],[25.92 37.08] ; [46.08 65.92],0
b2,1,0.115364,2.479153,[15 15] ; [19 39],[11.59090909 18.40909091] ; [22.40909091 35.59090909],0
b3,1,0.115364,2.479153,[15 15] ; [19 39],[11.59090909 18.40909091] ; [22.40909091 35.59090909],0
d3,1,0.136812,2.213457,[19 46] ; [46 68],[23.60335196 41.39664804] ; [41.39664804 72.60335196],0
s3,1,0.138812,2.191079,[19 45] ; [45 65],[23.54022989 40.45977011] ; [40.45977011 69.54022989],0
n4,1,0.15125,2.059594,[40 25] ; [82 32],[44.30167598 20.69832402] ; [77.69832402 36.30167598],0
n5,1,0.169114,1.890778,[46 19] ; [69 45],[41.75977654 23.24022346] ; [73.24022346 40.75977654],0
s2,1,0.169394,1.888294,[16 49] ; [38 72],[20.05714286 44.94285714] ; [33.94285714 76.05714286],0
d4,1,0.187675,1.735773,[31 34] ; [66 48],[35.22346369 29.77653631] ; [61.77653631 52.22346369],0
a7,1,0.192568,1.697863,[34 31] ; [71 43],[38.12849162 26.87150838] ; [66.87150838 47.12849162],0
b1,1,0.193806,1.688445,[28 37] ; [38 76],[23.96648045 41.03351955] ; [42.03351955 71.96648045],0
u2,1,0.195841,1.673123,[14 22] ; [26 23],[16.94117647 19.05882353] ; [23.05882353 25.94117647],0
p2,1,0.207847,1.586363,[36 29] ; [74 40],[39.94413408 25.05586592] ; [70.05586592 43.94413408],0
u1,1,0.270234,1.215559,[ 2 63] ; [  1 113],[ 1.08938547 63.91061453] ; [  1.91061453 112.08938547],0
v3,1,0.287333,1.132078,[15 50] ; [33 75],[18.03468208 46.96531792] ; [29.96531792 78.03468208],0
d5,1,0.302286,1.064082,[29 36] ; [60 54],[32.31843575 32.68156425] ; [56.68156425 57.31843575],0
p9,1,0.332302,0.939905,[46 15] ; [78 36],[43.22285714 17.77714286] ; [80.77714286 33.22285714],0
a1,1,0.354303,0.857986,[ 5 60] ; [  5 109],[ 3.63128492 61.36871508] ; [  6.36871508 107.63128492],0
d2,1,0.355707,0.852991,[13 51] ; [17 97],[10.78651685 53.21348315] ; [19.21348315 94.78651685],0
a2,1,0.367067,0.81357,[ 2 63] ; [  7 107],[ 3.26815642 61.73184358] ; [  5.73184358 108.26815642],0
b5,1,0.376747,0.781288,[42 23] ; [66 48],[39.21787709 25.78212291] ; [68.78212291 45.21787709],0
s7,1,0.378399,0.775898,[15 49] ; [32 76],[17.48837209 46.51162791] ; [29.51162791 78.48837209],0
a4,1,0.455621,0.55663,[14 51] ; [30 83],[16.06741573 48.93258427] ; [27.93258427 85.06741573],0
p6,1,0.495816,0.463881,[ 7 57] ; [  9 105],[ 5.75280899 58.24719101] ; [ 10.24719101 103.75280899],0
p10,1,0.572357,0.318755,[38 25] ; [73 40],[39.73295455 23.26704545] ; [71.26704545 41.73295455],0
a8,1,0.585422,0.297551,[ 9 51] ; [13 95],[ 7.85714286 52.14285714] ; [14.14285714 93.85714286],0
s5,1,0.621576,0.243659,[11 52] ; [22 85],[12.22941176 50.77058824] ; [20.77058824 86.22941176],0
p12,1,0.669892,0.181729,[ 2 62] ; [  5 108],[ 2.53107345 61.46892655] ; [  4.46892655 108.53107345],0
n3,1,0.69281,0.15606,[14  7] ; [19 12],[13.32692308  7.67307692] ; [19.67307692 11.32692308],0
n2,1,0.723428,0.125232,[15  6] ; [25  8],[15.55555556  5.44444444] ; [24.44444444  8.55555556],0
b4,1,0.739173,0.110855,[40 25] ; [73 41],[41.03351955 23.96648045] ; [71.96648045 42.03351955],0
n6,1,0.825912,0.048377,[45 20] ; [80 33],[45.64606742 19.35393258] ; [79.35393258 33.64606742],0
p5,1,0.848739,0.036377,[ 3 62] ; [  6 108],[ 3.26815642 61.73184358] ; [  5.73184358 108.26815642],0
p8,1,0.927559,0.008266,[14 51] ; [25 88],[14.24157303 50.75842697] ; [24.75842697 88.24157303],0
p1,1,0.931772,0.00733,[ 6 59] ; [ 10 103],[ 5.84269663 59.15730337] ; [ 10.15730337 102.84269663],0
s4,1,0.96477,0.001951,[11 54] ; [19 95],[10.89385475 54.10614525] ; [19.10614525 94.89385475],0
n1,1,0.965123,0.001912,[ 8 13] ; [12 20],[ 7.9245283 13.0754717] ; [12.0754717 19.9245283],0
