Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,9.1e-05,15.3125,[31  5] ; [ 9 15],[24. 12.] ; [16.  8.],1
n6,1,0.00026,13.339248,[33  2] ; [13 11],[27.28813559  7.71186441] ; [18.71186441  5.28813559],1
n5,1,0.000698,11.495215,[29  7] ; [ 9 15],[22.8 13.2] ; [15.2  8.8],1
u1,1,0.020583,5.361781,[10 26] ; [ 1 23],[ 6.6 29.4] ; [ 4.4 19.6],0
d1,1,0.026098,4.949495,[24 12] ; [ 9 15],[19.8 16.2] ; [13.2 10.8],0
p9,1,0.054091,3.709884,[28  8] ; [13 11],[24.6 11.4] ; [16.4  7.6],0
v4,1,0.070926,3.261456,[34  2] ; [19  5],[31.8  4.2] ; [21.2  2.8],0
p10,1,0.080133,3.062201,[26 10] ; [12 12],[22.8 13.2] ; [15.2  8.8],0
n3,1,0.088676,2.898254,[9 1] ; [5 4],[7.36842105 2.63157895] ; [6.63157895 2.36842105],0
r1,1,0.107364,2.592593,[28  8] ; [14 10],[25.2 10.8] ; [16.8  7.2],0
d4,1,0.121291,2.400568,[29  7] ; [15  9],[26.4  9.6] ; [17.6  6.4],0
p5,1,0.123565,2.371542,[ 6 27] ; [ 1 22],[ 4.125 28.875] ; [ 2.875 20.125],0
s8,1,0.138031,2.199776,[19 17] ; [ 8 16],[16.2 19.8] ; [10.8 13.2],0
b2,1,0.146812,2.105067,[12 15] ; [ 3 11],[ 9.87804878 17.12195122] ; [5.12195122 8.87804878],0
b3,1,0.146812,2.105067,[12 15] ; [ 3 11],[ 9.87804878 17.12195122] ; [5.12195122 8.87804878],0
r4,1,0.157299,2.0,[32  4] ; [18  6],[30.  6.] ; [20.  4.],0
p3,1,0.166767,1.911765,[23 13] ; [11 13],[20.4 15.6] ; [13.6 10.4],0
d3,1,0.24388,1.358025,[22 14] ; [11 13],[19.8 16.2] ; [13.2 10.8],0
r2,1,0.324593,0.97035,[33  3] ; [20  4],[31.8  4.2] ; [21.2  2.8],0
p1,1,0.333393,0.935673,[ 1 35] ; [ 2 22],[ 1.8 34.2] ; [ 1.2 22.8],0
p12,1,0.340356,0.909091,[ 4 32] ; [ 1 23],[ 3. 33.] ; [ 2. 22.],0
a6,1,0.341707,0.904018,[21 15] ; [11 13],[19.2 16.8] ; [12.8 11.2],0
p8,1,0.371646,0.798152,[13 23] ; [11 12],[14.6440678 21.3559322] ; [ 9.3559322 13.6440678],0
p7,1,0.392787,0.730298,[15 20] ; [13 11],[16.61016949 18.38983051] ; [11.38983051 12.61016949],0
b4,1,0.394841,0.723982,[22 14] ; [12 12],[20.4 15.6] ; [13.6 10.4],0
a7,1,0.394841,0.723982,[22 14] ; [12 12],[20.4 15.6] ; [13.6 10.4],0
n2,1,0.509893,0.434286,[8 2] ; [6 3],[7.36842105 2.63157895] ; [6.63157895 2.36842105],0
