Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,7.2e-05,15.76087,[2 5] ; [86 13],[5.81132075 1.18867925] ; [82.18867925 16.81132075],1
r1,1,0.0018,9.743165,[1 6] ; [70 28],[4.73333333 2.26666667] ; [66.26666667 31.73333333],0
d5,1,0.004177,8.205128,[2 5] ; [76 22],[5.2 1.8] ; [72.8 25.2],0
a1,1,0.006641,7.367484,[2 5] ; [ 4 95],[0.39622642 6.60377358] ; [ 5.60377358 93.39622642],0
v4,1,0.007001,7.272727,[5 2] ; [94  4],[6.6 0.4] ; [92.4  5.6],0
p9,1,0.007148,7.235468,[3 4] ; [79 15],[5.68316832 1.31683168] ; [76.31683168 17.68316832],0
a8,1,0.009617,6.704468,[2 5] ; [ 4 88],[0.42424242 6.57575758] ; [ 5.57575758 86.42424242],0
b1,1,0.042239,4.125608,[5 2] ; [33 66],[2.50943396 4.49056604] ; [35.49056604 63.50943396],0
d1,1,0.044696,4.030077,[1 6] ; [53 46],[3.56603774 3.43396226] ; [50.43396226 48.56603774],0
s8,1,0.044696,4.030077,[1 6] ; [53 46],[3.56603774 3.43396226] ; [50.43396226 48.56603774],0
p4,1,0.053587,3.725508,[6 1] ; [47 51],[3.53333333 3.46666667] ; [49.46666667 48.53333333],0
a7,1,0.059111,3.562152,[3 4] ; [74 24],[5.13333333 1.86666667] ; [71.86666667 26.13333333],0
r3,1,0.060289,3.529412,[6 1] ; [96  2],[6.8 0.2] ; [95.2  2.8],0
s3,1,0.075142,3.166965,[4 3] ; [83 16],[5.74528302 1.25471698] ; [81.25471698 17.74528302],0
s7,1,0.076599,3.135634,[1 6] ; [45 47],[3.25252525 3.74747475] ; [42.74747475 49.25252525],0
b4,1,0.085297,2.960974,[2 5] ; [61 38],[4.16037736 2.83962264] ; [58.83962264 40.16037736],0
p7,1,0.13832,2.196552,[6 1] ; [52 39],[4.14285714 2.85714286] ; [53.85714286 37.14285714],0
p8,1,0.140046,2.177458,[5 2] ; [41 55],[3.12621359 3.87378641] ; [42.87378641 53.12621359],0
p5,1,0.14007,2.177185,[1 6] ; [ 3 93],[0.27184466 6.72815534] ; [ 3.72815534 92.27184466],0
p6,1,0.153306,2.039044,[4 3] ; [30 67],[2.28846154 4.71153846] ; [31.71153846 65.28846154],0
p10,1,0.18902,1.725241,[4 3] ; [74 20],[5.40594059 1.59405941] ; [72.59405941 21.40594059],0
s4,1,0.201351,1.632549,[1 6] ; [38 61],[2.5754717 4.4245283] ; [36.4245283 62.5754717],0
v2,1,0.206691,1.594456,[2 5] ; [48 42],[3.60824742 3.39175258] ; [46.39175258 43.60824742],0
n6,1,0.266332,1.235542,[3 4] ; [62 35],[4.375 2.625] ; [60.625 36.375],0
p3,1,0.282745,1.153846,[4 3] ; [36 62],[2.66666667 4.33333333] ; [37.33333333 60.66666667],0
p12,1,0.316993,1.001312,[1 6] ; [ 5 92],[0.40384615 6.59615385] ; [ 5.59615385 91.40384615],0
a4,1,0.319229,0.992101,[1 6] ; [32 67],[2.17924528 4.82075472] ; [30.82075472 68.17924528],0
a6,1,0.319229,0.992101,[6 1] ; [67 32],[4.82075472 2.17924528] ; [68.17924528 30.82075472],0
s5,1,0.323321,0.975464,[2 5] ; [45 49],[3.25742574 3.74257426] ; [43.74257426 50.25742574],0
p2,1,0.32505,0.968518,[4 3] ; [72 25],[5.11538462 1.88461538] ; [70.88461538 26.11538462],0
v3,1,0.488441,0.47996,[1 6] ; [24 68],[1.76767677 5.23232323] ; [23.23232323 68.76767677],0
d3,1,0.539788,0.375932,[4 3] ; [67 31],[4.73333333 2.26666667] ; [66.26666667 31.73333333],0
n1,1,0.564746,0.331553,[1 1] ; [11 25],[0.63157895 1.36842105] ; [11.36842105 24.63157895],0
v1,1,0.579671,0.306767,[4 3] ; [44 51],[3.29411765 3.70588235] ; [44.70588235 50.29411765],0
p11,1,0.604738,0.267909,[5 2] ; [61 38],[4.35849057 2.64150943] ; [61.64150943 37.35849057],0
n3,1,0.607717,0.263514,[1 1] ; [25 12],[1.33333333 0.66666667] ; [24.66666667 12.33333333],0
b5,1,0.640708,0.217818,[5 2] ; [62 37],[4.4245283 2.5754717] ; [62.5754717 36.4245283],0
d4,1,0.704291,0.144046,[6 1] ; [79 20],[5.61320755 1.38679245] ; [79.38679245 19.61320755],0
n5,1,0.741634,0.108696,[2 5] ; [34 64],[2.4 4.6] ; [33.6 64.4],0
s6,1,0.835531,0.043103,[6 1] ; [81 17],[5.8 1.2] ; [81.2 16.8],0
u3,1,0.849727,0.035897,[2 1] ; [28 11],[2.14285714 0.85714286] ; [27.85714286 11.14285714],0
a5,1,0.898354,0.016318,[4 3] ; [59 40],[4.16037736 2.83962264] ; [58.83962264 40.16037736],0
a3,1,0.94031,0.005607,[4 3] ; [58 41],[4.09433962 2.90566038] ; [57.90566038 41.09433962],0
