Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,64.429362,[102  21] ; [ 2 28],[83.60784314 39.39215686] ; [20.39215686  9.60784314],1
r1,1,0.0,31.075566,[91 31] ; [ 6 24],[77.85526316 44.14473684] ; [19.14473684 10.85526316],1
r3,1,3e-06,21.866895,[108  15] ; [15 15],[98.88235294 24.11764706] ; [24.11764706  5.88235294],1
v4,1,3.5e-05,17.111109,[106  16] ; [16 14],[97.92105263 24.07894737] ; [24.07894737  5.92105263],1
u3,1,0.0062,7.491252,[28 24] ; [ 3 15],[23.02857143 28.97142857] ; [ 7.97142857 10.02857143],0
a5,1,0.008099,7.011438,[74 49] ; [10 20],[67.52941176 55.47058824] ; [16.47058824 13.52941176],0
d1,1,0.014579,5.966637,[59 64] ; [ 7 23],[53.05882353 69.94117647] ; [12.94117647 17.05882353],0
s6,1,0.018333,5.564071,[57 64] ; [ 7 23],[51.28476821 69.71523179] ; [12.71523179 17.28476821],0
d4,1,0.029037,4.765429,[90 32] ; [16 14],[85.07894737 36.92105263] ; [20.92105263  9.07894737],0
d2,1,0.048958,3.876794,[61 61] ; [ 9 21],[56.18421053 65.81578947] ; [13.81578947 16.18421053],0
a7,1,0.054518,3.69676,[77 46] ; [13 17],[72.35294118 50.64705882] ; [17.64705882 12.35294118],0
a4,1,0.068838,3.310503,[50 71] ; [ 7 23],[45.67549669 75.32450331] ; [11.32450331 18.67549669],0
s7,1,0.079922,3.066493,[33 85] ; [ 3 23],[29.5 88.5] ; [ 6.5 19.5],0
a3,1,0.092389,2.832255,[71 50] ; [12 17],[66.95333333 54.04666667] ; [16.04666667 12.95333333],0
b1,1,0.095124,2.785453,[57 66] ; [19 11],[61.09803922 61.90196078] ; [14.90196078 15.09803922],0
v1,1,0.097822,2.740704,[39 83] ; [ 5 25],[35.31578947 86.68421053] ; [ 8.68421053 21.31578947],0
s2,1,0.097822,2.740704,[39 83] ; [ 5 25],[35.31578947 86.68421053] ; [ 8.68421053 21.31578947],0
d3,1,0.113231,2.508537,[69 54] ; [12 18],[65.11764706 57.88235294] ; [15.88235294 14.11764706],0
p12,1,0.123286,2.37507,[  2 120] ; [ 2 28],[  3.21052632 118.78947368] ; [ 0.78947368 29.21052632],0
p11,1,0.131167,2.278638,[64 59] ; [11 19],[60.29411765 62.70588235] ; [14.70588235 15.29411765],0
