Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.0,30.321395,[ 15 246] ; [12 23],[ 23.80743243 237.19256757] ; [ 3.19256757 31.80743243],1
s7,1,8e-05,15.548362,[105 143] ; [26  7],[115.61565836 132.38434164] ; [15.38434164 17.61565836],1
s6,1,0.0004,12.530496,[168  91] ; [29  1],[176.55017301  82.44982699] ; [20.44982699  9.55017301],1
p3,1,0.000445,12.331133,[105 157] ; [25 10],[114.68013468 147.31986532] ; [15.31986532 19.68013468],1
p6,1,0.000461,12.267495,[ 85 176] ; [22 13],[ 94.34797297 166.65202703] ; [12.65202703 22.34797297],1
p8,1,0.00089,11.04312,[121 141] ; [26  8],[130.11486486 131.88513514] ; [16.88513514 17.11486486],1
p12,1,0.001074,10.694791,[ 10 251] ; [ 6 29],[ 14.10810811 246.89189189] ; [ 1.89189189 33.10810811],0
v3,1,0.001178,10.524543,[ 43 213] ; [14 21],[ 50.1443299 205.8556701] ; [ 6.8556701 28.1443299],0
n5,1,0.002296,9.296769,[183  79] ; [33  2],[190.54545455  71.45454545] ; [25.45454545  9.54545455],0
s5,1,0.004643,8.013384,[ 80 177] ; [18 14],[ 87.14878893 169.85121107] ; [10.85121107 21.14878893],0
n6,1,0.007251,7.209791,[204  58] ; [34  1],[209.95286195  52.04713805] ; [28.04713805  6.95286195],0
s8,1,0.009672,6.694274,[101 161] ; [21 13],[107.98648649 154.01351351] ; [14.01351351 19.98648649],0
p4,1,0.012202,6.281273,[141 121] ; [26  8],[147.81756757 114.18243243] ; [19.18243243 14.81756757],0
u2,1,0.01818,5.578766,[53 35] ; [1 6],[50.02105263 37.97894737] ; [3.97894737 3.02105263],0
n1,1,0.025067,5.019259,[29 46] ; [7 2],[32.14285714 42.85714286] ; [3.85714286 5.14285714],0
s3,1,0.046048,3.979835,[145 116] ; [25  9],[150.40677966 110.59322034] ; [19.59322034 14.40677966],0
p9,1,0.063674,3.439008,[193  69] ; [30  4],[197.38513514  64.61486486] ; [25.61486486  8.38513514],0
a1,1,0.068169,3.326579,[  7 256] ; [ 3 32],[  8.82550336 254.17449664] ; [ 1.17449664 33.82550336],0
s1,1,0.080433,3.056133,[ 16 243] ; [ 5 30],[ 18.5 240.5] ; [ 2.5 32.5],0
d2,1,0.087373,2.922127,[117 145] ; [21 14],[121.73737374 140.26262626] ; [16.26262626 18.73737374],0
b5,1,0.096073,2.769549,[159 104] ; [16 19],[154.44630872 108.55369128] ; [20.55369128 14.44630872],0
a3,1,0.118001,2.443657,[174  86] ; [28  7],[178.03389831  81.96610169] ; [23.96610169 11.03389831],0
r3,1,0.123178,2.376438,[244  18] ; [30  5],[241.71043771  20.28956229] ; [32.28956229  2.71043771],0
s2,1,0.134559,2.239098,[121 139] ; [21 14],[125.15254237 134.84745763] ; [16.84745763 18.15254237],0
v1,1,0.137589,2.204724,[103 157] ; [18 16],[107.00680272 152.99319728] ; [13.99319728 20.00680272],0
u3,1,0.150688,2.065268,[61 27] ; [3 4],[59.28421053 28.71578947] ; [4.71578947 2.28421053],0
b1,1,0.158128,1.992039,[117 146] ; [20 15],[120.90939597 142.09060403] ; [16.09060403 18.90939597],0
p7,1,0.180889,1.790301,[149 110] ; [23 10],[152.56164384 106.43835616] ; [19.43835616 13.56164384],0
a5,1,0.1883,1.730865,[182  81] ; [28  7],[185.33557047  77.66442953] ; [24.66442953 10.33557047],0
a8,1,0.281175,1.1614,[ 29 213] ; [ 6 26],[ 30.91240876 211.08759124] ; [ 4.08759124 27.91240876],0
n3,1,0.301621,1.067014,[48 24] ; [5 5],[46.53658537 25.46341463] ; [6.46341463 3.53658537],0
r2,1,0.311177,1.025673,[250  12] ; [32  3],[248.76767677  13.23232323] ; [33.23232323  1.76767677],0
a4,1,0.355039,0.855367,[120 141] ; [19 16],[122.56418919 138.43581081] ; [16.43581081 18.56418919],0
p10,1,0.368874,0.807454,[189  73] ; [27  7],[191.18918919  70.81081081] ; [24.81081081  9.18918919],0
u4,1,0.40711,0.687226,[  3 260] ; [ 1 34],[  3.53020134 259.46979866] ; [ 0.46979866 34.53020134],0
d1,1,0.41049,0.677381,[146 117] ; [22 13],[148.26845638 114.73154362] ; [19.73154362 15.26845638],0
s4,1,0.422643,0.642955,[ 53 205] ; [ 5 29],[ 51.24657534 206.75342466] ; [ 6.75342466 27.24657534],0
a7,1,0.447969,0.575785,[182  81] ; [22 13],[180.04026846  82.95973154] ; [23.95973154 11.04026846],0
d4,1,0.604561,0.268171,[211  50] ; [27  8],[209.85810811  51.14189189] ; [28.14189189  6.85810811],0
r4,1,0.707588,0.140698,[245  18] ; [32  3],[244.46644295  18.53355705] ; [32.53355705  2.46644295],0
d5,1,0.803995,0.061593,[204  57] ; [28  7],[204.56756757  56.43243243] ; [27.43243243  7.56756757],0
n2,1,0.854294,0.033724,[51 25] ; [7 3],[51.25581395 24.74418605] ; [6.74418605 3.25581395],0
a6,1,0.883595,0.021437,[168  94] ; [22 13],[167.60942761  94.39057239] ; [22.39057239 12.60942761],0
u1,1,0.905346,0.01414,[ 43 220] ; [ 6 29],[ 43.24496644 219.75503356] ; [ 5.75503356 29.24496644],0
p11,1,0.909605,0.012891,[193  70] ; [26  9],[193.27852349  69.72147651] ; [25.72147651  9.27852349],0
a2,1,0.92511,0.008836,[ 62 201] ; [ 8 27],[ 61.77852349 201.22147651] ; [ 8.22147651 26.77852349],0
b4,1,0.956269,0.003007,[149 114] ; [20 15],[149.15100671 113.84899329] ; [19.84899329 15.15100671],0
b2,1,0.9671,0.001701,[ 55 102] ; [ 9 17],[ 54.90710383 102.09289617] ; [ 9.09289617 16.90710383],0
b3,1,0.9671,0.001701,[ 55 102] ; [ 9 17],[ 54.90710383 102.09289617] ; [ 9.09289617 16.90710383],0
p2,1,0.974616,0.001012,[211  52] ; [28  7],[210.9295302  52.0704698] ; [28.0704698  6.9295302],0
d3,1,0.976095,0.000898,[179  83] ; [24 11],[179.07744108  82.92255892] ; [23.92255892 11.07744108],0
v4,1,0.997919,7e-06,[247  15] ; [33  2],[247.003367  14.996633] ; [32.996633  2.003367],0
