Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,0.026848,4.900575,[11 12] ; [42 15],[15.2375  7.7625] ; [37.7625 19.2375],0
p5,1,0.032871,4.55247,[ 4 19] ; [ 2 55],[ 1.725 21.275] ; [ 4.275 52.725],0
u3,1,0.053372,3.732229,[3 4] ; [20  5],[5.03125 1.96875] ; [17.96875  7.03125],0
d2,1,0.083776,2.990084,[15  8] ; [25 32],[11.5 11.5] ; [28.5 28.5],0
b2,1,0.115143,2.482176,[ 2 16] ; [11 25],[ 4.33333333 13.66666667] ; [ 8.66666667 27.33333333],0
b3,1,0.115143,2.482176,[ 2 16] ; [11 25],[ 4.33333333 13.66666667] ; [ 8.66666667 27.33333333],0
a4,1,0.147283,2.10017,[10 13] ; [15 41],[ 7.27848101 15.72151899] ; [17.72151899 38.27848101],0
v4,1,0.161361,1.961425,[22  1] ; [48  9],[20.125  2.875] ; [49.875  7.125],0
n2,1,0.189717,1.71981,[8 1] ; [9 5],[6.65217391 2.34782609] ; [10.34782609  3.65217391],0
s1,1,0.241385,1.372485,[ 3 20] ; [ 3 53],[ 1.74683544 21.25316456] ; [ 4.25316456 51.74683544],0
a3,1,0.267288,1.230613,[16  7] ; [32 25],[13.8  9.2] ; [34.2 22.8],0
s4,1,0.336078,0.925333,[ 7 15] ; [12 44],[ 5.35897436 16.64102564] ; [13.64102564 42.35897436],0
s7,1,0.373597,0.791667,[11 11] ; [21 33],[ 9.26315789 12.73684211] ; [22.73684211 31.26315789],0
a5,1,0.37509,0.786733,[15  8] ; [31 26],[13.225  9.775] ; [32.775 24.225],0
p3,1,0.392938,0.729831,[10 13] ; [19 38],[ 8.3375 14.6625] ; [20.6625 36.3375],0
n5,1,0.392938,0.729831,[13 10] ; [38 19],[14.6625  8.3375] ; [36.3375 20.6625],0
b5,1,0.392938,0.729831,[13 10] ; [38 19],[14.6625  8.3375] ; [36.3375 20.6625],0
u1,1,0.397894,0.71468,[ 5 18] ; [ 8 49],[ 3.7375 19.2625] ; [ 9.2625 47.7375],0
r2,1,0.404346,0.695363,[21  2] ; [48  9],[19.8375  3.1625] ; [49.1625  7.8375],0
n4,1,0.421222,0.646904,[14  9] ; [40 17],[15.525  7.475] ; [38.475 18.525],0
a1,1,0.496533,0.462339,[ 1 22] ; [ 5 52],[ 1.725 21.275] ; [ 4.275 52.725],0
p1,1,0.496533,0.462339,[ 1 22] ; [ 5 52],[ 1.725 21.275] ; [ 4.275 52.725],0
p7,1,0.518676,0.416524,[10 12] ; [30 26],[11.28205128 10.71794872] ; [28.71794872 27.28205128],0
p10,1,0.541262,0.373206,[ 7 15] ; [14 42],[ 5.92307692 16.07692308] ; [15.07692308 40.92307692],0
p6,1,0.544532,0.367204,[ 4 18] ; [14 43],[ 5.01265823 16.98734177] ; [12.98734177 44.01265823],0
p8,1,0.54512,0.366133,[ 8 15] ; [24 33],[ 9.2 13.8] ; [22.8 34.2],0
b1,1,0.581344,0.304066,[13 10] ; [36 21],[14.0875  8.9125] ; [34.9125 22.0875],0
a2,1,0.663479,0.189325,[ 5 18] ; [10 47],[ 4.3125 18.6875] ; [10.6875 46.3125],0
n3,1,0.675447,0.175296,[5 4] ; [9 5],[5.47826087 3.52173913] ; [8.52173913 5.47826087],0
s8,1,0.733528,0.115897,[ 9 14] ; [20 37],[ 8.3375 14.6625] ; [20.6625 36.3375],0
d3,1,0.733528,0.115897,[14  9] ; [37 20],[14.6625  8.3375] ; [36.3375 20.6625],0
d5,1,0.755032,0.097351,[17  6] ; [44 13],[17.5375  5.4625] ; [43.4625 13.5375],0
a8,1,0.763295,0.090695,[ 2 19] ; [ 6 44],[ 2.36619718 18.63380282] ; [ 5.63380282 44.36619718],0
v1,1,0.797047,0.066137,[10 13] ; [23 34],[ 9.4875 13.5125] ; [23.5125 33.4875],0
p11,1,0.804888,0.061022,[11 12] ; [29 28],[11.5 11.5] ; [28.5 28.5],0
r4,1,0.804888,0.061022,[18  5] ; [46 11],[18.4  4.6] ; [45.6 11.4],0
d1,1,0.804888,0.061022,[12 11] ; [28 29],[11.5 11.5] ; [28.5 28.5],0
p2,1,0.806746,0.059842,[14  9] ; [33 24],[13.5125  9.4875] ; [33.4875 23.5125],0
s3,1,0.81993,0.051818,[15  8] ; [35 21],[14.55696203  8.44303797] ; [35.44303797 20.55696203],0
a6,1,0.862031,0.030203,[13 10] ; [31 26],[12.65 10.35] ; [31.35 25.65],0
b4,1,0.862314,0.030078,[15  8] ; [36 21],[14.6625  8.3375] ; [36.3375 20.6625],0
p4,1,0.878548,0.023351,[12 10] ; [30 27],[11.69620253 10.30379747] ; [30.30379747 26.69620253],0
v3,1,0.892099,0.018401,[ 9 14] ; [21 35],[ 8.73417722 14.26582278] ; [21.26582278 34.73417722],0
r1,1,0.917547,0.010717,[18  5] ; [44 13],[17.825  5.175] ; [44.175 12.825],0
s2,1,0.924581,0.008961,[13 10] ; [31 25],[12.81012658 10.18987342] ; [31.18987342 24.81012658],0
n1,1,0.933249,0.007015,[3 5] ; [5 9],[2.90909091 5.09090909] ; [5.09090909 8.90909091],0
d4,1,0.945838,0.004615,[18  5] ; [45 12],[18.1125  4.8875] ; [44.8875 12.1125],0
v2,1,0.948286,0.004207,[10 12] ; [25 31],[ 9.87179487 12.12820513] ; [25.12820513 30.87179487],0
u2,1,0.955212,0.003154,[4 3] ; [14 10],[4.06451613 2.93548387] ; [13.93548387 10.06451613],0
n6,1,0.983203,0.000443,[17  6] ; [42 15],[16.9625  6.0375] ; [42.0375 14.9625],0
r3,1,0.991281,0.000119,[21  2] ; [52  5],[20.9875  2.0125] ; [52.0125  4.9875],0
