Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,88.739428,[16 90] ; [101  31],[52.1092437 53.8907563] ; [64.8907563 67.1092437],1
d5,1,0.0,78.687257,[52 55] ; [131   3],[81.24896266 25.75103734] ; [101.75103734  32.24896266],1
d4,1,0.0,70.87565,[54 53] ; [129   4],[81.5875 25.4125] ; [101.4125  31.5875],1
d3,1,0.0,60.587216,[38 69] ; [113  21],[67.04149378 39.95850622] ; [83.95850622 50.04149378],1
a2,1,6e-06,20.610338,[ 8 99] ; [42 92],[22.19917012 84.80082988] ; [ 27.80082988 106.19917012],1
a5,1,1e-05,19.482982,[62 45] ; [112  22],[77.25311203 29.74688797] ; [96.74688797 37.25311203],1
a4,1,2e-05,18.159327,[34 73] ; [79 54],[50.37916667 56.62083333] ; [62.62083333 70.37916667],1
r2,1,0.000107,15.013656,[89 18] ; [125   3],[97.43829787  9.56170213] ; [116.56170213  11.43829787],1
s8,1,0.000475,12.210578,[12 95] ; [40 94],[23.08713693 83.91286307] ; [ 28.91286307 105.08713693],1
a3,1,0.001017,10.796275,[62 44] ; [104  29],[73.62343096 32.37656904] ; [92.37656904 40.62343096],0
u1,1,0.001699,9.848884,[  5 102] ; [ 24 110],[12.87551867 94.12448133] ; [ 16.12448133 117.87551867],0
n6,1,0.002871,8.887581,[74 32] ; [114  19],[83.38075314 22.61924686] ; [104.61924686  28.38075314],0
p7,1,0.003397,8.580796,[46 60] ; [83 50],[57.21338912 48.78661088] ; [71.78661088 61.21338912],0
p10,1,0.00751,7.146785,[65 41] ; [102  30],[74.37815126 31.62184874] ; [92.62184874 39.37815126],0
v2,1,0.007566,7.133487,[44 58] ; [79 51],[54.07758621 47.92241379] ; [68.92241379 61.07758621],0
p9,1,0.011729,6.351363,[67 38] ; [103  28],[75.63559322 29.36440678] ; [94.36440678 36.63559322],0
p8,1,0.013459,6.107706,[38 67] ; [69 63],[47.40506329 57.59493671] ; [59.59493671 72.40506329],0
a6,1,0.015913,5.812433,[67 40] ; [103  31],[75.47717842 31.52282158] ; [94.52282158 39.47717842],0
r1,1,0.018099,5.586553,[68 39] ; [103  30],[76.2375 30.7625] ; [94.7625 38.2375],0
a7,1,0.022578,5.200684,[64 43] ; [98 35],[72.225 34.775] ; [89.775 43.225],0
v4,1,0.040588,4.193129,[86 20] ; [121  13],[91.425 14.575] ; [115.575  18.425],0
p4,1,0.051402,3.795128,[42 65] ; [68 63],[49.45378151 57.54621849] ; [60.54621849 70.45378151],0
p11,1,0.056497,3.637332,[74 33] ; [107  27],[80.36099585 26.63900415] ; [100.63900415  33.36099585],0
v3,1,0.058562,3.577662,[34 71] ; [57 71],[41.00858369 63.99141631] ; [49.99141631 78.00858369],0
s5,1,0.060536,3.522635,[ 9 95] ; [ 22 107],[13.83690987 90.16309013] ; [ 17.16309013 111.83690987],0
u3,1,0.064063,3.428951,[13 32] ; [15 15],[16.8 28.2] ; [11.2 18.8],0
b5,1,0.095796,2.774172,[65 42] ; [67 67],[58.60580913 48.39419087] ; [73.39419087 60.60580913],0
b1,1,0.111122,2.538189,[50 57] ; [49 85],[43.95435685 63.04564315] ; [55.04564315 78.95435685],0
u2,1,0.115714,2.474399,[15 30] ; [15 14],[18.24324324 26.75675676] ; [11.75675676 17.24324324],0
n5,1,0.128932,2.305315,[79 28] ; [109  24],[83.81666667 23.18333333] ; [104.18333333  28.81666667],0
r3,1,0.14652,2.108115,[89 17] ; [120  13],[92.69456067 13.30543933] ; [116.30543933  16.69456067],0
n1,1,0.152881,2.043268,[13 11] ; [12 22],[10.34482759 13.65517241] ; [14.65517241 19.34482759],0
p5,1,0.166189,1.916987,[  3 103] ; [  9 124],[  5.32217573 100.67782427] ; [  6.67782427 126.32217573],0
a1,1,0.200971,1.635305,[ 8 99] ; [  5 129],[  5.77178423 101.22821577] ; [  7.22821577 126.77178423],0
p1,1,0.208089,1.58467,[14 92] ; [ 11 123],[11.04166667 94.95833333] ; [ 13.95833333 120.04166667],0
s4,1,0.214361,1.541723,[10 97] ; [  7 127],[ 7.54771784 99.45228216] ; [  9.45228216 124.54771784],0
s1,1,0.278947,1.172212,[  4 103] ; [  2 129],[  2.69747899 104.30252101] ; [  3.30252101 127.69747899],0
r4,1,0.286653,1.135277,[81 26] ; [109  25],[84.35684647 22.64315353] ; [105.64315353  28.35684647],0
p6,1,0.289222,1.12324,[25 80] ; [39 91],[28.59574468 76.40425532] ; [35.40425532 94.59574468],0
v1,1,0.314303,1.012508,[44 60] ; [65 68],[47.83122363 56.16877637] ; [61.16877637 71.83122363],0
p2,1,0.422145,0.644336,[77 30] ; [101  31],[79.69037657 27.30962343] ; [98.30962343 33.69037657],0
p12,1,0.48113,0.496301,[  4 101] ; [  3 130],[  3.08823529 101.91176471] ; [  3.91176471 129.08823529],0
b4,1,0.53345,0.387815,[58 49] ; [78 56],[60.38174274 46.61825726] ; [75.61825726 58.38174274],0
n2,1,0.57615,0.3125,[17  7] ; [23 13],[16.  8.] ; [24. 12.],0
s7,1,0.698022,0.150538,[24 74] ; [34 93],[25.26222222 72.73777778] ; [32.73777778 94.26222222],0
p3,1,0.703011,0.145359,[46 61] ; [60 72],[47.45606695 59.54393305] ; [58.54393305 73.45606695],0
n3,1,0.789849,0.071026,[16  6] ; [25 11],[15.55172414  6.44827586] ; [25.44827586 10.55172414],0
a8,1,0.839622,0.040956,[13 88] ; [ 14 103],[12.50917431 88.49082569] ; [ 14.49082569 102.50917431],0
s3,1,0.981167,0.000557,[29 76] ; [36 95],[28.91949153 76.08050847] ; [36.08050847 94.91949153],0
s2,1,0.989074,0.000188,[21 86] ; [ 26 106],[21.041841 85.958159] ; [ 25.958159 106.041841],0
b2,1,0.991185,0.000122,[29 36] ; [38 47],[29.03333333 35.96666667] ; [37.96666667 47.03333333],0
b3,1,0.991185,0.000122,[29 36] ; [38 47],[29.03333333 35.96666667] ; [37.96666667 47.03333333],0
