Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1.7e-05,18.492799,[59 33] ; [ 1 15],[51.11111111 40.88888889] ; [8.88888889 7.11111111],1
d3,1,0.000201,13.821639,[73 19] ; [ 5 10],[67.06542056 24.93457944] ; [10.93457944  4.06542056],1
u2,1,0.0004,12.531469,[25  8] ; [1 8],[20.42857143 12.57142857] ; [5.57142857 3.42857143],1
d2,1,0.004217,8.187749,[47 45] ; [ 2 14],[41.74074074 50.25925926] ; [7.25925926 8.74074074],0
u3,1,0.004317,8.145455,[27  6] ; [3 6],[23.57142857  9.42857143] ; [6.42857143 2.57142857],0
s5,1,0.006301,7.462122,[42 43] ; [ 2 14],[37.02970297 47.97029703] ; [6.97029703 9.02970297],0
d5,1,0.006975,7.279325,[77 15] ; [8 7],[73.08411215 18.91588785] ; [11.91588785  3.08411215],0
a4,1,0.027657,4.849297,[38 54] ; [ 2 14],[34.07407407 57.92592593] ; [ 5.92592593 10.07407407],0
p3,1,0.033686,4.510565,[43 48] ; [ 3 13],[39.12149533 51.87850467] ; [6.87850467 9.12149533],0
s6,1,0.036382,4.3791,[77 14] ; [10  6],[73.99065421 17.00934579] ; [13.00934579  2.99065421],0
p10,1,0.048019,3.909333,[69 20] ; [8 7],[65.89423077 23.10576923] ; [11.10576923  3.89423077],0
a5,1,0.067339,3.346719,[67 25] ; [8 8],[63.88888889 28.11111111] ; [11.11111111  4.88888889],0
a7,1,0.083224,3.000786,[69 23] ; [8 7],[66.20560748 25.79439252] ; [10.79439252  4.20560748],0
v1,1,0.127666,2.320661,[40 48] ; [ 4 12],[37.23076923 50.76923077] ; [6.76923077 9.23076923],0
a2,1,0.128649,2.308737,[21 71] ; [ 1 15],[18.74074074 73.25925926] ; [ 3.25925926 12.74074074],0
a8,1,0.130614,2.285187,[ 4 82] ; [ 2 11],[ 5.21212121 80.78787879] ; [ 0.78787879 12.21212121],0
v3,1,0.160435,1.97012,[27 60] ; [ 2 13],[24.73529412 62.26470588] ; [ 4.26470588 10.73529412],0
a3,1,0.171322,1.871341,[57 35] ; [7 9],[54.51851852 37.48148148] ; [9.48148148 6.51851852],0
v2,1,0.222422,1.488675,[46 39] ; [ 6 10],[43.76237624 41.23762376] ; [8.23762376 7.76237624],0
p6,1,0.256142,1.289488,[30 61] ; [ 3 13],[28.06542056 62.93457944] ; [ 4.93457944 11.06542056],0
s7,1,0.257093,1.284343,[45 40] ; [ 6 10],[42.92079208 42.07920792] ; [8.07920792 7.92079208],0
p4,1,0.260614,1.26549,[48 43] ; [ 6 10],[45.92523364 45.07476636] ; [8.07476636 7.92523364],0
n6,1,0.302183,1.064538,[56 35] ; [12  4],[57.8317757 33.1682243] ; [10.1682243  5.8317757],0
n4,1,0.316082,1.005089,[35 57] ; [ 4 12],[33.22222222 58.77777778] ; [ 5.77777778 10.22222222],0
a6,1,0.316082,1.005089,[57 35] ; [12  4],[58.77777778 33.22222222] ; [10.22222222  5.77777778],0
b4,1,0.323258,0.97572,[58 34] ; [8 8],[56.22222222 35.77777778] ; [9.77777778 6.22222222],0
b1,1,0.355311,0.854397,[34 58] ; [ 4 12],[32.37037037 59.62962963] ; [ 5.62962963 10.37037037],0
b5,1,0.367197,0.813129,[57 35] ; [8 8],[55.37037037 36.62962963] ; [9.62962963 6.37037037],0
p9,1,0.398929,0.711553,[69 19] ; [11  5],[67.69230769 20.30769231] ; [12.30769231  3.69230769],0
r1,1,0.471916,0.517485,[65 26] ; [10  6],[63.78504673 27.21495327] ; [11.21495327  4.78504673],0
p8,1,0.507839,0.438518,[36 54] ; [ 5 11],[34.81132075 55.18867925] ; [6.18867925 9.81132075],0
r3,1,0.558993,0.341451,[89  3] ; [15  1],[88.59259259  3.40740741] ; [15.40740741  0.59259259],0
p7,1,0.579212,0.30751,[46 42] ; [9 6],[46.99029126 41.00970874] ; [8.00970874 6.99029126],0
r4,1,0.631171,0.230476,[79 13] ; [13  3],[78.37037037 13.62962963] ; [13.62962963  2.37037037],0
s8,1,0.702844,0.14553,[45 47] ; [7 9],[44.2962963 47.7037037] ; [7.7037037 8.2962963],0
p11,1,0.774997,0.081707,[54 38] ; [10  6],[54.51851852 37.48148148] ; [9.48148148 6.51851852],0
r2,1,0.839692,0.04092,[84  7] ; [15  1],[84.19626168  6.80373832] ; [14.80373832  1.19626168],0
v4,1,0.847512,0.036977,[87  5] ; [14  1],[86.8411215  5.1588785] ; [14.1588785  0.8411215],0
s4,1,0.848108,0.036685,[31 61] ; [ 5 11],[30.66666667 61.33333333] ; [ 5.33333333 10.66666667],0
p1,1,0.889186,0.019414,[ 7 84] ; [ 1 14],[ 6.86792453 84.13207547] ; [ 1.13207547 13.86792453],0
s3,1,0.89519,0.017355,[76 16] ; [13  3],[75.81481481 16.18518519] ; [13.18518519  2.81481481],0
n1,1,0.899503,0.015949,[10 17] ; [1 2],[ 9.9 17.1] ; [1.1 1.9],0
p2,1,0.948279,0.004208,[66 25] ; [11  4],[66.10377358 24.89622642] ; [10.89622642  4.10377358],0
