Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,48.350377,[22 54] ; [128  41],[46.53061224 29.46938776] ; [103.46938776  65.53061224],1
a6,1,6.1e-05,16.065463,[39 37] ; [130  39],[52.4244898 23.5755102] ; [116.5755102  52.4244898],1
d4,1,0.000106,15.034022,[48 28] ; [144  25],[59.55918367 16.44081633] ; [132.44081633  36.55918367],1
d5,1,0.00374,8.405967,[48 28] ; [136  33],[57.07755102 18.92244898] ; [126.92244898  42.07755102],0
d1,1,0.004266,8.167058,[30 46] ; [100  69],[40.32653061 35.67346939] ; [89.67346939 79.32653061],0
r4,1,0.004814,7.947939,[58 18] ; [152  17],[65.14285714 10.85714286] ; [144.85714286  24.14285714],0
u1,1,0.005174,7.817466,[ 4 72] ; [ 32 137],[11.16734694 64.83265306] ; [ 24.83265306 144.16734694],0
a2,1,0.00592,7.574539,[ 6 70] ; [ 38 131],[13.64897959 62.35102041] ; [ 30.35102041 138.64897959],0
u3,1,0.010011,6.632972,[10 14] ; [41 16],[15.11111111  8.88888889] ; [35.88888889 21.11111111],0
p2,1,0.010902,6.481246,[47 29] ; [131  38],[55.21632653 20.78367347] ; [122.78367347  46.21632653],0
r3,1,0.017262,5.669586,[69  7] ; [164   4],[72.57377049  3.42622951] ; [160.42622951   7.57377049],0
p4,1,0.026106,4.949008,[24 52] ; [79 90],[31.95102041 44.04897959] ; [71.04897959 97.95102041],0
v2,1,0.027857,4.836878,[27 42] ; [89 73],[34.64935065 34.35064935] ; [81.35064935 80.64935065],0
p10,1,0.029527,4.736615,[53 23] ; [138  30],[59.49180328 16.50819672] ; [131.50819672  36.49180328],0
p8,1,0.052425,3.762149,[13 63] ; [ 48 119],[19.0781893 56.9218107] ; [ 41.9218107 125.0781893],0
b1,1,0.069013,3.306344,[29 47] ; [ 45 124],[22.95510204 53.04489796] ; [ 51.04489796 117.95510204],0
r1,1,0.072755,3.219749,[49 27] ; [127  41],[54.81967213 21.18032787] ; [121.18032787  46.81967213],0
v4,1,0.079468,3.075742,[65 10] ; [158  11],[68.54508197  6.45491803] ; [154.45491803  14.54508197],0
s2,1,0.135391,2.229579,[26 48] ; [75 90],[31.27196653 42.72803347] ; [69.72803347 95.27196653],0
v3,1,0.164269,1.934485,[18 53] ; [ 56 106],[22.54935622 48.45064378] ; [ 51.45064378 110.54935622],0
n6,1,0.174254,1.84596,[61 15] ; [147  22],[64.52244898 11.47755102] ; [143.47755102  25.52244898],0
