Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,93.739505,[251 105] ; [ 51 137],[197.63235294 158.36764706] ; [104.36764706  83.63235294],1
p6,1,0.0,61.772974,[176 178] ; [ 28 157],[133.98144712 220.01855288] ; [ 70.01855288 114.98144712],1
p7,1,0.0,53.492023,[274  80] ; [82 97],[236.44277674 117.55722326] ; [119.55722326  59.44277674],1
p8,1,0.0,43.502115,[243 111] ; [ 71 111],[207.38059701 146.61940299] ; [106.61940299  75.38059701],1
p2,1,9e-06,19.756762,[327  27] ; [149  39],[310.89298893  43.10701107] ; [165.10701107  22.89298893],1
p10,1,4e-05,16.854968,[329  25] ; [152  35],[314.73937153  39.26062847] ; [166.26062847  20.73937153],1
d1,1,0.000267,13.287563,[260  97] ; [108  80],[241.05688073 115.94311927] ; [126.94311927  61.05688073],1
p5,1,0.00037,12.680418,[ 62 293] ; [ 12 175],[ 48.46863469 306.53136531] ; [ 25.53136531 161.46863469],1
n5,1,0.00064,11.657077,[298  57] ; [133  53],[282.81885397  72.18114603] ; [148.18114603  37.81885397],1
n4,1,0.000856,11.11667,[310  47] ; [142  46],[296.08073394  60.91926606] ; [155.91926606  32.08073394],1
d3,1,0.000959,10.904951,[272  85] ; [118  70],[255.46788991 101.53211009] ; [134.53211009  53.46788991],1
v1,1,0.001554,10.013197,[219 126] ; [89 92],[202.01520913 142.98479087] ; [105.98479087  75.01520913],0
a7,1,0.001608,9.950235,[275  82] ; [121  67],[259.39816514  97.60183486] ; [136.60183486  51.39816514],0
s6,1,0.002759,8.96051,[254  94] ; [111  73],[238.7593985 109.2406015] ; [126.2406015  57.7593985],0
d2,1,0.006201,7.491069,[215 141] ; [90 97],[199.96316759 156.03683241] ; [105.03683241  81.96316759],0
s7,1,0.00676,7.335622,[195 146] ; [ 81 100],[180.29885057 160.70114943] ; [95.70114943 85.29885057],0
s8,1,0.008289,6.969983,[188 166] ; [ 77 110],[173.40110906 180.59889094] ; [91.59889094 95.40110906],0
u1,1,0.013214,6.140213,[ 90 267] ; [ 30 158],[ 78.60550459 278.39449541] ; [ 41.39449541 146.60550459],0
s2,1,0.013307,6.127854,[196 155] ; [ 83 103],[182.36312849 168.63687151] ; [96.63687151 89.36312849],0
p9,1,0.015853,5.81912,[328  27] ; [158  26],[320.09276438  34.90723562] ; [165.90723562  18.09276438],0
s5,1,0.026659,4.912734,[136 209] ; [ 54 128],[124.38330171 220.61669829] ; [ 65.61669829 116.38330171],0
d4,1,0.030798,4.664173,[317  39] ; [155  33],[308.88235294  47.11764706] ; [163.11764706  24.88235294],0
a4,1,0.041569,4.152666,[195 160] ; [ 86 102],[183.71086556 171.28913444] ; [97.28913444 90.71086556],0
n6,1,0.045787,3.989397,[319  36] ; [157  30],[311.77121771  43.22878229] ; [164.22878229  22.77121771],0
s3,1,0.05587,3.65593,[205 143] ; [93 92],[194.56660413 153.43339587] ; [103.43339587  81.56660413],0
a2,1,0.060011,3.537067,[117 240] ; [ 47 141],[107.42752294 249.57247706] ; [ 56.57247706 131.42752294],0
p1,1,0.062755,3.463041,[ 38 317] ; [ 11 176],[ 32.09409594 322.90590406] ; [ 16.90590406 170.09409594],0
a1,1,0.067836,3.334623,[ 25 332] ; [  6 182],[ 20.30642202 336.69357798] ; [ 10.69357798 177.30642202],0
d5,1,0.069972,3.283685,[312  44] ; [154  34],[304.95588235  51.04411765] ; [161.04411765  26.95588235],0
p12,1,0.102193,2.670982,[ 41 315] ; [ 13 171],[ 35.6 320.4] ; [ 18.4 165.6],0
b5,1,0.129875,2.293995,[202 155] ; [119  69],[210.26972477 146.73027523] ; [110.73027523  77.26972477],0
v4,1,0.163307,1.943333,[342  12] ; [174  11],[338.89424861  15.10575139] ; [177.10575139   7.89424861],0
r1,1,0.17098,1.874327,[304  50] ; [153  35],[298.48339483  55.51660517] ; [158.51660517  29.48339483],0
v2,1,0.199673,1.644766,[214 130] ; [101  78],[207.18929254 136.81070746] ; [107.81070746  71.18929254],0
s4,1,0.27977,1.168208,[ 56 296] ; [ 23 162],[ 51.7839851 300.2160149] ; [ 27.2160149 157.7839851],0
v3,1,0.31433,1.012395,[149 193] ; [ 71 111],[143.58778626 198.41221374] ; [ 76.41221374 105.58778626],0
