Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1e-06,24.483997,[ 94 300] ; [21 12],[106.11241218 287.88758782] ; [ 8.88758782 24.11241218],1
p1,1,1.3e-05,19.034393,[ 23 380] ; [ 9 26],[ 29.44292237 373.55707763] ; [ 2.55707763 32.44292237],1
p4,1,0.001617,9.940236,[183 220] ; [25  9],[191.81693364 211.18306636] ; [16.18306636 17.81693364],0
p3,1,0.002651,9.033321,[160 244] ; [23 12],[168.41002278 235.58997722] ; [14.58997722 20.41002278],0
v1,1,0.009024,6.818114,[181 212] ; [23 10],[188.1971831 204.8028169] ; [15.8028169 17.1971831],0
r2,1,0.033578,4.516055,[369  28] ; [29  6],[365.75462963  31.24537037] ; [32.24537037  2.75462963],0
p8,1,0.034973,4.446501,[161 239] ; [20 14],[166.8202765 233.1797235] ; [14.1797235 19.8202765],0
d2,1,0.045992,3.981878,[193 208] ; [23 12],[198.66055046 202.33944954] ; [17.33944954 17.66055046],0
s6,1,0.068411,3.320747,[238 161] ; [25  8],[242.90972222 156.09027778] ; [20.09027778 12.90972222],0
r3,1,0.075388,3.161624,[369  33] ; [29  6],[366.12356979  35.87643021] ; [31.87643021  3.12356979],0
n6,1,0.07732,3.120353,[331  71] ; [32  2],[334.69266055  67.30733945] ; [28.30733945  5.69266055],0
n5,1,0.078197,3.10198,[333  69] ; [33  2],[336.68649886  65.31350114] ; [29.31350114  5.68649886],0
a2,1,0.081032,3.044074,[ 99 306] ; [ 4 31],[ 94.80681818 310.19318182] ; [ 8.19318182 26.80681818],0
s7,1,0.087778,2.914651,[163 223] ; [19 14],[167.66587112 218.33412888] ; [14.33412888 18.66587112],0
n3,1,0.090183,2.871099,[66 26] ; [4 5],[63.76237624 28.23762376] ; [6.23762376 2.76237624],0
d1,1,0.103653,2.648418,[220 185] ; [24 11],[224.59090909 180.40909091] ; [19.40909091 15.59090909],0
b3,1,0.106265,2.608907,[ 82 174] ; [12 13],[ 85.63701068 170.36298932] ; [ 8.36298932 16.63701068],0
b2,1,0.106265,2.608907,[ 82 174] ; [12 13],[ 85.63701068 170.36298932] ; [ 8.36298932 16.63701068],0
p9,1,0.133648,2.249615,[307  91] ; [30  4],[310.47685185  87.52314815] ; [26.52314815  7.47685185],0
n2,1,0.139514,2.18331,[73 21] ; [5 4],[71.18446602 22.81553398] ; [6.81553398 2.18446602],0
s1,1,0.139959,2.178411,[ 14 384] ; [ 3 32],[ 15.62586605 382.37413395] ; [ 1.37413395 33.62586605],0
p12,1,0.157438,1.998667,[ 23 381] ; [ 4 30],[ 24.90410959 379.09589041] ; [ 2.09589041 31.90410959],0
v3,1,0.176567,1.826283,[149 241] ; [17 17],[152.68867925 237.31132075] ; [13.31132075 20.68867925],0
s8,1,0.209253,1.576586,[146 257] ; [16 18],[149.39588101 253.60411899] ; [12.60411899 21.39588101],0
a7,1,0.21648,1.527552,[283 121] ; [21 14],[279.76309795 124.23690205] ; [24.23690205 10.76309795],0
a6,1,0.26902,1.221736,[279 125] ; [21 14],[276.08200456 127.91799544] ; [23.91799544 11.08200456],0
b1,1,0.280633,1.164021,[159 246] ; [17 18],[162. 243.] ; [14. 21.],0
d4,1,0.309003,1.034931,[316  87] ; [30  5],[318.35159817  84.64840183] ; [27.64840183  7.35159817],0
n1,1,0.345452,0.890095,[42 51] ; [5 3],[43.27722772 49.72277228] ; [3.72277228 4.27722772],0
s3,1,0.381593,0.765562,[211 184] ; [16 19],[208.52325581 186.47674419] ; [18.47674419 16.52325581],0
s4,1,0.386696,0.749307,[ 57 346] ; [ 3 31],[ 55.33180778 347.66819222] ; [ 4.66819222 29.33180778],0
p10,1,0.431176,0.619653,[308  95] ; [28  6],[309.85812357  93.14187643] ; [26.14187643  7.85812357],0
v2,1,0.445538,0.581977,[209 179] ; [16 18],[206.87203791 181.12796209] ; [18.12796209 15.87203791],0
b4,1,0.469085,0.524131,[229 176] ; [22 13],[231.03409091 173.96590909] ; [19.96590909 15.03409091],0
a4,1,0.475253,0.509737,[186 216] ; [14 21],[183.98169336 218.01830664] ; [16.01830664 18.98169336],0
p7,1,0.492352,0.471382,[199 201] ; [19 15],[200.92165899 199.07834101] ; [17.07834101 16.92165899],0
r1,1,0.504108,0.446278,[318  84] ; [26  9],[316.44851259  85.55148741] ; [27.55148741  7.44851259],0
a8,1,0.521162,0.411593,[ 62 305] ; [ 4 28],[ 60.70676692 306.29323308] ; [ 5.29323308 26.70676692],0
a1,1,0.544323,0.367586,[ 21 384] ; [ 1 34],[ 20.25 384.75] ; [ 1.75 33.25],0
d3,1,0.557743,0.343627,[257 147] ; [24 11],[258.59681093 145.40318907] ; [22.40318907 12.59681093],0
s2,1,0.578882,0.308045,[179 220] ; [14 21],[177.43548387 221.56451613] ; [15.56451613 19.43548387],0
p11,1,0.610015,0.260153,[316  89] ; [26  9],[314.79545455  90.20454545] ; [27.20454545  7.79545455],0
a3,1,0.613036,0.255777,[283 120] ; [26  9],[284.30821918 118.69178082] ; [24.69178082 10.30821918],0
u3,1,0.642361,0.215668,[58 64] ; [5 4],[58.67175573 63.32824427] ; [4.32824427 4.67175573],0
d5,1,0.654771,0.199938,[322  82] ; [29  6],[323.01594533  80.98405467] ; [27.98405467  7.01594533],0
u2,1,0.657653,0.196387,[62 57] ; [4 5],[61.359375 57.640625] ; [4.640625 4.359375],0
p2,1,0.66485,0.187686,[311  94] ; [28  7],[312.03409091  92.96590909] ; [26.96590909  8.03409091],0
u1,1,0.676301,0.17432,[ 69 336] ; [ 5 30],[ 68.11363636 336.88636364] ; [ 5.88636364 29.11363636],0
b5,1,0.740859,0.109373,[243 162] ; [20 15],[242.07954545 162.92045455] ; [20.92045455 14.07954545],0
r4,1,0.932551,0.007163,[345  60] ; [30  5],[345.17045455  59.82954545] ; [29.82954545  5.17045455],0
