Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.019201,5.483136,[7 7] ; [52 13],[10.4556962  3.5443038] ; [48.5443038 16.4556962],0
p8,1,0.019201,5.483136,[7 7] ; [13 52],[ 3.5443038 10.4556962] ; [16.4556962 48.5443038],0
p11,1,0.080342,3.05798,[6 8] ; [44 21],[8.86075949 5.13924051] ; [41.13924051 23.86075949],0
r4,1,0.080942,3.045889,[10  4] ; [58  7],[12.05063291  1.94936709] ; [55.94936709  9.05063291],0
r3,1,0.082718,3.010681,[12  2] ; [63  2],[13.29113924  0.70886076] ; [61.70886076  3.29113924],0
s7,1,0.086143,2.945011,[4 7] ; [39 22],[6.56944444 4.43055556] ; [36.43055556 24.56944444],0
d5,1,0.092527,2.829855,[13  1] ; [45 18],[10.54545455  3.45454545] ; [47.45454545 15.54545455],0
a5,1,0.123641,2.370579,[12  2] ; [42 23],[9.56962025 4.43037975] ; [44.43037975 20.56962025],0
p9,1,0.147759,2.095238,[8 6] ; [48 15],[10.18181818  3.81818182] ; [45.81818182 17.18181818],0
b5,1,0.168793,1.893628,[7 7] ; [45 20],[9.21518987 4.78481013] ; [42.78481013 22.21518987],0
p4,1,0.175902,1.83191,[8 6] ; [24 40],[5.74358974 8.25641026] ; [26.25641026 37.74358974],0
v1,1,0.190841,1.711111,[6 8] ; [39 24],[8.18181818 5.81818182] ; [36.81818182 26.18181818],0
n6,1,0.201352,1.632537,[12  2] ; [44 20],[10.05128205  3.94871795] ; [45.94871795 18.05128205],0
p6,1,0.225835,1.466904,[6 8] ; [17 47],[4.12820513 9.87179487] ; [18.87179487 45.12820513],0
n5,1,0.255357,1.293756,[7 7] ; [43 22],[8.86075949 5.13924051] ; [41.13924051 23.86075949],0
p3,1,0.273174,1.200739,[7 7] ; [22 42],[5.20512821 8.79487179] ; [23.79487179 40.20512821],0
a1,1,0.297501,1.085363,[ 2 12] ; [ 4 61],[ 1.06329114 12.93670886] ; [ 4.93670886 60.06329114],0
u2,1,0.307434,1.041667,[2 3] ; [13  7],[3. 2.] ; [12.  8.],0
d3,1,0.324194,0.97195,[10  4] ; [36 27],[8.36363636 5.63636364] ; [37.63636364 25.36363636],0
p10,1,0.338839,0.914818,[8 6] ; [45 19],[9.51282051 4.48717949] ; [43.48717949 20.51282051],0
b1,1,0.357922,0.845172,[5 9] ; [32 33],[6.55696203 7.44303797] ; [30.44303797 34.55696203],0
s8,1,0.362538,0.829082,[6 8] ; [36 28],[7.53846154 6.46153846] ; [34.46153846 29.53846154],0
v4,1,0.431012,0.620094,[12  2] ; [60  5],[12.75949367  1.24050633] ; [59.24050633  5.75949367],0
d1,1,0.475677,0.508759,[9 5] ; [35 30],[7.79746835 6.20253165] ; [36.20253165 28.79746835],0
b4,1,0.491343,0.473584,[7 7] ; [39 26],[8.15189873 5.84810127] ; [37.84810127 27.15189873],0
d4,1,0.507946,0.438297,[12  2] ; [49 14],[11.09090909  2.90909091] ; [49.90909091 13.09090909],0
n4,1,0.522592,0.408776,[8 6] ; [43 22],[9.03797468 4.96202532] ; [41.96202532 23.03797468],0
v3,1,0.5528,0.352326,[6 7] ; [22 37],[5.05555556 7.94444444] ; [22.94444444 36.05555556],0
s4,1,0.554689,0.348983,[ 3 11] ; [19 46],[ 3.89873418 10.10126582] ; [18.10126582 46.89873418],0
s1,1,0.569821,0.322981,[ 1 13] ; [ 8 56],[ 1.61538462 12.38461538] ; [ 7.38461538 56.61538462],0
a4,1,0.665052,0.187445,[6 8] ; [32 33],[6.73417722 7.26582278] ; [31.26582278 33.73417722],0
n3,1,0.678088,0.172286,[3 2] ; [16  7],[3.39285714 1.60714286] ; [15.60714286  7.39285714],0
a3,1,0.718204,0.13022,[9 5] ; [45 20],[9.56962025 4.43037975] ; [44.43037975 20.56962025],0
s6,1,0.791857,0.069643,[12  2] ; [53 11],[11.66666667  2.33333333] ; [53.33333333 10.66666667],0
u1,1,0.797367,0.065924,[ 3 11] ; [12 53],[ 2.65822785 11.34177215] ; [12.34177215 52.65822785],0
a2,1,0.797367,0.065924,[ 3 11] ; [12 53],[ 2.65822785 11.34177215] ; [12.34177215 52.65822785],0
s5,1,0.801406,0.063266,[5 9] ; [24 37],[5.41333333 8.58666667] ; [23.58666667 37.41333333],0
b3,1,0.80306,0.062195,[3 7] ; [14 27],[3.33333333 6.66666667] ; [13.66666667 27.33333333],0
b2,1,0.80306,0.062195,[3 7] ; [14 27],[3.33333333 6.66666667] ; [13.66666667 27.33333333],0
p1,1,0.80308,0.062182,[ 1 13] ; [ 6 59],[ 1.24050633 12.75949367] ; [ 5.75949367 59.24050633],0
a6,1,0.82916,0.046561,[8 6] ; [34 29],[7.63636364 6.36363636] ; [34.36363636 28.63636364],0
a7,1,0.84341,0.03902,[8 6] ; [39 26],[8.32911392 5.67088608] ; [38.67088608 26.32911392],0
d2,1,0.871867,0.026014,[7 7] ; [33 30],[7.27272727 6.72727273] ; [32.72727273 30.27272727],0
p7,1,0.875554,0.024526,[6 8] ; [28 34],[6.26315789 7.73684211] ; [27.73684211 34.26315789],0
n2,1,0.931549,0.007378,[4 1] ; [18  5],[3.92857143 1.07142857] ; [18.07142857  4.92857143],0
v2,1,0.935208,0.006609,[8 6] ; [35 25],[8.13513514 5.86486486] ; [34.86486486 25.13513514],0
r2,1,0.943881,0.004955,[13  1] ; [60  5],[12.93670886  1.06329114] ; [60.06329114  4.93670886],0
