Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.003879,8.339651,[ 8 50] ; [11 15],[13.11904762 44.88095238] ; [ 5.88095238 20.11904762],0
p9,1,0.004178,8.204727,[21 34] ; [20  8],[27.1686747 27.8313253] ; [13.8313253 14.1686747],0
p7,1,0.008916,6.839499,[12 44] ; [13 13],[17.07317073 38.92682927] ; [ 7.92682927 18.07317073],0
b1,1,0.012798,6.196858,[27 31] ; [21  7],[32.37209302 25.62790698] ; [15.62790698 12.37209302],0
v2,1,0.024838,5.035156,[15 41] ; [14 13],[19.56626506 36.43373494] ; [ 9.43373494 17.56626506],0
s6,1,0.025758,4.972168,[10 48] ; [11 17],[14.1627907 43.8372093] ; [ 6.8372093 21.1627907],0
a5,1,0.031402,4.63087,[25 33] ; [19  9],[29.6744186 28.3255814] ; [14.3255814 13.6744186],0
n2,1,0.042548,4.113283,[13 17] ; [10  3],[16.04651163 13.95348837] ; [6.95348837 6.04651163],0
v3,1,0.045166,4.012428,[10 48] ; [10 17],[13.64705882 44.35294118] ; [ 6.35294118 20.64705882],0
s2,1,0.048841,3.880814,[ 4 54] ; [ 6 22],[ 6.74418605 51.25581395] ; [ 3.25581395 24.74418605],0
p10,1,0.061493,3.496664,[23 33] ; [17 10],[26.98795181 29.01204819] ; [13.01204819 13.98795181],0
s7,1,0.066789,3.36022,[ 6 49] ; [ 7 19],[ 8.82716049 46.17283951] ; [ 4.17283951 21.82716049],0
n3,1,0.07822,3.101499,[12 18] ; [9 4],[14.65116279 15.34883721] ; [6.34883721 6.65116279],0
p2,1,0.094538,2.795353,[26 31] ; [17  9],[29.53012048 27.46987952] ; [13.46987952 12.53012048],0
u3,1,0.111017,2.539683,[ 7 23] ; [5 5],[ 9. 21.] ; [3. 7.],0
s8,1,0.119708,2.421136,[ 4 54] ; [ 5 23],[ 6.06976744 51.93023256] ; [ 2.93023256 25.06976744],0
p6,1,0.125948,2.341754,[ 7 49] ; [ 7 20],[ 9.44578313 46.55421687] ; [ 4.55421687 22.44578313],0
a3,1,0.141926,2.156955,[27 30] ; [18 10],[30.17647059 26.82352941] ; [14.82352941 13.17647059],0
s1,1,0.162154,1.954023,[ 2 56] ; [ 3 24],[ 3.41176471 54.58823529] ; [ 1.58823529 25.41176471],0
u1,1,0.177238,1.820629,[ 2 56] ; [ 3 25],[ 3.37209302 54.62790698] ; [ 1.62790698 26.37209302],0
p4,1,0.188106,1.732387,[17 40] ; [12 15],[19.67857143 37.32142857] ; [ 9.32142857 17.67857143],0
b4,1,0.223325,1.482875,[35 23] ; [13 15],[32.37209302 25.62790698] ; [15.62790698 12.37209302],0
d3,1,0.249367,1.326848,[25 32] ; [16 12],[27.49411765 29.50588235] ; [13.50588235 14.49411765],0
s5,1,0.421267,0.646777,[ 5 53] ; [ 4 24],[ 6.06976744 51.93023256] ; [ 2.93023256 25.06976744],0
n1,1,0.439261,0.598212,[ 8 22] ; [5 8],[ 9.06976744 20.93023256] ; [3.93023256 9.06976744],0
p11,1,0.45064,0.569041,[24 34] ; [14 14],[25.62790698 32.37209302] ; [12.37209302 15.62790698],0
a4,1,0.472231,0.51675,[16 41] ; [10 18],[17.43529412 39.56470588] ; [ 8.56470588 19.43529412],0
u2,1,0.499822,0.455315,[10 21] ; [4 5],[10.85 20.15] ; [3.15 5.85],0
b5,1,0.534294,0.386218,[29 29] ; [16 12],[30.34883721 27.65116279] ; [14.65116279 13.34883721],0
s4,1,0.546945,0.362818,[ 9 49] ; [ 3 25],[ 8.09302326 49.90697674] ; [ 3.90697674 24.09302326],0
n4,1,0.557875,0.343397,[34 24] ; [14 13],[32.75294118 25.24705882] ; [15.24705882 11.75294118],0
r3,1,0.563938,0.332932,[28 29] ; [11 15],[26.78313253 30.21686747] ; [12.21686747 13.78313253],0
p12,1,0.575098,0.314226,[ 1 57] ; [ 1 26],[ 1.36470588 56.63529412] ; [ 0.63529412 26.36470588],0
a7,1,0.592921,0.285805,[26 31] ; [14 13],[27.14285714 29.85714286] ; [12.85714286 14.14285714],0
a2,1,0.593181,0.285403,[ 6 52] ; [ 4 24],[ 6.74418605 51.25581395] ; [ 3.25581395 24.74418605],0
d2,1,0.629063,0.233333,[21 35] ; [ 9 19],[20. 36.] ; [10. 18.],0
p1,1,0.631914,0.229475,[ 6 52] ; [ 2 26],[ 5.39534884 52.60465116] ; [ 2.60465116 25.39534884],0
a6,1,0.657642,0.1964,[24 34] ; [13 15],[24.95348837 33.04651163] ; [12.04651163 15.95348837],0
p5,1,0.683486,0.166228,[ 3 55] ; [ 2 25],[ 3.41176471 54.58823529] ; [ 1.58823529 25.41176471],0
r2,1,0.692151,0.156766,[28 27] ; [15 12],[28.84146341 26.15853659] ; [14.15853659 12.84146341],0
