Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.024365,5.068484,[35 12] ; [7 9],[31.33333333 15.66666667] ; [10.66666667  5.33333333],0
b2,1,0.045989,3.981992,[15 21] ; [ 1 10],[12.25531915 23.74468085] ; [3.74468085 7.25531915],0
b3,1,0.045989,3.981992,[15 21] ; [ 1 10],[12.25531915 23.74468085] ; [3.74468085 7.25531915],0
s2,1,0.050861,3.812838,[38  9] ; [9 7],[35.06349206 11.93650794] ; [11.93650794  4.06349206],0
p9,1,0.087076,2.927611,[43  4] ; [12  4],[41.03174603  5.96825397] ; [13.96825397  2.03174603],0
r2,1,0.117405,2.451607,[39  4] ; [12  4],[37.16949153  5.83050847] ; [13.83050847  2.16949153],0
d4,1,0.136596,2.215891,[38  9] ; [10  6],[35.80952381 11.19047619] ; [12.19047619  3.80952381],0
v3,1,0.137336,2.20756,[20 26] ; [ 3 11],[17.63333333 28.36666667] ; [5.36666667 8.63333333],0
a5,1,0.142954,2.14587,[33 14] ; [8 8],[30.58730159 16.41269841] ; [10.41269841  5.58730159],0
p2,1,0.150122,2.071007,[40  7] ; [11  5],[38.04761905  8.95238095] ; [12.95238095  3.04761905],0
u2,1,0.153607,2.036058,[9 3] ; [4 5],[7.42857143 4.57142857] ; [5.57142857 3.42857143],0
v4,1,0.154143,2.030765,[43  3] ; [13  3],[41.5483871  4.4516129] ; [14.4516129  1.5483871],0
p7,1,0.176557,1.826366,[31 14] ; [8 8],[28.7704918 16.2295082] ; [10.2295082  5.7704918],0
r4,1,0.196027,1.671733,[30 17] ; [13  3],[32.07936508 14.92063492] ; [10.92063492  5.07936508],0
d2,1,0.210089,1.570811,[18 29] ; [9 7],[20.14285714 26.85714286] ; [6.85714286 9.14285714],0
p10,1,0.262692,1.254515,[40  6] ; [12  4],[38.58064516  7.41935484] ; [13.41935484  2.58064516],0
p1,1,0.287566,1.130984,[ 8 39] ; [ 1 15],[ 6.71428571 40.28571429] ; [ 2.28571429 13.71428571],0
p6,1,0.290846,1.115702,[26 18] ; [7 9],[24.2 19.8] ; [8.8 7.2],0
p3,1,0.328749,0.953819,[30 17] ; [8 8],[28.34920635 18.65079365] ; [9.65079365 6.34920635],0
b1,1,0.411524,0.674393,[18 29] ; [8 8],[19.3968254 27.6031746] ; [6.6031746 9.3968254],0
n5,1,0.458826,0.548757,[34 13] ; [10  6],[32.82539683 14.17460317] ; [11.17460317  4.82539683],0
s5,1,0.482689,0.492782,[16 25] ; [ 4 10],[14.90909091 26.09090909] ; [5.09090909 8.90909091],0
