Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000103,15.078049,[16 10] ; [16 61],[ 8.0776699 17.9223301] ; [23.9223301 53.0776699],1
p1,1,0.017052,5.691043,[ 4 22] ; [ 2 74],[ 1.52941176 24.47058824] ; [ 4.47058824 71.52941176],0
p8,1,0.050966,3.809404,[13 13] ; [22 54],[ 8.92156863 17.07843137] ; [26.07843137 49.92156863],0
a4,1,0.057056,3.620951,[ 1 25] ; [15 62],[ 4.03883495 21.96116505] ; [11.96116505 65.03883495],0
p7,1,0.057388,3.61131,[16 10] ; [30 45],[11.84158416 14.15841584] ; [34.15841584 40.84158416],0
p2,1,0.097533,2.745419,[21  5] ; [48 28],[17.58823529  8.41176471] ; [51.41176471 24.58823529],0
v4,1,0.14655,2.107794,[25  1] ; [65 11],[22.94117647  3.05882353] ; [67.05882353  8.94117647],0
n2,1,0.161723,1.958042,[6 1] ; [16 12],[4.4 2.6] ; [17.6 10.4],0
s6,1,0.166407,1.915018,[13 13] ; [26 49],[10.03960396 15.96039604] ; [28.96039604 46.03960396],0
s7,1,0.229882,1.441589,[ 8 15] ; [17 59],[ 5.80808081 17.19191919] ; [19.19191919 56.80808081],0
a3,1,0.256054,1.28997,[ 8 18] ; [33 43],[10.45098039 15.54901961] ; [30.54901961 45.45098039],0
u3,1,0.266194,1.236257,[12  6] ; [22 21],[10.03278689  7.96721311] ; [23.96721311 19.03278689],0
n1,1,0.297798,1.08403,[1 6] ; [10 19],[2.13888889 4.86111111] ; [ 8.86111111 20.13888889],0
b5,1,0.313503,1.015862,[14 12] ; [50 27],[16.15533981  9.84466019] ; [47.84466019 29.15533981],0
v2,1,0.317893,0.997595,[ 7 17] ; [30 44],[ 9.06122449 14.93877551] ; [27.93877551 46.06122449],0
d2,1,0.325343,0.967345,[ 4 22] ; [19 58],[ 5.80582524 20.19417476] ; [17.19417476 59.80582524],0
v1,1,0.37808,0.776935,[ 9 15] ; [21 54],[ 7.27272727 16.72727273] ; [22.72727273 52.27272727],0
n4,1,0.396958,0.717523,[ 9 17] ; [20 57],[ 7.32038835 18.67961165] ; [21.67961165 55.32038835],0
b3,1,0.400344,0.707292,[ 2 11] ; [11 30],[3.12962963 9.87037037] ; [ 9.87037037 31.12962963],0
