Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,3.1e-05,17.333186,[ 4 49] ; [6 4],[ 8.41269841 44.58730159] ; [1.58730159 8.41269841],1
s6,1,0.003869,8.34419,[17 37] ; [8 2],[21.09375 32.90625] ; [3.90625 6.09375],0
p1,1,0.004424,8.101042,[ 2 52] ; [3 7],[ 4.21875 49.78125] ; [0.78125 9.21875],0
b1,1,0.008392,6.947866,[35 19] ; [2 8],[31.21875 22.78125] ; [5.78125 4.21875],0
r4,1,0.01466,5.956844,[12 42] ; [6 4],[15.1875 38.8125] ; [2.8125 7.1875],0
p10,1,0.0147,5.95202,[25 27] ; [9 1],[28.51612903 23.48387097] ; [5.48387097 4.51612903],0
p4,1,0.0223,5.222251,[22 32] ; [8 2],[25.3125 28.6875] ; [4.6875 5.3125],0
u3,1,0.033711,4.509317,[ 4 21] ; [3 2],[ 5.83333333 19.16666667] ; [1.16666667 3.83333333],0
p11,1,0.040295,4.205402,[30 24] ; [9 1],[32.90625 21.09375] ; [6.09375 3.90625],0
n6,1,0.046081,3.978647,[30 23] ; [9 1],[32.80952381 20.19047619] ; [6.19047619 3.80952381],0
s8,1,0.046854,3.950617,[11 43] ; [5 5],[13.5 40.5] ; [2.5 7.5],0
p9,1,0.048039,3.908604,[29 22] ; [9 1],[31.7704918 19.2295082] ; [6.2295082 3.7704918],0
p3,1,0.051326,3.797609,[11 42] ; [5 5],[13.46031746 39.53968254] ; [2.53968254 7.46031746],0
s7,1,0.091824,2.842111,[ 9 39] ; [4 5],[10.94736842 37.05263158] ; [2.05263158 6.94736842],0
d2,1,0.163734,1.939394,[15 39] ; [5 5],[16.875 37.125] ; [3.125 6.875],0
p2,1,0.178597,1.809261,[31 23] ; [8 2],[32.90625 21.09375] ; [6.09375 3.90625],0
u2,1,0.19043,1.714286,[12 13] ; [4 1],[13.33333333 11.66666667] ; [2.66666667 2.33333333],0
v1,1,0.207595,1.588122,[16 38] ; [5 5],[17.71875 36.28125] ; [3.28125 6.71875],0
p12,1,0.209512,1.574798,[ 4 50] ; [2 8],[ 5.0625 48.9375] ; [0.9375 9.0625],0
b4,1,0.213336,1.548642,[32 22] ; [8 2],[33.75 20.25] ; [6.25 3.75],0
v3,1,0.233038,1.422222,[12 42] ; [4 6],[13.5 40.5] ; [2.5 7.5],0
n4,1,0.244355,1.355294,[27 27] ; [7 3],[28.6875 25.3125] ; [5.3125 4.6875],0
p6,1,0.267877,1.227588,[ 8 44] ; [3 7],[ 9.22580645 42.77419355] ; [1.77419355 8.22580645],0
n3,1,0.332373,0.939631,[15  9] ; [1 2],[14.22222222  9.77777778] ; [1.77777778 1.22222222],0
d5,1,0.339976,0.910523,[29 25] ; [7 3],[30.375 23.625] ; [5.625 4.375],0
b3,1,0.374333,0.789231,[10 22] ; [3 3],[10.94736842 21.05263158] ; [2.05263158 3.94736842],0
b2,1,0.374333,0.789231,[10 22] ; [3 3],[10.94736842 21.05263158] ; [2.05263158 3.94736842],0
d3,1,0.491119,0.474074,[26 28] ; [6 4],[27. 27.] ; [5. 5.],0
a6,1,0.491119,0.474074,[26 28] ; [6 4],[27. 27.] ; [5. 5.],0
a4,1,0.533856,0.387046,[16 38] ; [2 8],[15.1875 38.8125] ; [2.8125 7.1875],0
a8,1,0.53547,0.384,[ 9 41] ; [1 9],[ 8.33333333 41.66666667] ; [1.66666667 8.33333333],0
p8,1,0.540971,0.373743,[16 37] ; [4 6],[16.82539683 36.17460317] ; [3.17460317 6.82539683],0
a7,1,0.561085,0.33783,[27 27] ; [6 4],[27.84375 26.15625] ; [5.15625 4.84375],0
s3,1,0.56578,0.329794,[15 37] ; [2 8],[14.25806452 37.74193548] ; [2.74193548 7.25806452],0
b5,1,0.586026,0.296593,[32 22] ; [5 5],[31.21875 22.78125] ; [5.78125 4.21875],0
s2,1,0.616296,0.251108,[12 41] ; [3 7],[12.61904762 40.38095238] ; [2.38095238 7.61904762],0
p7,1,0.664482,0.188125,[23 31] ; [5 5],[23.625 30.375] ; [4.375 5.625],0
a5,1,0.713321,0.134983,[29 25] ; [6 4],[29.53125 24.46875] ; [5.46875 4.53125],0
v4,1,0.713321,0.134983,[29 25] ; [6 4],[29.53125 24.46875] ; [5.46875 4.53125],0
v2,1,0.744485,0.106224,[18 34] ; [4 6],[18.4516129 33.5483871] ; [3.5483871 6.4516129],0
a1,1,0.779006,0.078745,[ 4 50] ; [1 9],[ 4.21875 49.78125] ; [0.78125 9.21875],0
a3,1,0.783705,0.075347,[29 24] ; [5 5],[28.6031746 24.3968254] ; [5.3968254 4.6031746],0
r1,1,0.858898,0.031605,[20 34] ; [4 6],[20.25 33.75] ; [3.75 6.25],0
n5,1,0.878801,0.023253,[31 23] ; [6 4],[31.21875 22.78125] ; [5.78125 4.21875],0
d1,1,0.981214,0.000554,[16 38] ; [3 7],[16.03125 37.96875] ; [2.96875 7.03125],0
r3,1,0.990486,0.000142,[37 16] ; [7 3],[37.01587302 15.98412698] ; [6.98412698 3.01587302],0
