Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.001034,10.765021,[70  7] ; [4 4],[67.03529412  9.96470588] ; [6.96470588 1.03529412],0
s2,1,0.00396,8.302219,[50 27] ; [1 7],[46.2 30.8] ; [4.8 3.2],0
s8,1,0.0084,6.946046,[47 30] ; [1 7],[43.48235294 33.51764706] ; [4.51764706 3.48235294],0
p2,1,0.009212,6.781179,[61 16] ; [3 5],[57.97647059 19.02352941] ; [6.02352941 1.97647059],0
a6,1,0.010391,6.566618,[54 23] ; [2 6],[50.72941176 26.27058824] ; [5.27058824 2.72941176],0
r2,1,0.022686,5.192397,[72  4] ; [5 2],[70.5060241  5.4939759] ; [6.4939759 0.5060241],0
d2,1,0.028236,4.813577,[36 41] ; [7 1],[38.95294118 38.04705882] ; [4.04705882 3.95294118],0
p10,1,0.086018,2.947368,[59 17] ; [4 4],[57. 19.] ; [6. 2.],0
s3,1,0.090684,2.862185,[52 25] ; [3 5],[49.82352941 27.17647059] ; [5.17647059 2.82352941],0
r1,1,0.101762,2.677705,[59 18] ; [4 4],[57.07058824 19.92941176] ; [5.92941176 2.07058824],0
p6,1,0.105457,2.621022,[31 43] ; [1 7],[28.87804878 45.12195122] ; [3.12195122 4.87804878],0
p9,1,0.125286,2.349959,[62 14] ; [4 3],[60.43373494 15.56626506] ; [5.56626506 1.43373494],0
p7,1,0.135082,2.23311,[49 27] ; [3 5],[47.04761905 28.95238095] ; [4.95238095 3.04761905],0
p4,1,0.146779,2.10541,[40 37] ; [2 6],[38.04705882 38.95294118] ; [3.95294118 4.04705882],0
n4,1,0.146779,2.10541,[40 37] ; [2 6],[38.04705882 38.95294118] ; [3.95294118 4.04705882],0
r3,1,0.148539,2.087194,[75  2] ; [7 1],[74.28235294  2.71764706] ; [7.71764706 0.28235294],0
p3,1,0.212998,1.550931,[37 40] ; [2 6],[35.32941176 41.67058824] ; [3.67058824 4.32941176],0
a8,1,0.215723,1.532597,[ 7 62] ; [2 6],[ 8.06493506 60.93506494] ; [0.93506494 7.06493506],0
b5,1,0.255509,1.292929,[45 32] ; [3 5],[43.48235294 33.51764706] ; [4.51764706 3.48235294],0
b1,1,0.280766,1.163379,[24 53] ; [4 4],[25.36470588 51.63529412] ; [2.63529412 5.36470588],0
d1,1,0.296651,1.08919,[43 34] ; [6 2],[44.38823529 32.61176471] ; [4.61176471 3.38823529],0
v3,1,0.300933,1.070053,[24 48] ; [1 6],[22.78481013 49.21518987] ; [2.21518987 4.78481013],0
a7,1,0.327704,0.957948,[60 17] ; [5 3],[58.88235294 18.11764706] ; [6.11764706 1.88235294],0
d3,1,0.327704,0.957948,[60 17] ; [5 3],[58.88235294 18.11764706] ; [6.11764706 1.88235294],0
b3,1,0.333602,0.934867,[19 31] ; [4 3],[20.1754386 29.8245614] ; [2.8245614 4.1754386],0
b2,1,0.333602,0.934867,[19 31] ; [4 3],[20.1754386 29.8245614] ; [2.8245614 4.1754386],0
v1,1,0.339487,0.912369,[36 40] ; [2 5],[34.79518072 41.20481928] ; [3.20481928 3.79518072],0
s6,1,0.378029,0.777101,[59 18] ; [5 3],[57.97647059 19.02352941] ; [6.02352941 1.97647059],0
p8,1,0.388983,0.742119,[35 42] ; [2 5],[33.91666667 43.08333333] ; [3.08333333 3.91666667],0
n2,1,0.399765,0.709034,[15  6] ; [2 2],[14.28  6.72] ; [2.72 1.28],0
a2,1,0.439702,0.597059,[19 58] ; [1 7],[18.11764706 58.88235294] ; [1.88235294 6.11764706],0
p5,1,0.53622,0.382591,[ 5 71] ; [1 7],[ 5.42857143 70.57142857] ; [0.57142857 7.42857143],0
a4,1,0.544115,0.367965,[30 47] ; [4 4],[30.8 46.2] ; [3.2 4.8],0
s5,1,0.596163,0.280822,[29 43] ; [4 4],[29.7 42.3] ; [3.3 4.7],0
u1,1,0.630707,0.231103,[15 62] ; [1 7],[14.49411765 62.50588235] ; [1.50588235 6.49411765],0
v2,1,0.653095,0.20202,[39 33] ; [5 3],[39.6 32.4] ; [4.4 3.6],0
n1,1,0.656005,0.198413,[ 8 13] ; [2 2],[ 8.4 12.6] ; [1.6 2.4],0
p11,1,0.665888,0.18645,[52 25] ; [6 2],[52.54117647 24.45882353] ; [5.45882353 2.54117647],0
p1,1,0.763045,0.090893,[ 7 69] ; [1 7],[ 7.23809524 68.76190476] ; [0.76190476 7.23809524],0
s4,1,0.773158,0.083086,[25 52] ; [3 5],[25.36470588 51.63529412] ; [2.63529412 5.36470588],0
a5,1,0.773549,0.082792,[54 23] ; [6 2],[54.35294118 22.64705882] ; [5.64705882 2.35294118],0
n6,1,0.792683,0.069079,[51 25] ; [5 3],[50.66666667 25.33333333] ; [5.33333333 2.66666667],0
d4,1,0.968843,0.001526,[67 10] ; [7 1],[67.03529412  9.96470588] ; [6.96470588 1.03529412],0
