Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000431,12.394344,[ 6 10] ; [71 18],[11.73333333  4.26666667] ; [65.26666667 23.73333333],1
n4,1,0.000552,11.931163,[8 8] ; [78 12],[12.98113208  3.01886792] ; [73.01886792 16.98113208],1
b1,1,0.007354,7.184334,[11  5] ; [30 60],[6.18867925 9.81132075] ; [34.81132075 55.18867925],0
a3,1,0.087852,2.913301,[9 7] ; [69 21],[11.77358491  4.22641509] ; [66.22641509 23.77358491],0
p3,1,0.094277,2.799783,[ 6 10] ; [54 36],[9.05660377 6.94339623] ; [50.94339623 39.05660377],0
s7,1,0.122705,2.382454,[7 9] ; [54 30],[9.76 6.24] ; [51.24 32.76],0
d4,1,0.131517,2.274508,[11  5] ; [76 14],[13.13207547  2.86792453] ; [73.86792453 16.13207547],0
p6,1,0.15445,2.027739,[ 5 11] ; [45 44],[7.61904762 8.38095238] ; [42.38095238 46.61904762],0
d1,1,0.165566,1.922639,[7 9] ; [56 34],[9.50943396 6.49056604] ; [53.49056604 36.50943396],0
a4,1,0.166241,1.916518,[ 5 11] ; [45 45],[7.54716981 8.45283019] ; [42.45283019 47.54716981],0
s2,1,0.170651,1.877218,[ 2 14] ; [26 64],[ 4.22641509 11.77358491] ; [23.77358491 66.22641509],0
u3,1,0.171857,1.866667,[6 1] ; [12  9],[4.5 2.5] ; [13.5  7.5],0
r2,1,0.172078,1.864743,[13  3] ; [82  7],[14.47619048  1.52380952] ; [80.52380952  8.47619048],0
a8,1,0.212582,1.553755,[ 4 10] ; [12 68],[ 2.38297872 11.61702128] ; [13.61702128 66.38297872],0
a5,1,0.212832,1.55206,[11  5] ; [74 16],[12.83018868  3.16981132] ; [72.16981132 17.83018868],0
v3,1,0.258314,1.277768,[ 6 10] ; [46 41],[8.0776699 7.9223301] ; [43.9223301 43.0776699],0
a2,1,0.292831,1.106561,[ 2 14] ; [22 68],[ 3.62264151 12.37735849] ; [20.37735849 69.62264151],0
b4,1,0.312938,1.018236,[8 8] ; [57 33],[9.81132075 6.18867925] ; [55.18867925 34.81132075],0
n3,1,0.314879,1.010101,[1 2] ; [14  8],[1.8 1.2] ; [13.2  8.8],0
a6,1,0.325161,0.968073,[11  5] ; [50 40],[9.20754717 6.79245283] ; [51.79245283 38.20754717],0
v2,1,0.34662,0.885792,[8 8] ; [55 33],[9.69230769 6.30769231] ; [53.30769231 34.69230769],0
d3,1,0.367003,0.813788,[12  4] ; [57 33],[10.41509434  5.58490566] ; [58.58490566 31.41509434],0
s6,1,0.367003,0.813788,[12  4] ; [57 33],[10.41509434  5.58490566] ; [58.58490566 31.41509434],0
s1,1,0.376255,0.782902,[ 1 15] ; [ 2 87],[ 0.45714286 15.54285714] ; [ 2.54285714 86.45714286],0
p2,1,0.37692,0.780724,[14  2] ; [70 20],[12.67924528  3.32075472] ; [71.32075472 18.67924528],0
p5,1,0.477316,0.504991,[ 3 13] ; [11 79],[ 2.11320755 13.88679245] ; [11.88679245 78.11320755],0
p9,1,0.479458,0.500096,[15  1] ; [78 11],[14.17142857  1.82857143] ; [78.82857143 10.17142857],0
s5,1,0.517615,0.418642,[ 4 11] ; [31 57],[5.09708738 9.90291262] ; [29.90291262 58.09708738],0
r3,1,0.572655,0.31826,[15  1] ; [87  3],[15.39622642  0.60377358] ; [86.60377358  3.39622642],0
d5,1,0.604393,0.26842,[14  2] ; [74 16],[13.28301887  2.71698113] ; [74.71698113 15.28301887],0
d2,1,0.620871,0.244645,[8 8] ; [51 39],[8.90566038 7.09433962] ; [50.09433962 39.90566038],0
a7,1,0.623681,0.240728,[12  4] ; [62 28],[11.16981132  4.83018868] ; [62.83018868 27.16981132],0
p10,1,0.671159,0.180249,[13  3] ; [76 13],[13.56190476  2.43809524] ; [75.43809524 13.56190476],0
p8,1,0.702641,0.145739,[8 8] ; [48 39],[8.69902913 7.30097087] ; [47.30097087 39.69902913],0
r4,1,0.727136,0.121758,[15  1] ; [82  8],[14.64150943  1.35849057] ; [82.35849057  7.64150943],0
n2,1,0.737989,0.111902,[2 1] ; [13 10],[1.73076923 1.26923077] ; [13.26923077  9.73076923],0
r1,1,0.74832,0.102949,[13  3] ; [76 14],[13.43396226  2.56603774] ; [75.56603774 14.43396226],0
v1,1,0.760346,0.093041,[10  6] ; [52 37],[9.44761905 6.55238095] ; [52.55238095 36.44761905],0
b2,1,0.815218,0.054616,[5 5] ; [29 34],[4.65753425 5.34246575] ; [29.34246575 33.65753425],0
b3,1,0.815218,0.054616,[5 5] ; [29 34],[4.65753425 5.34246575] ; [29.34246575 33.65753425],0
p4,1,0.881202,0.022334,[10  6] ; [58 32],[10.26415094  5.73584906] ; [57.73584906 32.26415094],0
u1,1,0.884947,0.020938,[ 4 12] ; [21 69],[ 3.77358491 12.22641509] ; [21.22641509 68.77358491],0
p11,1,0.884947,0.020938,[12  4] ; [69 21],[12.22641509  3.77358491] ; [68.77358491 21.22641509],0
b5,1,0.916287,0.011049,[10  6] ; [55 35],[9.81132075 6.18867925] ; [55.18867925 34.81132075],0
n1,1,0.918512,0.010467,[1 2] ; [ 7 16],[0.92307692 2.07692308] ; [ 7.07692308 15.92307692],0
p7,1,0.986666,0.000279,[11  5] ; [61 28],[10.97142857  5.02857143] ; [61.02857143 27.97142857],0
s4,1,0.987471,0.000247,[ 2 14] ; [11 78],[ 1.98095238 14.01904762] ; [11.01904762 77.98095238],0
