Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.008859,6.85112,[ 1 21] ; [2 2],[ 2.53846154 19.46153846] ; [0.46153846 3.53846154],0
v2,1,0.064943,3.406417,[16  6] ; [1 3],[14.38461538  7.61538462] ; [2.61538462 1.38461538],0
p9,1,0.102483,2.666477,[15  7] ; [1 3],[13.53846154  8.46153846] ; [2.46153846 1.53846154],0
p2,1,0.102483,2.666477,[15  7] ; [1 3],[13.53846154  8.46153846] ; [2.46153846 1.53846154],0
p10,1,0.150224,2.069972,[14  8] ; [1 3],[12.69230769  9.30769231] ; [2.30769231 1.69230769],0
a6,1,0.150224,2.069972,[ 8 14] ; [3 1],[ 9.30769231 12.69230769] ; [1.69230769 2.30769231],0
s3,1,0.208359,1.582792,[13  9] ; [1 3],[11.84615385 10.15384615] ; [2.15384615 1.84615385],0
b1,1,0.208359,1.582792,[ 9 13] ; [3 1],[10.15384615 11.84615385] ; [1.84615385 2.15384615],0
d5,1,0.25798,1.279563,[17  5] ; [2 2],[16.07692308  5.92307692] ; [2.92307692 1.07692308],0
a7,1,0.276986,1.181818,[12 10] ; [1 3],[11. 11.] ; [2. 2.],0
p7,1,0.356216,0.85119,[11 11] ; [1 3],[10.15384615 11.84615385] ; [1.84615385 2.15384615],0
a2,1,0.359608,0.839262,[ 2 20] ; [1 3],[ 2.53846154 19.46153846] ; [0.46153846 3.53846154],0
a4,1,0.364974,0.820707,[ 6 16] ; [2 2],[ 6.76923077 15.23076923] ; [1.23076923 2.76923077],0
b4,1,0.364974,0.820707,[16  6] ; [2 2],[15.23076923  6.76923077] ; [2.76923077 1.23076923],0
v3,1,0.399765,0.709034,[ 6 15] ; [2 2],[ 6.72 14.28] ; [1.28 2.72],0
d3,1,0.446248,0.580165,[12 10] ; [3 1],[12.69230769  9.30769231] ; [2.30769231 1.69230769],0
p8,1,0.504036,0.446429,[ 9 12] ; [1 3],[ 8.4 12.6] ; [1.6 2.4],0
b5,1,0.547435,0.361932,[13  9] ; [3 1],[13.53846154  8.46153846] ; [2.46153846 1.53846154],0
p5,1,0.562296,0.335744,[ 3 19] ; [1 3],[ 3.38461538 18.61538462] ; [0.61538462 3.38461538],0
p4,1,0.606089,0.265909,[14  8] ; [2 2],[13.53846154  8.46153846] ; [2.46153846 1.53846154],0
n4,1,0.606089,0.265909,[14  8] ; [2 2],[13.53846154  8.46153846] ; [2.46153846 1.53846154],0
n5,1,0.606089,0.265909,[14  8] ; [2 2],[13.53846154  8.46153846] ; [2.46153846 1.53846154],0
v1,1,0.606089,0.265909,[ 8 14] ; [2 2],[ 8.46153846 13.53846154] ; [1.53846154 2.46153846],0
p11,1,0.606089,0.265909,[14  8] ; [2 2],[13.53846154  8.46153846] ; [2.46153846 1.53846154],0
a5,1,0.660343,0.193108,[14  8] ; [3 1],[14.38461538  7.61538462] ; [2.61538462 1.38461538],0
s7,1,0.711138,0.137143,[ 8 12] ; [2 2],[ 8.33333333 11.66666667] ; [1.66666667 2.33333333],0
r1,1,0.734966,0.114601,[13  9] ; [2 2],[12.69230769  9.30769231] ; [2.30769231 1.69230769],0
d1,1,0.734966,0.114601,[ 9 13] ; [2 2],[ 9.30769231 12.69230769] ; [1.69230769 2.30769231],0
s5,1,0.785792,0.073864,[ 7 15] ; [1 3],[ 6.76923077 15.23076923] ; [1.23076923 2.76923077],0
s2,1,0.866784,0.028139,[10 12] ; [2 2],[10.15384615 11.84615385] ; [1.84615385 2.15384615],0
p3,1,0.866784,0.028139,[10 12] ; [2 2],[10.15384615 11.84615385] ; [1.84615385 2.15384615],0
d2,1,0.866784,0.028139,[12 10] ; [2 2],[11.84615385 10.15384615] ; [2.15384615 1.84615385],0
s4,1,0.920948,0.009848,[ 5 17] ; [1 3],[ 5.07692308 16.92307692] ; [0.92307692 3.07692308],0
d4,1,0.920948,0.009848,[17  5] ; [3 1],[16.92307692  5.07692308] ; [3.07692308 0.92307692],0
n6,1,0.924899,0.008886,[16  6] ; [3 1],[16.07692308  5.92307692] ; [2.92307692 1.07692308],0
