Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.001151,10.566862,[10 14] ; [47 13],[16.28571429  7.71428571] ; [40.71428571 19.28571429],0
d3,1,0.001449,10.142651,[ 6 17] ; [39 21],[12.46987952 10.53012048] ; [32.53012048 27.46987952],0
a3,1,0.004254,8.172058,[ 9 15] ; [42 17],[14.74698795  9.25301205] ; [36.25301205 22.74698795],0
a5,1,0.009299,6.764471,[ 9 15] ; [41 19],[14.28571429  9.71428571] ; [35.71428571 24.28571429],0
s7,1,0.014154,6.018809,[ 4 18] ; [28 30],[ 8.8 13.2] ; [23.2 34.8],0
d2,1,0.015054,5.910164,[ 4 20] ; [27 33],[ 8.85714286 15.14285714] ; [22.14285714 37.85714286],0
a7,1,0.044396,4.041419,[ 9 15] ; [37 23],[13.14285714 10.85714286] ; [32.85714286 27.14285714],0
b1,1,0.044823,4.025299,[17  7] ; [28 32],[12.85714286 11.14285714] ; [32.14285714 27.85714286],0
a4,1,0.071828,3.240741,[ 5 19] ; [25 35],[ 8.57142857 15.42857143] ; [21.42857143 38.57142857],0
r1,1,0.080192,3.061011,[ 3 21] ; [18 40],[ 6.14634146 17.85365854] ; [14.85365854 43.14634146],0
p5,1,0.099881,2.707436,[ 1 22] ; [11 48],[ 3.36585366 19.63414634] ; [ 8.63414634 50.36585366],0
s6,1,0.14779,2.094918,[ 8 16] ; [29 28],[10.96296296 13.03703704] ; [26.03703704 30.96296296],0
p3,1,0.161193,1.962997,[ 6 18] ; [24 34],[ 8.7804878 15.2195122] ; [21.2195122 36.7804878],0
a2,1,0.166036,1.918378,[ 1 23] ; [ 9 51],[ 2.85714286 21.14285714] ; [ 7.14285714 52.85714286],0
s3,1,0.168865,1.892991,[ 8 15] ; [29 27],[10.7721519 12.2278481] ; [26.2278481 29.7721519],0
n6,1,0.221748,1.493024,[13 11] ; [39 18],[15.40740741  8.59259259] ; [36.59259259 20.40740741],0
u3,1,0.234417,1.413856,[ 4 11] ; [8 9],[5.625 9.375] ; [ 6.375 10.625],0
s2,1,0.239139,1.385665,[ 7 17] ; [25 33],[ 9.36585366 14.63414634] ; [22.63414634 35.36585366],0
s8,1,0.2395,1.383535,[ 5 19] ; [20 39],[ 7.22891566 16.77108434] ; [17.77108434 41.22891566],0
s5,1,0.257342,1.283002,[ 3 21] ; [13 42],[ 4.86075949 19.13924051] ; [11.13924051 43.86075949],0
p8,1,0.263397,1.250814,[11 13] ; [19 39],[ 8.7804878 15.2195122] ; [21.2195122 36.7804878],0
a6,1,0.269412,1.219739,[10 14] ; [33 27],[12.28571429 11.71428571] ; [30.71428571 29.28571429],0
v3,1,0.287071,1.133309,[ 4 19] ; [17 42],[ 5.8902439 17.1097561] ; [15.1097561 43.8902439],0
u1,1,0.290117,1.119079,[ 1 23] ; [ 7 53],[ 2.28571429 21.71428571] ; [ 5.71428571 54.28571429],0
s1,1,0.330995,0.945,[ 2 22] ; [ 2 58],[ 1.14285714 22.85714286] ; [ 2.85714286 57.14285714],0
r3,1,0.334063,0.933084,[14  9] ; [41 16],[15.8125  7.1875] ; [39.1875 17.8125],0
v4,1,0.338432,0.916364,[14  8] ; [41 14],[15.71428571  6.28571429] ; [39.28571429 15.71428571],0
v2,1,0.346379,0.886678,[ 8 16] ; [25 31],[ 9.9 14.1] ; [23.1 32.9],0
n5,1,0.374543,0.788535,[18  6] ; [37 20],[16.2962963  7.7037037] ; [38.7037037 18.2962963],0
p1,1,0.515186,0.423521,[ 3 20] ; [ 5 55],[ 2.21686747 20.78313253] ; [ 5.78313253 54.21686747],0
p6,1,0.522448,0.409059,[ 8 16] ; [15 42],[ 6.81481481 17.18518519] ; [16.18518519 40.81481481],0
b5,1,0.526968,0.400235,[13 11] ; [37 23],[14.28571429  9.71428571] ; [35.71428571 24.28571429],0
p11,1,0.541193,0.373333,[16  8] ; [44 16],[17.14285714  6.85714286] ; [42.85714286 17.14285714],0
n2,1,0.542802,0.37037,[7 2] ; [14  7],[6.3 2.7] ; [14.7  6.3],0
n1,1,0.562771,0.334928,[4 5] ; [ 7 14],[3.3 5.7] ; [ 7.7 13.3],0
n4,1,0.567309,0.327206,[14 10] ; [39 21],[15.14285714  8.85714286] ; [37.85714286 22.14285714],0
s4,1,0.613121,0.255655,[ 3 21] ; [10 49],[ 3.75903614 20.24096386] ; [ 9.24096386 49.75903614],0
a1,1,0.655439,0.199111,[ 2 22] ; [ 7 53],[ 2.57142857 21.42857143] ; [ 6.42857143 53.57142857],0
p4,1,0.725835,0.12297,[12 12] ; [27 32],[11.27710843 12.72289157] ; [27.72289157 31.27710843],0
p7,1,0.749128,0.102265,[12 11] ; [27 29],[11.35443038 11.64556962] ; [27.64556962 28.35443038],0
u2,1,0.754725,0.097603,[7 8] ; [ 7 10],[6.5625 8.4375] ; [7.4375 9.5625],0
a8,1,0.788016,0.0723,[ 2 20] ; [ 4 51],[ 1.71428571 20.28571429] ; [ 4.28571429 50.71428571],0
b2,1,0.790864,0.070325,[ 4 10] ; [12 25],[4.39215686 9.60784314] ; [11.60784314 25.39215686],0
b3,1,0.790864,0.070325,[ 4 10] ; [12 25],[4.39215686 9.60784314] ; [11.60784314 25.39215686],0
n3,1,0.804113,0.061517,[6 3] ; [13  8],[5.7 3.3] ; [13.3  7.7],0
p10,1,0.804888,0.061022,[18  5] ; [46 11],[18.4  4.6] ; [45.6 11.4],0
r2,1,0.806307,0.06012,[15  8] ; [33 20],[14.52631579  8.47368421] ; [33.47368421 19.52631579],0
v1,1,0.856536,0.032683,[11 13] ; [24 31],[10.63291139 13.36708861] ; [24.36708861 30.63291139],0
p2,1,0.945838,0.004615,[18  5] ; [45 12],[18.1125  4.8875] ; [44.8875 12.1125],0
b4,1,1.0,0.0,[14 10] ; [35 25],[14. 10.] ; [35. 25.],0
