Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.000743,11.377778,[7 5] ; [ 1 19],[3. 9.] ; [ 5. 15.],1
n5,1,0.002912,8.861538,[12 12] ; [40  8],[17.33333333  6.66666667] ; [34.66666667 13.33333333],0
d1,1,0.027801,4.840336,[ 3 21] ; [18 30],[ 7. 17.] ; [14. 34.],0
s7,1,0.05162,3.788027,[ 4 18] ; [19 26],[ 7.55223881 14.44776119] ; [15.44776119 29.55223881],0
d2,1,0.078443,3.096859,[ 7 17] ; [24 23],[10.47887324 13.52112676] ; [20.52112676 26.47887324],0
v3,1,0.092091,2.837438,[ 2 22] ; [12 36],[ 4.66666667 19.33333333] ; [ 9.33333333 38.66666667],0
n1,1,0.173023,1.856556,[ 3 10] ; [11 13],[4.91891892 8.08108108] ; [ 9.08108108 14.91891892],0
n6,1,0.193098,1.693822,[12 12] ; [31 16],[14.53521127  9.46478873] ; [28.46478873 18.53521127],0
s8,1,0.218258,1.515789,[ 3 21] ; [12 36],[ 5. 19.] ; [10. 38.],0
s6,1,0.220475,1.501277,[ 6 18] ; [19 29],[ 8.33333333 15.66666667] ; [16.66666667 31.33333333],0
b1,1,0.3017,1.066667,[17  7] ; [28 20],[15.  9.] ; [30. 18.],0
d5,1,0.317311,1.0,[10 14] ; [26 22],[12. 12.] ; [24. 24.],0
b5,1,0.317311,1.0,[14 10] ; [22 26],[12. 12.] ; [24. 24.],0
p6,1,0.325292,0.967548,[ 3 21] ; [10 35],[ 4.52173913 19.47826087] ; [ 8.47826087 36.52173913],0
s5,1,0.354181,0.85842,[ 5 19] ; [ 6 42],[ 3.66666667 20.33333333] ; [ 7.33333333 40.66666667],0
p1,1,0.365712,0.818182,[ 1 23] ; [ 5 43],[ 2. 22.] ; [ 4. 44.],0
p7,1,0.367276,0.812861,[11 13] ; [16 30],[ 9.25714286 14.74285714] ; [17.74285714 28.25714286],0
p3,1,0.391197,0.735219,[ 5 19] ; [14 32],[ 6.51428571 17.48571429] ; [12.48571429 33.51428571],0
p10,1,0.403777,0.697049,[10 14] ; [24 22],[11.65714286 12.34285714] ; [22.34285714 23.65714286],0
r3,1,0.404475,0.694981,[10 14] ; [25 23],[11.66666667 12.33333333] ; [23.33333333 24.66666667],0
a4,1,0.435739,0.607478,[ 6 18] ; [16 31],[ 7.43661972 16.56338028] ; [14.56338028 32.43661972],0
v4,1,0.454407,0.559637,[15  9] ; [25 22],[13.52112676 10.47887324] ; [26.47887324 20.52112676],0
n3,1,0.4795,0.5,[5 7] ; [13 11],[6. 6.] ; [12. 12.],0
p11,1,0.504821,0.444788,[11 13] ; [26 22],[12.33333333 11.66666667] ; [24.66666667 23.33333333],0
s1,1,0.512062,0.429851,[ 1 23] ; [ 4 44],[ 1.66666667 22.33333333] ; [ 3.33333333 44.66666667],0
r2,1,0.536171,0.382683,[12 12] ; [26 19],[13.2173913 10.7826087] ; [24.7826087 20.2173913],0
r1,1,0.563703,0.333333,[ 5 19] ; [13 35],[ 6. 18.] ; [12. 36.],0
s2,1,0.595883,0.28125,[ 7 17] ; [17 31],[ 8. 16.] ; [16. 32.],0
p8,1,0.597516,0.278758,[ 7 17] ; [11 36],[ 6.08450704 17.91549296] ; [11.91549296 35.08450704],0
b4,1,0.615847,0.251748,[12 12] ; [27 21],[13. 11.] ; [26. 22.],0
a5,1,0.615847,0.251748,[10 14] ; [23 25],[11. 13.] ; [22. 26.],0
a3,1,0.624336,0.23982,[12 11] ; [28 20],[12.95774648 10.04225352] ; [27.04225352 20.95774648],0
s3,1,0.633743,0.227019,[ 8 16] ; [18 28],[ 8.91428571 15.08571429] ; [17.08571429 28.91428571],0
v1,1,0.676477,0.174119,[ 9 14] ; [16 31],[ 8.21428571 14.78571429] ; [16.78571429 30.21428571],0
p5,1,0.701623,0.146789,[ 1 23] ; [ 3 44],[ 1.35211268 22.64788732] ; [ 2.64788732 44.35211268],0
a6,1,0.7286,0.120401,[ 8 16] ; [18 30],[ 8.66666667 15.33333333] ; [17.33333333 30.66666667],0
p9,1,0.732149,0.117148,[12 11] ; [26 20],[12.66666667 10.33333333] ; [25.33333333 20.66666667],0
a1,1,0.778492,0.079121,[ 2 22] ; [ 5 43],[ 2.33333333 21.66666667] ; [ 4.66666667 43.33333333],0
b3,1,0.825283,0.048733,[4 8] ; [14 24],[4.32 7.68] ; [13.68 24.32],0
b2,1,0.825283,0.048733,[4 8] ; [14 24],[4.32 7.68] ; [13.68 24.32],0
p4,1,0.837105,0.042271,[10 14] ; [18 28],[ 9.6 14.4] ; [18.4 27.6],0
d3,1,0.858152,0.031943,[ 8 16] ; [15 33],[ 7.66666667 16.33333333] ; [15.33333333 32.66666667],0
d4,1,0.866349,0.028324,[14 10] ; [27 21],[13.66666667 10.33333333] ; [27.33333333 20.66666667],0
v2,1,0.867223,0.027951,[ 7 17] ; [14 31],[ 7.30434783 16.69565217] ; [13.69565217 31.30434783],0
u2,1,0.923441,0.009235,[4 8] ; [ 7 13],[4.125 7.875] ; [ 6.875 13.125],0
p2,1,0.964483,0.001983,[14 10] ; [26 19],[13.91304348 10.08695652] ; [26.08695652 18.91304348],0
n2,1,0.9851,0.000349,[7 6] ; [13 11],[7.02702703 5.97297297] ; [12.97297297 11.02702703],0
s4,1,1.0,0.0,[ 4 20] ; [ 8 40],[ 4. 20.] ; [ 8. 40.],0
