Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.012837,6.191476,[57 16] ; [7 8],[53.09090909 19.90909091] ; [10.90909091  4.09090909],0
v2,1,0.017273,5.668432,[44 29] ; [ 4 11],[39.81818182 33.18181818] ; [8.18181818 6.81818182],0
v4,1,0.021051,5.322534,[68  5] ; [11  4],[65.53409091  7.46590909] ; [13.46590909  1.53409091],0
n4,1,0.033359,4.527245,[58 15] ; [8 7],[54.75 18.25] ; [11.25  3.75],0
n6,1,0.042792,4.103595,[64  9] ; [10  5],[61.38636364 11.61363636] ; [12.61363636  2.38636364],0
d1,1,0.070547,3.270249,[40 33] ; [12  3],[43.13636364 29.86363636] ; [8.86363636 6.13636364],0
p5,1,0.086237,2.943243,[20 53] ; [ 1 14],[17.42045455 55.57954545] ; [ 3.57954545 11.42045455],0
p11,1,0.107446,2.591395,[58 15] ; [9 6],[55.57954545 17.42045455] ; [11.42045455  3.57954545],0
a7,1,0.107485,2.590809,[45 27] ; [6 9],[42.20689655 29.79310345] ; [8.79310345 6.20689655],0
p7,1,0.109678,2.558856,[48 25] ; [13  2],[50.60227273 22.39772727] ; [10.39772727  4.60227273],0
n1,1,0.12695,2.329412,[ 7 10] ; [4 1],[8.5 8.5] ; [2.5 2.5],0
p10,1,0.138614,2.193277,[60 12] ; [10  5],[57.93103448 14.06896552] ; [12.06896552  2.93103448],0
b1,1,0.148792,2.084591,[29 44] ; [9 6],[31.52272727 41.47727273] ; [6.47727273 8.52272727],0
d2,1,0.171957,1.865797,[39 33] ; [11  4],[41.37931034 30.62068966] ; [8.62068966 6.37931034],0
p9,1,0.236245,1.402864,[58 14] ; [10  5],[56.27586207 15.72413793] ; [11.72413793  3.27586207],0
a2,1,0.240525,1.377513,[14 59] ; [ 1 14],[12.44318182 60.55681818] ; [ 2.55681818 12.44318182],0
r4,1,0.247209,1.339009,[66  7] ; [12  3],[64.70454545  8.29545455] ; [13.29545455  1.70454545],0
v1,1,0.270659,1.213404,[32 40] ; [ 4 10],[30.13953488 41.86046512] ; [5.86046512 8.13953488],0
a1,1,0.27171,1.208093,[ 4 69] ; [ 2 13],[ 4.97727273 68.02272727] ; [ 1.02272727 13.97727273],0
p8,1,0.28011,1.166556,[37 35] ; [10  5],[38.89655172 33.10344828] ; [8.10344828 6.89655172],0
a6,1,0.282578,1.15465,[45 28] ; [7 8],[43.13636364 29.86363636] ; [8.86363636 6.13636364],0
u1,1,0.28259,1.154592,[13 60] ; [ 1 14],[11.61363636 61.38636364] ; [ 2.38636364 12.61363636],0
b4,1,0.295869,1.092723,[43 30] ; [11  4],[44.79545455 28.20454545] ; [9.20454545 5.79545455],0
v3,1,0.302284,1.06409,[26 47] ; [ 3 11],[24.33333333 48.66666667] ; [4.66666667 9.33333333],0
u2,1,0.315425,1.007824,[12 11] ; [1 3],[11.07407407 11.92592593] ; [1.92592593 2.07407407],0
p1,1,0.331329,0.943695,[12 61] ; [ 1 14],[10.78409091 62.21590909] ; [ 2.21590909 12.78409091],0
a3,1,0.396365,0.719325,[49 24] ; [11  3],[50.34482759 22.65517241] ; [9.65517241 4.34482759],0
n2,1,0.432738,0.615463,[11  7] ; [4 1],[11.73913043  6.26086957] ; [3.26086957 1.73913043],0
d5,1,0.51917,0.415543,[58 15] ; [13  2],[58.89772727 14.10227273] ; [12.10227273  2.89772727],0
r1,1,0.531025,0.39243,[63 10] ; [12  3],[62.21590909 10.78409091] ; [12.78409091  2.21590909],0
d3,1,0.549194,0.358763,[45 28] ; [8 7],[43.96590909 29.03409091] ; [9.03409091 5.96590909],0
b5,1,0.549194,0.358763,[28 45] ; [7 8],[29.03409091 43.96590909] ; [5.96590909 9.03409091],0
s7,1,0.570723,0.321474,[22 46] ; [6 9],[22.93975904 45.06024096] ; [5.06024096 9.93975904],0
p4,1,0.576268,0.312308,[44 28] ; [8 7],[43.03448276 28.96551724] ; [8.96551724 6.03448276],0
a5,1,0.623416,0.241096,[54 19] ; [12  3],[54.75 18.25] ; [11.25  3.75],0
s6,1,0.631992,0.229369,[46 25] ; [10  4],[46.77647059 24.22352941] ; [9.22352941 4.77647059],0
r3,1,0.709472,0.138805,[65  7] ; [14  1],[65.37931034  6.62068966] ; [13.62068966  1.37931034],0
s4,1,0.755867,0.096667,[12 60] ; [ 3 12],[12.4137931 59.5862069] ; [ 2.5862069 12.4137931],0
a4,1,0.764812,0.089502,[31 42] ; [7 8],[31.52272727 41.47727273] ; [6.47727273 8.52272727],0
p3,1,0.784735,0.074613,[41 32] ; [9 6],[41.47727273 31.52272727] ; [8.52272727 6.47727273],0
a8,1,0.843302,0.039074,[11 56] ; [ 2 12],[10.75308642 56.24691358] ; [ 2.24691358 11.75308642],0
n3,1,0.860503,0.030882,[12  5] ; [3 1],[12.14285714  4.85714286] ; [2.85714286 1.14285714],0
p6,1,0.915714,0.011201,[25 48] ; [5 9],[25.17241379 47.82758621] ; [4.82758621 9.17241379],0
p2,1,0.941457,0.005393,[59 14] ; [12  3],[58.89772727 14.10227273] ; [12.10227273  2.89772727],0
b2,1,0.957373,0.002857,[20 26] ; [4 5],[20.07272727 25.92727273] ; [3.92727273 5.07272727],0
b3,1,0.957373,0.002857,[20 26] ; [4 5],[20.07272727 25.92727273] ; [3.92727273 5.07272727],0
u3,1,1.0,0.0,[12 12] ; [2 2],[12. 12.] ; [2. 2.],0
s8,1,1.0,0.0,[24 48] ; [ 5 10],[24. 48.] ; [ 5. 10.],0
