Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.00617,7.5,[5 3] ; [ 5 27],[2. 6.] ; [ 8. 24.],0
p8,1,0.046302,3.970588,[3 5] ; [ 3 29],[1.2 6.8] ; [ 4.8 27.2],0
s1,1,0.086989,2.929224,[3 5] ; [ 4 29],[1.36585366 6.63414634] ; [ 5.63414634 27.36585366],0
s2,1,0.086989,2.929224,[3 5] ; [ 4 29],[1.36585366 6.63414634] ; [ 5.63414634 27.36585366],0
d3,1,0.089848,2.877088,[5 3] ; [10 23],[2.92682927 5.07317073] ; [12.07317073 20.92682927],0
a2,1,0.105301,2.623362,[2 6] ; [ 2 31],[0.7804878 7.2195122] ; [ 3.2195122 29.7804878],0
r1,1,0.150111,2.071118,[1 7] ; [13 20],[2.73170732 5.26829268] ; [11.26829268 21.73170732],0
p3,1,0.15243,2.047765,[3 5] ; [ 5 28],[1.56097561 6.43902439] ; [ 6.43902439 26.56097561],0
u3,1,0.179712,1.8,[1 1] ; [ 2 14],[0.33333333 1.66666667] ; [ 2.66666667 13.33333333],0
r3,1,0.229817,1.441992,[2 6] ; [16 17],[3.51219512 4.48780488] ; [14.48780488 18.51219512],0
a3,1,0.262943,1.253197,[6 2] ; [17 15],[4.6 3.4] ; [18.4 13.6],0
d4,1,0.291875,1.110951,[4 4] ; [23 10],[5.26829268 2.73170732] ; [21.73170732 11.26829268],0
a4,1,0.319984,0.989011,[4 4] ; [10 22],[2.8 5.2] ; [11.2 20.8],0
s6,1,0.335824,0.926307,[3 5] ; [ 7 26],[1.95121951 6.04878049] ; [ 8.04878049 24.95121951],0
s4,1,0.355168,0.854906,[2 6] ; [ 4 29],[1.17073171 6.82926829] ; [ 4.82926829 28.17073171],0
v2,1,0.36131,0.833333,[3 5] ; [ 7 25],[2. 6.] ; [ 8. 24.],0
n2,1,0.427205,0.630409,[2 1] ; [ 8 11],[1.36363636 1.63636364] ; [ 8.63636364 10.36363636],0
b4,1,0.478105,0.503182,[4 4] ; [21 12],[4.87804878 3.12195122] ; [20.12195122 12.87804878],0
n5,1,0.478105,0.503182,[4 4] ; [21 12],[4.87804878 3.12195122] ; [20.12195122 12.87804878],0
p9,1,0.478812,0.501567,[3 5] ; [ 8 24],[2.2 5.8] ; [ 8.8 23.2],0
p4,1,0.506586,0.441113,[2 6] ; [ 5 28],[1.36585366 6.63414634] ; [ 5.63414634 27.36585366],0
p11,1,0.56842,0.325333,[3 5] ; [ 9 24],[2.34146341 5.65853659] ; [ 9.65853659 23.34146341],0
b5,1,0.584871,0.298425,[4 4] ; [13 20],[3.31707317 4.68292683] ; [13.68292683 19.31707317],0
a6,1,0.584871,0.298425,[4 4] ; [13 20],[3.31707317 4.68292683] ; [13.68292683 19.31707317],0
s7,1,0.589032,0.291859,[2 5] ; [ 6 25],[1.47368421 5.52631579] ; [ 6.52631579 24.47368421],0
s3,1,0.612597,0.25641,[2 6] ; [11 21],[2.6 5.4] ; [10.4 21.6],0
d2,1,0.633553,0.227273,[5 3] ; [17 15],[4.4 3.6] ; [17.6 14.4],0
p1,1,0.662418,0.190599,[2 6] ; [ 6 27],[1.56097561 6.43902439] ; [ 6.43902439 26.56097561],0
r2,1,0.681725,0.16819,[4 4] ; [18 13],[4.51282051 3.48717949] ; [17.48717949 13.51282051],0
a7,1,0.684204,0.165431,[3 5] ; [15 18],[3.51219512 4.48780488] ; [14.48780488 18.51219512],0
s8,1,0.770637,0.084997,[1 7] ; [ 3 30],[0.7804878 7.2195122] ; [ 3.2195122 29.7804878],0
d1,1,0.79978,0.064329,[3 5] ; [14 19],[3.31707317 4.68292683] ; [13.68292683 19.31707317],0
p7,1,0.81637,0.053925,[2 6] ; [ 7 26],[1.75609756 6.24390244] ; [ 7.24390244 25.75609756],0
d5,1,0.817079,0.053502,[4 4] ; [18 15],[4.29268293 3.70731707] ; [17.70731707 15.29268293],0
n4,1,0.823563,0.049713,[5 3] ; [22 11],[5.26829268 2.73170732] ; [21.73170732 11.26829268],0
a1,1,0.849026,0.036237,[1 7] ; [ 5 28],[1.17073171 6.82926829] ; [ 4.82926829 28.17073171],0
p10,1,0.849842,0.035842,[2 6] ; [ 7 25],[1.8 6.2] ; [ 7.2 24.8],0
a5,1,0.938689,0.005916,[4 4] ; [17 16],[4.09756098 3.90243902] ; [16.90243902 16.09756098],0
b1,1,0.938689,0.005916,[4 4] ; [17 16],[4.09756098 3.90243902] ; [16.90243902 16.09756098],0
b2,1,0.945119,0.004739,[2 3] ; [10 14],[2.06896552 2.93103448] ; [ 9.93103448 14.06896552],0
b3,1,0.945119,0.004739,[2 3] ; [10 14],[2.06896552 2.93103448] ; [ 9.93103448 14.06896552],0
n6,1,1.0,0.0,[3 5] ; [12 20],[3. 5.] ; [12. 20.],0
