Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,69.733568,[333  69] ; [63 73],[295.89591078 106.10408922] ; [100.10408922  35.89591078],1
d1,1,0.0,68.359263,[286 117] ; [43 95],[245.07763401 157.92236599] ; [83.92236599 54.07763401],1
a4,1,0.0,53.078214,[216 185] ; [ 25 113],[179.29684601 221.70315399] ; [61.70315399 76.29684601],1
d2,1,0.0,51.469225,[232 169] ; [ 31 107],[195.66419295 205.33580705] ; [67.33580705 70.66419295],1
d5,1,0.0,38.002946,[353  47] ; [89 48],[329.23649907  70.76350093] ; [112.76350093  24.23649907],1
a6,1,0.0,29.334641,[297 103] ; [68 70],[271.37546468 128.62453532] ; [93.62453532 44.37546468],1
u1,1,0.0,27.62044,[ 96 307] ; [  5 133],[ 75.23659889 327.76340111] ; [ 25.76340111 112.23659889],1
r1,1,2e-06,22.880663,[353  47] ; [97 40],[335.19553073  64.80446927] ; [114.80446927  22.19553073],1
d4,1,3e-06,22.031997,[348  52] ; [95 42],[329.98137803  70.01862197] ; [113.01862197  23.98137803],1
d3,1,3.6e-05,17.091067,[302  99] ; [77 59],[283.01489758 117.98510242] ; [95.98510242 40.01489758],1
p4,1,4.3e-05,16.721304,[295 105] ; [76 62],[275.83643123 124.16356877] ; [95.16356877 42.83643123],1
p10,1,9.1e-05,15.319351,[353  46] ; [103  35],[338.81564246  60.18435754] ; [117.18435754  20.81564246],1
r4,1,0.000165,14.190508,[390  13] ; [122  16],[381.3974122  21.6025878] ; [130.6025878   7.3974122],1
s8,1,0.000181,14.015978,[212 186] ; [48 90],[193.05970149 204.94029851] ; [66.94029851 71.05970149],1
s5,1,0.000206,13.776592,[169 222] ; [ 34 101],[150.89923954 240.10076046] ; [52.10076046 82.89923954],1
p3,1,0.000343,12.819477,[261 140] ; [66 72],[243.27829314 157.72170686] ; [83.72170686 54.27829314],1
b3,1,0.00066,11.598961,[111 142] ; [19 64],[ 97.88690476 155.11309524] ; [32.11309524 50.88690476],1
b2,1,0.00066,11.598961,[111 142] ; [19 64],[ 97.88690476 155.11309524] ; [32.11309524 50.88690476],1
p9,1,0.000727,11.418584,[358  42] ; [107  30],[346.36871508  53.63128492] ; [118.63128492  18.36871508],1
n4,1,0.001532,10.03959,[330  71] ; [96 42],[316.93135436  84.06864564] ; [109.06864564  28.93135436],0
v2,1,0.002481,9.154782,[248 143] ; [64 68],[233.2543021 157.7456979] ; [78.7456979 53.2543021],0
s7,1,0.004648,8.01155,[223 163] ; [57 74],[209.05222437 176.94777563] ; [70.94777563 60.05222437],0
p2,1,0.018844,5.515979,[367  33] ; [117  21],[359.85130112  40.14869888] ; [124.14869888  13.85130112],0
v1,1,0.019966,5.414844,[239 159] ; [64 68],[227.53584906 170.46415094] ; [75.46415094 56.53584906],0
s6,1,0.0311,4.647431,[282 109] ; [84 51],[272.06463878 118.93536122] ; [93.93536122 41.06463878],0
v3,1,0.052418,3.762373,[174 214] ; [48 88],[164.38167939 223.61832061] ; [57.61832061 78.38167939],0
n5,1,0.059724,3.545036,[318  82] ; [99 39],[310.03717472  89.96282528] ; [106.96282528  31.03717472],0
n3,1,0.082846,3.00816,[59 12] ; [21 10],[55.68627451 15.31372549] ; [24.31372549  6.68627451],0
n6,1,0.096622,2.760426,[353  45] ; [114  23],[347.41308411  50.58691589] ; [119.58691589  17.41308411],0
p8,1,0.097816,2.740789,[275 122] ; [85 53],[267.14018692 129.85981308] ; [92.85981308 45.14018692],0
b1,1,0.113945,2.498637,[168 235] ; [47 91],[160.15711645 242.84288355] ; [54.84288355 83.15711645],0
a1,1,0.136828,2.213279,[ 25 378] ; [  4 134],[ 21.6025878 381.3974122] ; [  7.3974122 130.6025878],0
p12,1,0.164979,1.927988,[ 35 365] ; [  7 131],[ 31.2267658 368.7732342] ; [ 10.7732342 127.2267658],0
u4,1,0.206941,1.592699,[ 10 393] ; [  1 137],[  8.19408503 394.80591497] ; [  2.80591497 135.19408503],0
