Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,9.7e-05,15.197176,[47 13] ; [10 18],[38.86363636 21.13636364] ; [18.13636364  9.86363636],1
a6,1,0.00212,9.44254,[44 16] ; [11 17],[37.5 22.5] ; [17.5 10.5],0
a2,1,0.017166,5.679328,[18 42] ; [ 2 26],[13.63636364 46.36363636] ; [ 6.36363636 21.63636364],0
r1,1,0.040069,4.214954,[47 13] ; [16 12],[42.95454545 17.04545455] ; [20.04545455  7.95454545],0
d4,1,0.0495,3.8583,[53  7] ; [20  8],[49.77272727 10.22727273] ; [23.22727273  4.77272727],0
b5,1,0.066216,3.374423,[44 16] ; [15 13],[40.22727273 19.77272727] ; [18.77272727  9.22727273],0
s5,1,0.070076,3.28125,[10 46] ; [10 18],[13.33333333 42.66666667] ; [ 6.66666667 21.33333333],0
v1,1,0.079615,3.072736,[36 23] ; [11 16],[32.24418605 26.75581395] ; [14.75581395 12.24418605],0
s2,1,0.091317,2.851002,[20 38] ; [15 13],[23.60465116 34.39534884] ; [11.39534884 16.60465116],0
p2,1,0.128813,2.306757,[44 16] ; [16 12],[40.90909091 19.09090909] ; [19.09090909  8.90909091],0
n6,1,0.18927,1.723292,[44 16] ; [16 11],[41.37931034 18.62068966] ; [18.62068966  8.37931034],0
n5,1,0.205987,1.599408,[31 29] ; [10 17],[28.27586207 31.72413793] ; [12.72413793 14.27586207],0
n3,1,0.283391,1.150758,[15  5] ; [10  1],[16.12903226  3.87096774] ; [8.87096774 2.12903226],0
r4,1,0.290466,1.11746,[47 13] ; [19  9],[45. 15.] ; [21.  7.],0
s4,1,0.380689,0.768476,[ 8 51] ; [ 2 26],[ 6.7816092 52.2183908] ; [ 3.2183908 24.7816092],0
a4,1,0.411127,0.675539,[27 33] ; [10 18],[25.22727273 34.77272727] ; [11.77272727 16.22727273],0
b2,1,0.412847,0.670588,[12 28] ; [ 7 10],[13.33333333 26.66666667] ; [ 5.66666667 11.33333333],0
b3,1,0.412847,0.670588,[12 28] ; [ 7 10],[13.33333333 26.66666667] ; [ 5.66666667 11.33333333],0
n2,1,0.423925,0.639408,[13  6] ; [9 2],[13.93333333  5.06666667] ; [8.06666667 2.93333333],0
p1,1,0.424237,0.638549,[ 2 58] ; [ 2 26],[ 2.72727273 57.27272727] ; [ 1.27272727 26.72727273],0
u4,1,0.424237,0.638549,[ 2 58] ; [ 2 26],[ 2.72727273 57.27272727] ; [ 1.27272727 26.72727273],0
n1,1,0.447256,0.577597,[ 6 13] ; [5 6],[ 6.96666667 12.03333333] ; [4.03333333 6.96666667],0
b4,1,0.478247,0.502857,[39 21] ; [16 12],[37.5 22.5] ; [17.5 10.5],0
a3,1,0.482493,0.493224,[41 19] ; [17 11],[39.54545455 20.45454545] ; [18.45454545  9.54545455],0
n4,1,0.504495,0.445469,[40 20] ; [16 11],[38.62068966 21.37931034] ; [17.37931034  9.62068966],0
r3,1,0.513377,0.427177,[56  4] ; [25  3],[55.22727273  4.77272727] ; [25.77272727  2.22727273],0
p8,1,0.515674,0.422537,[24 35] ; [ 9 18],[22.63953488 36.36046512] ; [10.36046512 16.63953488],0
a8,1,0.536262,0.382513,[ 8 41] ; [ 3 24],[ 7.09210526 41.90789474] ; [ 3.90789474 23.09210526],0
p11,1,0.558549,0.342222,[34 26] ; [14 14],[32.72727273 27.27272727] ; [15.27272727 12.72727273],0
a1,1,0.559082,0.341297,[ 4 56] ; [ 1 27],[ 3.40909091 56.59090909] ; [ 1.59090909 26.40909091],0
u2,1,0.56917,0.324074,[ 7 11] ; [5 5],[ 7.71428571 10.28571429] ; [4.28571429 5.71428571],0
p12,1,0.576548,0.311849,[ 1 59] ; [ 1 27],[ 1.36363636 58.63636364] ; [ 0.63636364 27.36363636],0
s1,1,0.585326,0.297703,[ 1 58] ; [ 1 27],[ 1.35632184 57.64367816] ; [ 0.64367816 27.35632184],0
u3,1,0.592097,0.287081,[ 7 12] ; [3 8],[ 6.33333333 12.66666667] ; [3.66666667 7.33333333],0
d5,1,0.595444,0.281922,[48 12] ; [21  7],[47.04545455 12.95454545] ; [21.95454545  6.04545455],0
s8,1,0.627275,0.235774,[18 41] ; [10 18],[18.98850575 40.01149425] ; [ 9.01149425 18.98850575],0
v3,1,0.645934,0.211065,[24 34] ; [ 9 16],[23.06024096 34.93975904] ; [ 9.93975904 15.06024096],0
b1,1,0.661422,0.191801,[27 33] ; [14 14],[27.95454545 32.04545455] ; [13.04545455 14.95454545],0
