Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,5e-05,16.456158,[14 76] ; [29 35],[25.12987013 64.87012987] ; [17.87012987 46.12987013],1
v1,1,0.000176,14.071658,[25 67] ; [36 27],[36.20645161 55.79354839] ; [24.79354839 38.20645161],1
d1,1,0.003246,8.663541,[19 74] ; [27 37],[27.24840764 65.75159236] ; [18.75159236 45.24840764],0
a3,1,0.005122,7.835887,[31 61] ; [36 28],[39.51282051 52.48717949] ; [27.48717949 36.51282051],0
d3,1,0.009575,6.71221,[42 49] ; [43 21],[49.90322581 41.09677419] ; [35.09677419 28.90322581],0
d5,1,0.016338,5.766096,[47 45] ; [45 19],[54.25641026 37.74358974] ; [37.74358974 26.25641026],0
p11,1,0.026835,4.90139,[49 44] ; [45 19],[55.68152866 37.31847134] ; [38.31847134 25.68152866],0
n6,1,0.031818,4.608265,[61 32] ; [52 12],[66.93630573 26.06369427] ; [46.06369427 17.93630573],0
a4,1,0.032797,4.556346,[10 83] ; [15 49],[14.8089172 78.1910828] ; [10.1910828 53.8089172],0
p7,1,0.038886,4.265852,[29 60] ; [31 32],[35.13157895 53.86842105] ; [24.86842105 38.13157895],0
r1,1,0.044163,4.050322,[49 44] ; [44 20],[55.08917197 37.91082803] ; [37.91082803 26.08917197],0
r3,1,0.048413,3.895596,[75 18] ; [58  5],[79.28846154 13.71153846] ; [53.71153846  9.28846154],0
s8,1,0.064793,3.410252,[16 77] ; [19 45],[20.73248408 72.26751592] ; [14.26751592 49.73248408],0
d4,1,0.083502,2.995392,[57 36] ; [47 16],[62. 31.] ; [42. 21.],0
r2,1,0.084652,2.973246,[73 20] ; [57  7],[77.00636943 15.99363057] ; [52.99363057 11.00636943],0
v4,1,0.08772,2.915726,[75 18] ; [58  6],[78.78343949 14.21656051] ; [54.21656051  9.78343949],0
n4,1,0.09338,2.815119,[47 46] ; [41 23],[52.12738854 40.87261146] ; [35.87261146 28.12738854],0
s1,1,0.096059,2.76979,[ 7 85] ; [ 1 62],[ 4.7483871 87.2516129] ; [ 3.2516129 59.7483871],0
b1,1,0.106598,2.603951,[44 49] ; [22 42],[39.0955414 53.9044586] ; [26.9044586 37.0955414],0
s6,1,0.10949,2.56157,[41 52] ; [36 27],[45.90384615 47.09615385] ; [31.09615385 31.90384615],0
p10,1,0.143034,2.145006,[49 43] ; [41 22],[53.41935484 38.58064516] ; [36.58064516 26.41935484],0
p2,1,0.15256,2.046469,[55 38] ; [45 19],[59.23566879 33.76433121] ; [40.76433121 23.23566879],0
r4,1,0.198753,1.651517,[64 29] ; [50 14],[67.52866242 25.47133758] ; [46.47133758 17.52866242],0
a7,1,0.20414,1.612502,[52 40] ; [42 21],[55.79354839 36.20645161] ; [38.20645161 24.79354839],0
p9,1,0.207396,1.58951,[53 38] ; [43 20],[56.72727273 34.27272727] ; [39.27272727 23.72727273],0
p4,1,0.220485,1.501212,[33 59] ; [17 47],[29.48717949 62.51282051] ; [20.51282051 43.48717949],0
p6,1,0.279403,1.169991,[14 77] ; [14 49],[16.54545455 74.45454545] ; [11.45454545 51.54545455],0
s5,1,0.300207,1.073276,[21 69] ; [10 51],[18.47682119 71.52317881] ; [12.52317881 48.47682119],0
