Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2.9e-05,17.483857,[4 3] ; [87  3],[6.56701031 0.43298969] ; [84.43298969  5.56701031],1
v4,1,0.000732,11.40524,[5 2] ; [88  2],[6.71134021 0.28865979] ; [86.28865979  3.71134021],1
s6,1,0.001437,10.158009,[3 4] ; [74 10],[5.92307692 1.07692308] ; [71.07692308 12.92307692],0
r2,1,0.003282,8.643636,[4 3] ; [83  7],[6.27835052 0.72164948] ; [80.72164948  9.27835052],0
p4,1,0.062537,3.468788,[6 3] ; [79 10],[7.80612245 1.19387755] ; [77.19387755 11.80612245],0
p7,1,0.08129,3.038924,[5 4] ; [71 17],[7.05154639 1.94845361] ; [68.94845361 19.05154639],0
s2,1,0.092062,2.837946,[2 5] ; [55 35],[4.11340206 2.88659794] ; [52.88659794 37.11340206],0
n4,1,0.102553,2.665385,[7 2] ; [84  6],[8.27272727 0.72727273] ; [82.72727273  7.27272727],0
r1,1,0.116216,2.467595,[5 3] ; [76 14],[6.6122449 1.3877551] ; [74.3877551 15.6122449],0
n5,1,0.15066,2.065556,[7 2] ; [83  7],[8.18181818 0.81818182] ; [81.81818182  8.18181818],0
s8,1,0.202151,1.626765,[3 5] ; [54 35],[4.70103093 3.29896907] ; [52.29896907 36.70103093],0
a2,1,0.216446,1.527778,[3 6] ; [15 75],[1.63636364 7.36363636] ; [16.36363636 73.63636364],0
v3,1,0.222127,1.490579,[3 5] ; [52 35],[4.63157895 3.36842105] ; [50.36842105 36.63157895],0
u1,1,0.258536,1.276579,[3 6] ; [16 74],[1.72727273 7.27272727] ; [17.27272727 72.72727273],0
p8,1,0.266791,1.23317,[6 3] ; [73 16],[7.25510204 1.74489796] ; [71.74489796 17.25510204],0
s5,1,0.345929,0.888336,[3 3] ; [57 26],[4.04494382 1.95505618] ; [55.95505618 27.04494382],0
a6,1,0.354985,0.855556,[7 2] ; [56 34],[5.72727273 3.27272727] ; [57.27272727 32.72727273],0
d2,1,0.37291,0.793944,[6 3] ; [46 44],[4.72727273 4.27272727] ; [47.27272727 42.72727273],0
a3,1,0.400394,0.707143,[6 3] ; [71 19],[7. 2.] ; [70. 20.],0
d5,1,0.400394,0.707143,[8 1] ; [69 21],[7. 2.] ; [70. 20.],0
b1,1,0.403163,0.698872,[5 4] ; [37 53],[3.81818182 5.18181818] ; [38.18181818 51.81818182],0
d3,1,0.421882,0.645068,[7 2] ; [58 32],[5.90909091 3.09090909] ; [59.09090909 30.90909091],0
u2,1,0.427205,0.630409,[1 2] ; [11  8],[1.63636364 1.36363636] ; [10.36363636  8.63636364],0
p6,1,0.430905,0.620382,[4 4] ; [57 32],[5.03092784 2.96907216] ; [55.96907216 33.03092784],0
a4,1,0.441637,0.592027,[5 4] ; [38 52],[3.90909091 5.09090909] ; [39.09090909 50.90909091],0
n1,1,0.465693,0.532176,[1 2] ; [9 7],[1.57894737 1.42105263] ; [8.42105263 7.57894737],0
v1,1,0.548821,0.359434,[4 3] ; [60 28],[4.71578947 2.28421053] ; [59.28421053 28.71578947],0
s7,1,0.596158,0.28083,[5 3] ; [60 24],[5.65217391 2.34782609] ; [59.34782609 24.65217391],0
b3,1,0.60564,0.266573,[4 3] ; [30 34],[3.35211268 3.64788732] ; [30.64788732 33.35211268],0
b2,1,0.60564,0.266573,[4 3] ; [30 34],[3.35211268 3.64788732] ; [30.64788732 33.35211268],0
a7,1,0.624954,0.238966,[7 2] ; [63 27],[6.36363636 2.63636364] ; [63.63636364 26.36363636],0
u3,1,0.650041,0.205848,[2 1] ; [10  9],[1.63636364 1.36363636] ; [10.36363636  8.63636364],0
d1,1,0.69634,0.152308,[6 3] ; [54 36],[5.45454545 3.54545455] ; [54.54545455 35.45454545],0
s1,1,0.726457,0.12239,[1 8] ; [ 7 83],[0.72727273 8.27272727] ; [ 7.27272727 82.72727273],0
v2,1,0.730436,0.118712,[4 4] ; [49 38],[4.46315789 3.53684211] ; [48.53684211 38.46315789],0
s3,1,0.761078,0.092456,[4 3] ; [56 33],[4.375 2.625] ; [55.625 33.375],0
a1,1,0.784368,0.074874,[1 8] ; [13 77],[1.27272727 7.72727273] ; [12.72727273 77.27272727],0
p11,1,0.784368,0.074874,[8 1] ; [77 13],[7.72727273 1.27272727] ; [77.27272727 12.72727273],0
n3,1,0.798217,0.065359,[2 1] ; [10  7],[1.8 1.2] ; [10.2  6.8],0
p12,1,0.86617,0.028401,[2 6] ; [25 65],[2.20408163 5.79591837] ; [24.79591837 65.20408163],0
a5,1,0.882087,0.022,[7 2] ; [68 22],[6.81818182 2.18181818] ; [68.18181818 21.81818182],0
p1,1,0.890983,0.018786,[3 6] ; [28 62],[2.81818182 6.18181818] ; [28.18181818 61.81818182],0
p3,1,0.938033,0.006044,[7 2] ; [71 19],[7.09090909 1.90909091] ; [70.90909091 19.09090909],0
b4,1,0.948875,0.004111,[5 4] ; [51 39],[5.09090909 3.90909091] ; [50.90909091 39.09090909],0
b5,1,1.0,0.0,[4 5] ; [40 50],[4. 5.] ; [40. 50.],0
p2,1,1.0,0.0,[8 1] ; [80 10],[8. 1.] ; [80. 10.],0
