Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2.5e-05,17.800099,[45 51] ; [ 4 38],[34.08695652 61.91304348] ; [14.91304348 27.08695652],1
n5,1,0.000151,14.360165,[79 22] ; [21 24],[69.17808219 31.82191781] ; [30.82191781 14.17808219],1
a5,1,0.000833,11.166492,[70 31] ; [18 27],[60.87671233 40.12328767] ; [27.12328767 17.87671233],1
s8,1,0.003871,8.343232,[38 63] ; [ 6 38],[30.64827586 70.35172414] ; [13.35172414 30.64827586],0
v3,1,0.011052,6.456934,[33 63] ; [ 6 38],[26.74285714 69.25714286] ; [12.25714286 31.74285714],0
a3,1,0.018815,5.518626,[69 32] ; [21 23],[62.68965517 38.31034483] ; [27.31034483 16.68965517],0
p10,1,0.023158,5.156637,[65 34] ; [20 24],[58.84615385 40.15384615] ; [26.15384615 17.84615385],0
d5,1,0.03368,4.510899,[66 35] ; [21 24],[60.18493151 40.81506849] ; [26.81506849 18.18493151],0
d1,1,0.059883,3.540625,[41 60] ; [11 34],[35.97260274 65.02739726] ; [16.02739726 28.97260274],0
r1,1,0.062724,3.463865,[70 31] ; [24 21],[65.02739726 35.97260274] ; [28.97260274 16.02739726],0
s6,1,0.067884,3.333448,[51 48] ; [15 28],[46.01408451 52.98591549] ; [19.98591549 23.01408451],0
p2,1,0.068116,3.32784,[67 33] ; [23 22],[62.06896552 37.93103448] ; [27.93103448 17.06896552],0
u3,1,0.103206,2.655287,[ 8 24] ; [11 13],[10.85714286 21.14285714] ; [ 8.14285714 15.85714286],0
p3,1,0.105216,2.624646,[28 72] ; [ 7 38],[24.13793103 75.86206897] ; [10.86206897 34.13793103],0
n1,1,0.110753,2.543445,[15 19] ; [ 6 19],[12.10169492 21.89830508] ; [ 8.89830508 16.10169492],0
n6,1,0.114704,2.488181,[77 23] ; [29 16],[73.10344828 26.89655172] ; [32.89655172 12.10344828],0
s3,1,0.125881,2.342584,[51 48] ; [17 28],[46.75 52.25] ; [21.25 23.75],0
p6,1,0.174824,1.841084,[21 78] ; [ 5 38],[18.12676056 80.87323944] ; [ 7.87323944 35.12676056],0
p8,1,0.177209,1.820875,[28 71] ; [ 8 37],[24.75 74.25] ; [11.25 33.75],0
u1,1,0.186172,1.747654,[ 8 93] ; [ 1 44],[ 6.2260274 94.7739726] ; [ 2.7739726 42.2260274],0
b2,1,0.188375,1.730282,[33 38] ; [ 6 14],[30.42857143 40.57142857] ; [ 8.57142857 11.42857143],0
b3,1,0.188375,1.730282,[33 38] ; [ 6 14],[30.42857143 40.57142857] ; [ 8.57142857 11.42857143],0
p9,1,0.189461,1.721807,[66 32] ; [24 19],[62.55319149 35.44680851] ; [27.44680851 15.55319149],0
a6,1,0.21616,1.529683,[47 54] ; [16 29],[43.58219178 57.41780822] ; [19.41780822 25.58219178],0
s1,1,0.24371,1.359008,[ 7 93] ; [ 1 44],[ 5.51724138 94.48275862] ; [ 2.48275862 42.51724138],0
p12,1,0.249206,1.327752,[ 7 92] ; [ 1 43],[ 5.53846154 93.46153846] ; [ 2.46153846 41.53846154],0
d2,1,0.265162,1.241607,[45 54] ; [16 29],[41.9375 57.0625] ; [19.0625 25.9375],0
s2,1,0.276569,1.183874,[39 61] ; [13 31],[36.11111111 63.88888889] ; [15.88888889 28.11111111],0
a4,1,0.305701,1.049157,[40 60] ; [14 31],[37.24137931 62.75862069] ; [16.75862069 28.24137931],0
r2,1,0.350599,0.871289,[88 12] ; [37  8],[86.20689655 13.79310345] ; [38.79310345  6.20689655],0
v2,1,0.379996,0.770713,[40 57] ; [14 28],[37.68345324 59.31654676] ; [16.31654676 25.68345324],0
a1,1,0.395759,0.721174,[ 7 94] ; [ 5 40],[ 8.30136986 92.69863014] ; [ 3.69863014 41.30136986],0
v4,1,0.433774,0.612699,[81 19] ; [38  6],[82.63888889 17.36111111] ; [36.36111111  7.63888889],0
p1,1,0.442555,0.58965,[ 8 93] ; [ 2 43],[ 6.91780822 94.08219178] ; [ 3.08219178 41.91780822],0
b4,1,0.463185,0.538187,[54 47] ; [27 18],[56.03424658 44.96575342] ; [24.96575342 20.03424658],0
n2,1,0.553504,0.351077,[22 12] ; [18  7],[23.05084746 10.94915254] ; [16.94915254  8.05084746],0
u2,1,0.638018,0.221344,[14 18] ; [ 9 15],[13.14285714 18.85714286] ; [ 9.85714286 14.14285714],0
v1,1,0.648503,0.207792,[45 55] ; [18 26],[43.75 56.25] ; [19.25 24.75],0
p11,1,0.660909,0.192421,[71 30] ; [30 15],[69.86986301 31.13013699] ; [31.13013699 13.86986301],0
r4,1,0.67622,0.174413,[73 28] ; [31 14],[71.94520548 29.05479452] ; [32.05479452 12.94520548],0
n3,1,0.684706,0.164876,[21 12] ; [14 10],[20.26315789 12.73684211] ; [14.73684211  9.26315789],0
d4,1,0.753135,0.098915,[67 34] ; [28 16],[66.17241379 34.82758621] ; [28.82758621 15.17241379],0
d3,1,0.761788,0.09189,[34 67] ; [14 31],[33.20547945 67.79452055] ; [14.79452055 30.20547945],0
s5,1,0.765834,0.088702,[25 73] ; [12 31],[25.71631206 72.28368794] ; [11.28368794 31.71631206],0
a2,1,0.790927,0.070282,[ 8 93] ; [ 3 42],[ 7.60958904 93.39041096] ; [ 3.39041096 41.60958904],0
p5,1,0.806742,0.059844,[ 3 97] ; [ 1 43],[ 2.77777778 97.22222222] ; [ 1.22222222 42.77777778],0
s4,1,0.861149,0.030594,[19 81] ; [ 8 37],[18.62068966 81.37931034] ; [ 8.37931034 36.62068966],0
p7,1,0.891695,0.018539,[43 56] ; [19 26],[42.625 56.375] ; [19.375 25.625],0
b1,1,0.923603,0.009196,[48 53] ; [21 24],[47.73287671 53.26712329] ; [21.26712329 23.73287671],0
a8,1,0.93449,0.006756,[ 7 88] ; [ 3 40],[ 6.88405797 88.11594203] ; [ 3.11594203 39.88405797],0
b5,1,0.945187,0.004727,[51 50] ; [23 22],[51.19178082 49.80821918] ; [22.80821918 22.19178082],0
r3,1,0.977908,0.000767,[81 20] ; [36  9],[80.93835616 20.06164384] ; [36.06164384  8.93835616],0
