Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2e-06,22.272983,[34  3] ; [41 47],[22.2 14.8] ; [52.8 35.2],1
p1,1,0.000165,14.188763,[ 7 29] ; [ 1 87],[ 2.32258065 33.67741935] ; [ 5.67741935 82.32258065],1
s8,1,0.001466,10.120559,[20 17] ; [22 67],[12.33333333 24.66666667] ; [29.66666667 59.33333333],0
s3,1,0.001548,10.020202,[26 10] ; [36 52],[18. 18.] ; [44. 44.],0
s2,1,0.001963,9.584078,[24 13] ; [31 58],[16.15079365 20.84920635] ; [38.84920635 50.15079365],0
b4,1,0.003384,8.588126,[28  9] ; [42 47],[20.55555556 16.44444444] ; [49.44444444 39.55555556],0
p3,1,0.005536,7.69553,[25 12] ; [36 53],[17.91269841 19.08730159] ; [43.08730159 45.91269841],0
s4,1,0.007403,7.17251,[15 22] ; [16 73],[ 9.1031746 27.8968254] ; [21.8968254 67.1031746],0
s7,1,0.022494,5.207152,[18 16] ; [26 59],[12.57142857 21.42857143] ; [31.42857143 53.57142857],0
b5,1,0.0335,4.520066,[17 20] ; [59 30],[22.31746032 14.68253968] ; [53.68253968 35.31746032],0
p6,1,0.03421,4.484197,[18 18] ; [26 61],[12.87804878 23.12195122] ; [31.12195122 55.87804878],0
a1,1,0.039806,4.226146,[ 4 33] ; [ 2 87],[ 1.76190476 35.23809524] ; [ 4.23809524 84.76190476],0
d4,1,0.044671,4.031033,[32  5] ; [61 27],[27.528  9.472] ; [65.472 22.528],0
d1,1,0.045278,4.00825,[20 17] ; [31 58],[14.97619048 22.02380952] ; [36.02380952 52.97619048],0
a5,1,0.052119,3.771939,[28  9] ; [51 38],[23.1984127 13.8015873] ; [55.8015873 33.1984127],0
p9,1,0.062387,3.472759,[32  5] ; [63 26],[27.8968254  9.1031746] ; [67.1031746 21.8968254],0
p10,1,0.079133,3.082617,[31  6] ; [61 28],[27.01587302  9.98412698] ; [64.98412698 24.01587302],0
n6,1,0.079596,3.073124,[28  8] ; [54 34],[23.80645161 12.19354839] ; [58.19354839 29.80645161],0
v2,1,0.116054,2.469776,[22 15] ; [36 46],[18.03361345 18.96638655] ; [39.96638655 42.03361345],0
r2,1,0.123101,2.377422,[34  2] ; [75 14],[31.392  4.608] ; [77.608 11.392],0
p12,1,0.124818,2.355798,[ 3 34] ; [ 2 87],[ 1.46825397 35.53174603] ; [ 3.53174603 85.46825397],0
v3,1,0.125623,2.345779,[13 23] ; [19 65],[ 9.6 26.4] ; [22.4 61.6],0
b1,1,0.127353,2.324476,[12 25] ; [42 47],[15.85714286 21.14285714] ; [38.14285714 50.85714286],0
r4,1,0.163149,1.94479,[33  4] ; [70 19],[30.24603175  6.75396825] ; [72.75396825 16.24603175],0
a4,1,0.164053,1.936467,[16 21] ; [27 62],[12.62698413 24.37301587] ; [30.37301587 58.62698413],0
v4,1,0.166708,1.912298,[35  1] ; [79  9],[33.09677419  2.90322581] ; [80.90322581  7.09677419],0
p8,1,0.177533,1.818156,[25 12] ; [48 40],[21.608 15.392] ; [51.392 36.608],0
n1,1,0.207717,1.587265,[5 9] ; [ 4 19],[ 3.40540541 10.59459459] ; [ 5.59459459 17.40540541],0
d5,1,0.214749,1.539117,[27 10] ; [54 34],[23.976 13.024] ; [57.024 30.976],0
n3,1,0.217657,1.51975,[10  4] ; [21  3],[11.42105263  2.57894737] ; [19.57894737  4.42105263],0
u2,1,0.225413,1.469574,[7 7] ; [22 10],[8.82608696 5.17391304] ; [20.17391304 11.82608696],0
p4,1,0.2356,1.406727,[25 12] ; [50 39],[22.02380952 14.97619048] ; [52.97619048 36.02380952],0
u1,1,0.239718,1.38225,[ 6 31] ; [ 8 81],[ 4.11111111 32.88888889] ; [ 9.88888889 79.11111111],0
a2,1,0.250281,1.321735,[ 7 30] ; [10 79],[ 4.99206349 32.00793651] ; [12.00793651 76.99206349],0
a8,1,0.265063,1.242118,[ 1 34] ; [ 7 75],[ 2.39316239 32.60683761] ; [ 5.60683761 76.39316239],0
p11,1,0.265525,1.239721,[29  8] ; [61 28],[26.42857143 10.57142857] ; [63.57142857 25.42857143],0
a6,1,0.278032,1.176686,[19 18] ; [55 34],[21.73015873 15.26984127] ; [52.26984127 36.73015873],0
n5,1,0.287854,1.12963,[11 26] ; [35 53],[13.616 23.384] ; [32.384 55.616],0
b3,1,0.313525,1.01577,[ 7 12] ; [11 34],[ 5.34375 13.65625] ; [12.65625 32.34375],0
b2,1,0.313525,1.01577,[ 7 12] ; [11 34],[ 5.34375 13.65625] ; [12.65625 32.34375],0
d3,1,0.450299,0.5699,[26 11] ; [55 32],[24.16935484 12.83064516] ; [56.83064516 30.16935484],0
d2,1,0.544375,0.367491,[15 22] ; [31 58],[13.50793651 23.49206349] ; [32.49206349 56.50793651],0
v1,1,0.585815,0.296927,[17 19] ; [36 50],[15.63934426 20.36065574] ; [37.36065574 48.63934426],0
p5,1,0.612896,0.255979,[ 3 34] ; [ 5 83],[ 2.368 34.632] ; [ 5.632 82.368],0
r1,1,0.621401,0.243904,[27 10] ; [61 28],[25.84126984 11.15873016] ; [62.15873016 26.84126984],0
s1,1,0.845545,0.037949,[ 1 36] ; [ 3 86],[ 1.17460317 35.82539683] ; [ 2.82539683 86.17460317],0
a7,1,0.847081,0.037189,[25 12] ; [61 27],[25.456 11.544] ; [60.544 27.456],0
u3,1,0.885497,0.020737,[8 6] ; [17 14],[7.77777778 6.22222222] ; [17.22222222 13.77777778],0
p2,1,0.909871,0.012814,[31  6] ; [73 15],[30.784  6.216] ; [73.216 14.784],0
a3,1,0.919096,0.010317,[23 13] ; [56 33],[22.752 13.248] ; [56.248 32.752],0
n2,1,0.968868,0.001523,[10  4] ; [17  7],[9.94736842 4.05263158] ; [17.05263158  6.94736842],0
