Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,2.7e-05,17.651737,[22 25] ; [ 6 52],[12.53333333 34.46666667] ; [15.46666667 42.53333333],1
p6,1,0.000216,13.684472,[22 24] ; [ 8 48],[13.52941176 32.47058824] ; [16.47058824 39.52941176],1
s8,1,0.000432,12.390135,[21 26] ; [ 8 50],[12.98095238 34.01904762] ; [16.01904762 41.98095238],1
p8,1,0.000521,12.040369,[26 21] ; [13 45],[17.45714286 29.54285714] ; [21.54285714 36.45714286],1
s7,1,0.00077,11.312966,[22 22] ; [10 45],[14.22222222 29.77777778] ; [17.77777778 37.22222222],1
p10,1,0.002657,9.028888,[34 13] ; [24 32],[26.46601942 20.53398058] ; [31.53398058 24.46601942],0
v4,1,0.002956,8.834437,[43  3] ; [40 17],[37.06796117  8.93203883] ; [45.93203883 11.06796117],0
s6,1,0.003213,8.68222,[29 16] ; [20 37],[21.61764706 23.38235294] ; [27.38235294 29.61764706],0
n4,1,0.003266,8.652728,[38  9] ; [31 27],[30.88571429 16.11428571] ; [38.11428571 19.88571429],0
p7,1,0.004187,8.200757,[32 14] ; [24 34],[24.76923077 21.23076923] ; [31.23076923 26.76923077],0
v3,1,0.005224,7.800214,[16 29] ; [ 7 50],[10.14705882 34.85294118] ; [12.85294118 44.14705882],0
d5,1,0.011233,6.428116,[27 20] ; [19 39],[20.59047619 26.40952381] ; [25.40952381 32.59047619],0
r3,1,0.011982,6.313517,[42  5] ; [40 18],[36.7047619 10.2952381] ; [45.2952381 12.7047619],0
v1,1,0.014734,5.948,[26 21] ; [18 39],[19.88461538 27.11538462] ; [24.11538462 32.88461538],0
p9,1,0.01527,5.88506,[36 11] ; [30 26],[30.11650485 16.88349515] ; [35.88349515 20.11650485],0
p2,1,0.022312,5.221298,[36 11] ; [32 26],[30.43809524 16.56190476] ; [37.56190476 20.43809524],0
d3,1,0.025473,4.99143,[22 25] ; [15 43],[16.56190476 30.43809524] ; [20.43809524 37.56190476],0
r1,1,0.03447,4.471237,[30 17] ; [25 33],[24.61904762 22.38095238] ; [30.38095238 27.61904762],0
u3,1,0.037752,4.316154,[15 11] ; [12 26],[10.96875 15.03125] ; [16.03125 21.96875],0
r4,1,0.040764,4.185781,[35 12] ; [32 26],[29.99047619 17.00952381] ; [37.00952381 20.99047619],0
s2,1,0.048267,3.900682,[22 25] ; [16 41],[17.17307692 29.82692308] ; [20.82692308 36.17307692],0
n5,1,0.110841,2.542186,[36 11] ; [36 22],[32.22857143 14.77142857] ; [39.77142857 18.22857143],0
b1,1,0.143814,2.136671,[27 20] ; [25 33],[23.27619048 23.72380952] ; [28.72380952 29.27619048],0
u2,1,0.151445,2.057633,[15 11] ; [15 23],[12.1875 13.8125] ; [17.8125 20.1875],0
v2,1,0.164435,1.932963,[20 25] ; [16 36],[16.70103093 28.29896907] ; [19.29896907 32.70103093],0
s5,1,0.178657,1.808757,[14 30] ; [11 44],[11.11111111 32.88888889] ; [13.88888889 41.11111111],0
d4,1,0.244649,1.353603,[26 21] ; [25 32],[23.04807692 23.95192308] ; [27.95192308 29.04807692],0
a1,1,0.253865,1.301908,[ 1 46] ; [ 4 54],[ 2.23809524 44.76190476] ; [ 2.76190476 55.23809524],0
n6,1,0.266907,1.232575,[34 13] ; [36 22],[31.33333333 15.66666667] ; [38.66666667 19.33333333],0
n1,1,0.299538,1.07625,[7 7] ; [ 9 18],[5.46341463 8.53658537] ; [10.53658537 16.46341463],0
d1,1,0.306118,1.047349,[11 36] ; [ 9 49],[ 8.95238095 38.04761905] ; [11.04761905 46.95238095],0
s3,1,0.310275,1.029503,[26 20] ; [26 30],[23.45098039 22.54901961] ; [28.54901961 27.45098039],0
a3,1,0.319092,0.992664,[21 26] ; [20 37],[18.52884615 28.47115385] ; [22.47115385 34.52884615],0
b3,1,0.321121,0.984375,[ 5 23] ; [10 25],[ 6.66666667 21.33333333] ; [ 8.33333333 26.66666667],0
b2,1,0.321121,0.984375,[ 5 23] ; [10 25],[ 6.66666667 21.33333333] ; [ 8.33333333 26.66666667],0
p11,1,0.441422,0.592584,[31 16] ; [34 24],[29.0952381 17.9047619] ; [35.9047619 22.0952381],0
b4,1,0.461414,0.542461,[25 22] ; [35 23],[26.85714286 20.14285714] ; [33.14285714 24.85714286],0
a8,1,0.546543,0.363548,[ 5 41] ; [ 4 50],[ 4.14 41.86] ; [ 4.86 49.14],0
a4,1,0.682714,0.167087,[ 9 38] ; [13 45],[ 9.84761905 37.15238095] ; [12.15238095 45.84761905],0
d2,1,0.706186,0.142117,[13 34] ; [18 40],[13.87619048 33.12380952] ; [17.12380952 40.87619048],0
p1,1,0.726179,0.122649,[ 5 42] ; [ 5 53],[ 4.47619048 42.52380952] ; [ 5.52380952 52.47619048],0
r2,1,0.773062,0.083158,[36 10] ; [44 14],[35.38461538 10.61538462] ; [44.61538462 13.38461538],0
s1,1,0.786302,0.073504,[ 3 43] ; [ 3 54],[ 2.67961165 43.32038835] ; [ 3.32038835 53.67961165],0
a6,1,0.80394,0.061629,[14 33] ; [16 42],[13.42857143 33.57142857] ; [16.57142857 41.42857143],0
p12,1,0.807416,0.059419,[ 3 44] ; [ 3 54],[ 2.71153846 44.28846154] ; [ 3.28846154 53.71153846],0
s4,1,0.844407,0.038518,[ 9 38] ; [12 46],[ 9.4 37.6] ; [11.6 46.4],0
n2,1,0.878828,0.023243,[9 5] ; [18  9],[9.2195122 4.7804878] ; [17.7804878  9.2195122],0
n3,1,0.910434,0.012654,[7 7] ; [14 13],[7.17073171 6.82926829] ; [13.82926829 13.17073171],0
b5,1,0.988004,0.000226,[26 21] ; [32 26],[25.96190476 21.03809524] ; [32.03809524 25.96190476],0
