Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.013243,6.136364,[ 8 14] ; [7 1],[11. 11.] ; [4. 4.],0
a5,1,0.03965,4.232804,[ 8 16] ; [6 2],[10.5 13.5] ; [3.5 4.5],0
r4,1,0.04911,3.871605,[ 2 22] ; [3 5],[ 3.75 20.25] ; [1.25 6.75],0
a7,1,0.053116,3.74026,[ 6 18] ; [5 3],[ 8.25 15.75] ; [2.75 5.25],0
p9,1,0.092373,2.832522,[ 6 15] ; [5 3],[ 7.96551724 13.03448276] ; [3.03448276 4.96551724],0
v1,1,0.112058,2.52496,[ 5 19] ; [4 4],[ 6.75 17.25] ; [2.25 5.75],0
p1,1,0.116664,2.461538,[ 3 21] ; [3 5],[ 4.5 19.5] ; [1.5 6.5],0
p6,1,0.131521,2.274457,[ 3 20] ; [3 5],[ 4.4516129 18.5483871] ; [1.5483871 6.4516129],0
a6,1,0.145761,2.116059,[ 8 16] ; [5 3],[ 9.75 14.25] ; [3.25 4.75],0
p2,1,0.152239,2.049673,[13 11] ; [2 6],[11.25 12.75] ; [3.75 4.25],0
s1,1,0.217044,1.52381,[ 2 22] ; [2 6],[ 3. 21.] ; [1. 7.],0
d3,1,0.217044,1.52381,[ 4 20] ; [3 5],[ 5.25 18.75] ; [1.75 6.25],0
s2,1,0.217044,1.52381,[ 4 20] ; [3 5],[ 5.25 18.75] ; [1.75 6.25],0
b3,1,0.221099,1.497222,[ 6 10] ; [4 2],[7.27272727 8.72727273] ; [2.72727273 3.27272727],0
b2,1,0.221099,1.497222,[ 6 10] ; [4 2],[7.27272727 8.72727273] ; [2.72727273 3.27272727],0
a4,1,0.241315,1.372897,[ 4 19] ; [3 5],[ 5.19354839 17.80645161] ; [1.80645161 6.19354839],0
s7,1,0.2686,1.223885,[ 4 18] ; [3 5],[ 5.13333333 16.86666667] ; [1.86666667 6.13333333],0
d5,1,0.345779,0.888889,[ 5 19] ; [3 5],[ 6. 18.] ; [2. 6.],0
n4,1,0.345779,0.888889,[17  7] ; [7 1],[18.  6.] ; [6. 2.],0
a2,1,0.399075,0.711111,[ 1 23] ; [1 7],[ 1.5 22.5] ; [0.5 7.5],0
a1,1,0.399075,0.711111,[ 3 21] ; [2 6],[ 3.75 20.25] ; [1.25 6.75],0
p8,1,0.418437,0.6547,[ 5 17] ; [3 5],[ 5.86666667 16.13333333] ; [2.13333333 5.86666667],0
p7,1,0.519149,0.415584,[ 9 15] ; [2 6],[ 8.25 15.75] ; [2.75 5.25],0
b4,1,0.539498,0.376471,[12 12] ; [5 3],[12.75 11.25] ; [4.25 3.75],0
b1,1,0.539498,0.376471,[12 12] ; [5 3],[12.75 11.25] ; [4.25 3.75],0
r1,1,0.659658,0.193939,[ 7 17] ; [3 5],[ 7.5 16.5] ; [2.5 5.5],0
d2,1,0.659658,0.193939,[ 7 17] ; [3 5],[ 7.5 16.5] ; [2.5 5.5],0
v4,1,0.680724,0.169312,[13 11] ; [5 3],[13.5 10.5] ; [4.5 3.5],0
b5,1,0.680724,0.169312,[11 13] ; [3 5],[10.5 13.5] ; [3.5 4.5],0
p10,1,0.71271,0.135585,[ 7 16] ; [3 5],[ 7.41935484 15.58064516] ; [2.58064516 5.41935484],0
s3,1,0.752976,0.099047,[ 5 17] ; [2 5],[ 5.31034483 16.68965517] ; [1.68965517 5.31034483],0
p5,1,0.753905,0.098279,[ 2 21] ; [1 7],[ 2.22580645 20.77419355] ; [0.77419355 7.22580645],0
n5,1,0.77864,0.079012,[20  4] ; [7 1],[20.25  3.75] ; [6.75 1.25],0
p4,1,0.804997,0.060952,[ 5 19] ; [2 6],[ 5.25 18.75] ; [1.75 6.25],0
p11,1,0.829856,0.046176,[ 8 16] ; [3 5],[ 8.25 15.75] ; [2.75 5.25],0
n3,1,0.83008,0.046053,[11  8] ; [1 1],[10.85714286  8.14285714] ; [1.14285714 0.85714286],0
n6,1,0.837944,0.04183,[11 13] ; [4 4],[11.25 12.75] ; [3.75 4.25],0
s6,1,0.849304,0.036102,[ 5 18] ; [2 6],[ 5.19354839 17.80645161] ; [1.80645161 6.19354839],0
v2,1,0.968494,0.00156,[ 3 20] ; [1 7],[ 2.96774194 20.03225806] ; [1.03225806 6.96774194],0
p3,1,1.0,0.0,[ 3 21] ; [1 7],[ 3. 21.] ; [1. 7.],0
s5,1,1.0,0.0,[ 3 21] ; [1 7],[ 3. 21.] ; [1. 7.],0
