Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,0.000247,13.437094,[ 1 42] ; [3 4],[ 3.44 39.56] ; [0.56 6.44],1
a2,1,0.001533,10.038177,[ 7 36] ; [5 2],[10.32 32.68] ; [1.68 5.32],0
s7,1,0.004358,8.128223,[12 29] ; [6 1],[15.375 25.625] ; [2.625 4.375],0
p5,1,0.006747,7.339172,[ 3 40] ; [3 4],[ 5.16 37.84] ; [0.84 6.16],0
u1,1,0.017659,5.629629,[ 4 39] ; [3 4],[ 6.02 36.98] ; [0.98 6.02],0
p3,1,0.023004,5.168226,[17 26] ; [6 1],[19.78 23.22] ; [3.22 3.78],0
a4,1,0.023004,5.168226,[17 26] ; [6 1],[19.78 23.22] ; [3.22 3.78],0
d2,1,0.031264,4.638385,[18 25] ; [6 1],[20.64 22.36] ; [3.36 3.64],0
p4,1,0.041565,4.152824,[19 24] ; [6 1],[21.5 21.5] ; [3.5 3.5],0
v3,1,0.070713,3.266399,[13 30] ; [3 1],[14.63829787 28.36170213] ; [1.36170213 2.63829787],0
s6,1,0.078609,3.093434,[21 21] ; [6 1],[23.14285714 18.85714286] ; [3.85714286 3.14285714],0
a6,1,0.109154,2.566432,[23 20] ; [6 1],[24.94 18.06] ; [4.06 2.94],0
v1,1,0.156337,2.009302,[20 23] ; [4 1],[21.5 21.5] ; [2.5 2.5],0
a5,1,0.163357,1.942873,[25 18] ; [6 1],[26.66 16.34] ; [4.34 2.66],0
p8,1,0.199375,1.646944,[19 23] ; [5 2],[20.57142857 21.42857143] ; [3.42857143 3.57142857],0
d5,1,0.2351,1.409739,[27 16] ; [6 1],[28.38 14.62] ; [4.62 2.38],0
a7,1,0.267224,1.23094,[21 22] ; [5 2],[22.36 20.64] ; [3.64 3.36],0
s1,1,0.31955,0.990787,[ 2 41] ; [1 6],[ 2.58 40.42] ; [0.42 6.58],0
n4,1,0.327912,0.957127,[29 14] ; [6 1],[30.1 12.9] ; [4.9 2.1],0
p1,1,0.33052,0.94686,[ 2 40] ; [1 6],[ 2.57142857 39.42857143] ; [0.42857143 6.57142857],0
b4,1,0.381397,0.766193,[26 17] ; [3 4],[24.94 18.06] ; [4.06 2.94],0
p6,1,0.409395,0.680556,[17 25] ; [4 3],[18. 24.] ; [3. 4.],0
d3,1,0.437613,0.602535,[24 19] ; [5 2],[24.94 18.06] ; [4.06 2.94],0
r1,1,0.446104,0.580532,[31 12] ; [6 1],[31.82 11.18] ; [5.18 1.82],0
s5,1,0.474549,0.511364,[10 30] ; [2 3],[10.66666667 29.33333333] ; [1.33333333 3.66666667],0
b5,1,0.506673,0.440932,[30 13] ; [4 3],[29.24 13.76] ; [4.76 2.24],0
a1,1,0.508599,0.436949,[ 3 40] ; [1 6],[ 3.44 39.56] ; [0.56 6.44],0
s4,1,0.699988,0.148485,[ 4 38] ; [1 6],[ 4.28571429 37.71428571] ; [0.71428571 6.28571429],0
v2,1,0.710584,0.137694,[21 20] ; [3 2],[21.39130435 19.60869565] ; [2.60869565 2.39130435],0
p2,1,0.74371,0.106893,[28 15] ; [5 2],[28.38 14.62] ; [4.62 2.38],0
a8,1,1.0,0.0,[ 6 36] ; [1 6],[ 6. 36.] ; [1. 6.],0
p7,1,1.0,0.0,[24 18] ; [4 3],[24. 18.] ; [4. 3.],0
