Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,7e-06,20.174625,[ 1 63] ; [ 47 118],[13.41484716 50.58515284] ; [ 34.58515284 130.41484716],1
s7,1,1.4e-05,18.826476,[15 45] ; [92 67],[29.31506849 30.68493151] ; [77.68493151 81.31506849],1
d5,1,1.9e-05,18.244973,[45 19] ; [152  13],[55.05676856  8.94323144] ; [141.94323144  23.05676856],1
a4,1,2.2e-05,17.973445,[15 49] ; [90 75],[29.34497817 34.65502183] ; [75.65502183 89.34497817],1
d2,1,2.6e-05,17.713793,[18 45] ; [98 66],[32.1938326 30.8061674] ; [83.8061674 80.1938326],1
d1,1,0.000499,12.117555,[27 37] ; [111  54],[38.56768559 25.43231441] ; [99.43231441 65.56768559],1
p4,1,0.000651,11.623286,[17 47] ; [85 80],[28.50655022 35.49344978] ; [73.49344978 91.50655022],1
a3,1,0.000904,11.015006,[36 28] ; [129  36],[46.11353712 17.88646288] ; [118.88646288  46.11353712],1
a6,1,0.001221,10.458648,[34 30] ; [124  41],[44.15720524 19.84279476] ; [113.84279476  51.15720524],0
p3,1,0.002654,9.031267,[14 50] ; [71 93],[23.85964912 40.14035088] ; [ 61.14035088 102.85964912],0
s2,1,0.005587,7.678821,[23 40] ; [93 70],[32.33628319 30.66371681] ; [83.66371681 79.33628319],0
p9,1,0.00561,7.671654,[43 20] ; [138  25],[50.45575221 12.54424779] ; [130.54424779  32.45575221],0
s5,1,0.006923,7.292873,[10 51] ; [ 55 102],[18.18807339 42.81192661] ; [ 46.81192661 110.18807339],0
r3,1,0.008759,6.871312,[58  5] ; [162   2],[61.05726872  1.94273128] ; [158.94273128   5.05726872],0
r1,1,0.00924,6.775861,[44 20] ; [138  26],[51.0877193 12.9122807] ; [130.9122807  33.0877193],0
d4,1,0.009317,6.761105,[47 16] ; [146  19],[53.32894737  9.67105263] ; [139.67105263  25.32894737],0
