Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,26.05042,[ 4 27] ; [24  7],[14. 17.] ; [14. 17.],1
p2,1,6.9e-05,15.850611,[ 6 25] ; [21  9],[13.72131148 17.27868852] ; [13.27868852 16.72131148],1
p11,1,0.000937,10.948798,[ 8 23] ; [21 10],[14.5 16.5] ; [14.5 16.5],1
r3,1,0.005004,7.878172,[14 17] ; [24  6],[19.31147541 11.68852459] ; [18.68852459 11.31147541],0
s8,1,0.010122,6.613333,[ 2 29] ; [10 21],[ 6. 25.] ; [ 6. 25.],0
n6,1,0.020068,5.406007,[11 19] ; [20 10],[15.5 14.5] ; [15.5 14.5],0
a5,1,0.039498,4.239316,[14 17] ; [22  9],[18. 13.] ; [18. 13.],0
n3,1,0.050962,3.809524,[5 9] ; [5 1],[7. 7.] ; [3. 3.],0
p6,1,0.052808,3.75,[ 3 27] ; [ 9 21],[ 6. 24.] ; [ 6. 24.],0
p5,1,0.093406,2.814666,[ 1 29] ; [ 5 26],[ 2.95081967 27.04918033] ; [ 3.04918033 27.95081967],0
n5,1,0.111251,2.536364,[17 14] ; [23  8],[20. 11.] ; [20. 11.],0
a8,1,0.133111,2.25584,[ 3 28] ; [ 7 22],[ 5.16666667 25.83333333] ; [ 4.83333333 24.16666667],0
s3,1,0.141657,2.159863,[ 9 21] ; [15 16],[11.80327869 18.19672131] ; [12.19672131 18.80327869],0
r4,1,0.168394,1.897185,[ 7 24] ; [12 19],[ 9.5 21.5] ; [ 9.5 21.5],0
n4,1,0.168394,1.897185,[19 12] ; [24  7],[21.5  9.5] ; [21.5  9.5],0
p7,1,0.179684,1.800232,[ 8 23] ; [13 18],[10.5 20.5] ; [10.5 20.5],0
d5,1,0.188669,1.727982,[17 14] ; [22  9],[19.5 11.5] ; [19.5 11.5],0
s6,1,0.200992,1.63515,[ 8 23] ; [12 17],[10.33333333 20.66666667] ; [ 9.66666667 19.33333333],0
p3,1,0.245659,1.347826,[ 6 25] ; [10 21],[ 8. 23.] ; [ 8. 23.],0
p8,1,0.250896,1.318307,[ 5 25] ; [ 9 22],[ 6.8852459 23.1147541] ; [ 7.1147541 23.8852459],0
n1,1,0.269004,1.221818,[6 9] ; [4 2],[7.14285714 7.85714286] ; [2.85714286 3.14285714],0
n2,1,0.269004,1.221818,[6 9] ; [4 2],[7.14285714 7.85714286] ; [2.85714286 3.14285714],0
p4,1,0.277162,1.180952,[ 8 23] ; [12 19],[10. 21.] ; [10. 21.],0
v2,1,0.288358,1.127273,[ 9 22] ; [13 18],[11. 20.] ; [11. 20.],0
b5,1,0.309377,1.033333,[14 17] ; [18 13],[16. 15.] ; [16. 15.],0
u3,1,0.363892,0.824418,[ 1 14] ; [2 9],[ 1.73076923 13.26923077] ; [1.26923077 9.73076923],0
d2,1,0.372844,0.794165,[16 14] ; [13 18],[14.26229508 15.73770492] ; [14.73770492 16.26229508],0
s2,1,0.37365,0.791489,[ 6 25] ; [ 9 22],[ 7.5 23.5] ; [ 7.5 23.5],0
a3,1,0.374626,0.788263,[16 14] ; [20 11],[17.70491803 12.29508197] ; [18.29508197 12.70491803],0
v1,1,0.393074,0.729412,[ 7 24] ; [10 21],[ 8.5 22.5] ; [ 8.5 22.5],0
d1,1,0.430278,0.622074,[13 18] ; [10 21],[11.5 19.5] ; [11.5 19.5],0
p12,1,0.534405,0.386009,[ 1 30] ; [ 2 28],[ 1.52459016 29.47540984] ; [ 1.47540984 28.52459016],0
v3,1,0.543524,0.369048,[ 6 25] ; [ 8 23],[ 7. 24.] ; [ 7. 24.],0
u2,1,0.596613,0.280135,[ 4 11] ; [4 7],[ 4.61538462 10.38461538] ; [3.38461538 7.61538462],0
d3,1,0.609774,0.260504,[15 16] ; [13 18],[14. 17.] ; [14. 17.],0
s1,1,0.640918,0.217544,[ 3 28] ; [ 2 29],[ 2.5 28.5] ; [ 2.5 28.5],0
a1,1,0.688202,0.161039,[ 4 27] ; [ 3 28],[ 3.5 27.5] ; [ 3.5 27.5],0
p1,1,0.688202,0.161039,[ 3 28] ; [ 4 27],[ 3.5 27.5] ; [ 3.5 27.5],0
r2,1,0.709949,0.138328,[18 13] ; [16 14],[17.27868852 13.72131148] ; [16.72131148 13.27868852],0
s7,1,0.737669,0.112186,[ 5 24] ; [ 6 23],[ 5.5 23.5] ; [ 5.5 23.5],0
b4,1,0.788433,0.072009,[20 11] ; [21 10],[20.5 10.5] ; [20.5 10.5],0
r1,1,0.797842,0.065608,[14 17] ; [13 18],[13.5 17.5] ; [13.5 17.5],0
b1,1,0.799086,0.064786,[16 15] ; [17 14],[16.5 14.5] ; [16.5 14.5],0
b3,1,0.808497,0.058741,[ 8 14] ; [ 8 12],[ 8.38095238 13.61904762] ; [ 7.61904762 12.38095238],0
b2,1,0.808497,0.058741,[ 8 14] ; [ 8 12],[ 8.38095238 13.61904762] ; [ 7.61904762 12.38095238],0
a4,1,0.859719,0.031234,[10 20] ; [11 20],[10.32786885 19.67213115] ; [10.67213115 20.32786885],0
s5,1,0.908022,0.013348,[ 5 26] ; [ 5 24],[ 5.16666667 25.83333333] ; [ 4.83333333 24.16666667],0
a2,1,1.0,0.0,[ 4 27] ; [ 4 27],[ 4. 27.] ; [ 4. 27.],0
a6,1,1.0,0.0,[16 15] ; [16 15],[16. 15.] ; [16. 15.],0
a7,1,1.0,0.0,[16 15] ; [16 15],[16. 15.] ; [16. 15.],0
d4,1,1.0,0.0,[22  9] ; [22  9],[22.  9.] ; [22.  9.],0
