Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,35.781024,[209  57] ; [17 30],[192.06389776  73.93610224] ; [33.93610224 13.06389776],1
s3,1,0.0,29.181391,[208  57] ; [19 28],[192.80448718  72.19551282] ; [34.19551282 12.80448718],1
s7,1,5e-06,20.976081,[213  45] ; [24 22],[201.13815789  56.86184211] ; [35.86184211 10.13815789],1
s5,1,0.001331,10.299093,[134 125] ; [12 34],[123.98032787 135.01967213] ; [22.01967213 23.98032787],0
b5,1,0.008458,6.933824,[168  99] ; [21 28],[159.69303797 107.30696203] ; [29.30696203 19.69303797],0
s4,1,0.019739,5.434875,[ 53 212] ; [ 3 46],[ 47.2611465 217.7388535] ; [ 8.7388535 40.2611465],0
p9,1,0.025455,4.992677,[251  15] ; [41  7],[247.36305732  18.63694268] ; [44.63694268  3.36305732],0
r3,1,0.029664,4.728683,[261   6] ; [45  4],[258.55063291   8.44936709] ; [47.44936709  1.55063291],0
v3,1,0.049067,3.873058,[118 138] ; [29 18],[124.1980198 131.8019802] ; [22.8019802 24.1980198],0
p10,1,0.070584,3.269379,[239  26] ; [39  9],[235.36741214  29.63258786] ; [42.63258786  5.36741214],0
u3,1,0.086253,2.94295,[30 10] ; [3 4],[28.08510638 11.91489362] ; [4.91489362 2.08510638],0
d5,1,0.09665,2.759975,[239  27] ; [40  9],[235.6  30.4] ; [43.4  5.6],0
v2,1,0.108305,2.578777,[156 101] ; [35 13],[160.94098361  96.05901639] ; [30.05901639 17.94098361],0
r4,1,0.138565,2.193824,[254  13] ; [44  5],[251.79113924  15.20886076] ; [46.20886076  2.79113924],0
u2,1,0.210644,1.566996,[27 13] ; [3 4],[25.53191489 14.46808511] ; [4.46808511 2.53191489],0
p1,1,0.219545,1.507341,[ 25 240] ; [ 2 47],[ 22.7866242 242.2133758] ; [ 4.2133758 44.7866242],0
a2,1,0.219553,1.507287,[ 95 172] ; [13 36],[ 91.25316456 175.74683544] ; [16.74683544 32.25316456],0
b3,1,0.221695,1.493363,[ 84 100] ; [22 17],[87.46188341 96.53811659] ; [18.53811659 20.46188341],0
b2,1,0.221695,1.493363,[ 84 100] ; [22 17],[87.46188341 96.53811659] ; [18.53811659 20.46188341],0
u1,1,0.224567,1.474946,[ 77 190] ; [10 39],[ 73.50949367 193.49050633] ; [13.49050633 35.50949367],0
d4,1,0.278494,1.174425,[237  29] ; [41  8],[234.75555556  31.24444444] ; [43.24444444  5.75555556],0
u4,1,0.332488,0.939183,[ 14 253] ; [ 1 48],[ 12.67405063 254.32594937] ; [ 2.32594937 46.67405063],0
v4,1,0.334175,0.93265,[262   5] ; [47  2],[261.08544304   5.91455696] ; [47.91455696  1.08544304],0
n3,1,0.383851,0.758331,[42 19] ; [9 2],[43.20833333 17.79166667] ; [7.79166667 3.20833333],0
a6,1,0.387929,0.745423,[190  76] ; [32 17],[187.46666667  78.53333333] ; [34.53333333 14.46666667],0
p12,1,0.392233,0.732009,[ 33 232] ; [ 4 45],[ 31.22611465 233.77388535] ; [ 5.77388535 43.22611465],0
r1,1,0.406506,0.688995,[234  32] ; [41  8],[232.22222222  33.77777778] ; [42.77777778  6.22222222],0
v1,1,0.418104,0.655639,[167  89] ; [29 20],[164.51147541  91.48852459] ; [31.48852459 17.51147541],0
p8,1,0.42137,0.646492,[149 112] ; [31 18],[151.5483871 109.4516129] ; [28.4516129 20.5483871],0
n6,1,0.447211,0.57771,[237  28] ; [42  7],[235.46178344  29.53821656] ; [43.53821656  5.46178344],0
a1,1,0.482103,0.494102,[ 18 249] ; [ 2 47],[ 16.89873418 250.10126582] ; [ 3.10126582 45.89873418],0
p6,1,0.483192,0.49165,[128 137] ; [21 28],[125.74840764 139.25159236] ; [23.25159236 25.74840764],0
n5,1,0.485754,0.485918,[216  50] ; [41  7],[217.7133758  48.2866242] ; [39.2866242  8.7133758],0
p4,1,0.519851,0.414188,[186  80] ; [32 17],[184.08888889  81.91111111] ; [33.91111111 15.08888889],0
a4,1,0.535959,0.383081,[149 118] ; [25 24],[147.01898734 119.98101266] ; [26.98101266 22.01898734],0
a8,1,0.557892,0.343368,[ 42 202] ; [ 6 38],[ 40.66666667 203.33333333] ; [ 7.33333333 36.66666667],0
b1,1,0.558491,0.342324,[110 157] ; [18 31],[108.15189873 158.84810127] ; [19.84810127 29.15189873],0
b4,1,0.558491,0.342324,[157 110] ; [31 18],[158.84810127 108.15189873] ; [29.15189873 19.84810127],0
p11,1,0.612297,0.256844,[221  46] ; [42  7],[222.21835443  44.78164557] ; [40.78164557  8.21835443],0
s1,1,0.643645,0.214006,[  9 254] ; [ 1 46],[  8.48387097 254.51612903] ; [ 1.51612903 45.48387097],0
p7,1,0.711915,0.136372,[185  72] ; [34 15],[183.93137255  73.06862745] ; [35.06862745 13.93137255],0
r2,1,0.793486,0.068532,[255   9] ; [46  2],[254.69230769   9.30769231] ; [46.30769231  1.69230769],0
d2,1,0.797536,0.065811,[174  93] ; [31 18],[173.21202532  93.78797468] ; [31.78797468 17.21202532],0
n1,1,0.809668,0.058011,[28 33] ; [5 5],[28.35211268 32.64788732] ; [4.64788732 5.35211268],0
p2,1,0.840024,0.040749,[225  41] ; [42  7],[225.46666667  40.53333333] ; [41.53333333  7.46666667],0
p5,1,0.876181,0.024277,[ 40 224] ; [ 7 42],[ 39.64217252 224.35782748] ; [ 7.35782748 41.64217252],0
n4,1,0.884113,0.021245,[225  40] ; [42  7],[225.3343949  39.6656051] ; [41.6656051  7.3343949],0
a7,1,0.885372,0.020783,[188  79] ; [34 15],[187.57594937  79.42405063] ; [34.42405063 14.57594937],0
n2,1,0.929296,0.007873,[45 16] ; [9 3],[45.12328767 15.87671233] ; [8.87671233 3.12328767],0
p3,1,0.942188,0.005259,[162 105] ; [30 19],[162.2278481 104.7721519] ; [29.7721519 19.2278481],0
