Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,3.1e-05,17.338696,[ 34 112] ; [37 35],[47.55045872 98.44954128] ; [23.44954128 48.55045872],1
p11,1,0.000818,11.199062,[89 60] ; [60 13],[100.0045045  48.9954955] ; [48.9954955 24.0045045],1
r4,1,0.001122,10.614921,[90 59] ; [60 13],[100.67567568  48.32432432] ; [49.32432432 23.67567568],0
r3,1,0.001671,9.879963,[112  36] ; [68  5],[120.54298643  27.45701357] ; [59.45701357 13.54298643],0
r1,1,0.002576,9.086025,[76 72] ; [53 20],[86.38914027 61.61085973] ; [42.61085973 30.38914027],0
n3,1,0.003425,8.565801,[30 25] ; [19  2],[35.46052632 19.53947368] ; [13.53947368  7.46052632],0
p7,1,0.019212,5.482078,[60 87] ; [42 31],[68.15454545 78.84545455] ; [33.84545455 39.15454545],0
a5,1,0.020443,5.373635,[82 67] ; [52 21],[89.93693694 59.06306306] ; [44.06306306 28.93693694],0
p8,1,0.026498,4.923253,[ 46 101] ; [34 39],[53.45454545 93.54545455] ; [26.54545455 46.45454545],0
p3,1,0.048727,3.884729,[ 42 106] ; [30 42],[48.43636364 99.56363636] ; [23.56363636 48.43636364],0
v4,1,0.052823,3.749506,[116  32] ; [65  8],[121.21266968  26.78733032] ; [59.78733032 13.21266968],0
p9,1,0.060275,3.529803,[88 57] ; [53 19],[94.21658986 50.78341014] ; [46.78341014 25.21658986],0
p10,1,0.076258,3.142903,[83 65] ; [50 23],[89.0678733 58.9321267] ; [43.9321267 29.0678733],0
a6,1,0.077499,3.116577,[88 61] ; [52 21],[93.96396396 55.03603604] ; [46.03603604 26.96396396],0
u1,1,0.087595,2.918029,[ 10 139] ; [10 63],[ 13.42342342 135.57657658] ; [ 6.57657658 66.42342342],0
b1,1,0.117216,2.454125,[59 90] ; [37 36],[64.43243243 84.56756757] ; [31.56756757 41.43243243],0
d1,1,0.117529,2.449944,[61 88] ; [38 35],[66.44594595 82.55405405] ; [32.55405405 40.44594595],0
n4,1,0.121571,2.396965,[86 63] ; [50 23],[91.27927928 57.72072072] ; [44.72072072 28.27927928],0
p4,1,0.121652,2.39592,[51 97] ; [33 40],[56.25339367 91.74660633] ; [27.74660633 45.25339367],0
n6,1,0.125767,2.343988,[98 49] ; [56 17],[102.9  44.1] ; [51.1 21.9],0
a3,1,0.125904,2.342291,[85 62] ; [50 23],[90.20454545 56.79545455] ; [44.79545455 28.20454545],0
p6,1,0.12773,2.319875,[ 28 119] ; [20 51],[ 32.36697248 114.63302752] ; [15.63302752 55.36697248],0
d4,1,0.135042,2.23357,[102  47] ; [57 16],[106.71621622  42.28378378] ; [52.28378378 20.71621622],0
d5,1,0.139154,2.187293,[97 51] ; [55 18],[101.7918552  46.2081448] ; [50.2081448 22.7918552],0
a1,1,0.155787,2.014653,[  8 141] ; [ 1 72],[  6.04054054 142.95945946] ; [ 2.95945946 70.04054054],0
a8,1,0.159778,1.976323,[ 17 123] ; [ 4 64],[ 14.13461538 125.86538462] ; [ 6.86538462 61.13461538],0
r2,1,0.17775,1.816339,[117  29] ; [63  9],[120.55045872  25.44954128] ; [59.44954128 12.55045872],0
n2,1,0.200303,1.640165,[31 25] ; [15  6],[33.45454545 22.54545455] ; [12.54545455  8.45454545],0
p2,1,0.205043,1.606088,[97 51] ; [54 19],[101.12217195  46.87782805] ; [49.87782805 23.12217195],0
s8,1,0.209101,1.57764,[ 14 135] ; [11 62],[ 16.77927928 132.22072072] ; [ 8.22072072 64.77927928],0
b5,1,0.236346,1.402259,[92 57] ; [39 34],[87.92342342 61.07657658] ; [43.07657658 29.92342342],0
s5,1,0.244771,1.352906,[ 13 133] ; [10 61],[ 15.47465438 130.52534562] ; [ 7.52534562 63.47465438],0
a4,1,0.248785,1.330112,[53 95] ; [32 41],[56.92307692 91.07692308] ; [28.07692308 44.92307692],0
a2,1,0.328794,0.95364,[ 21 128] ; [14 59],[ 23.49099099 125.50900901] ; [11.50900901 61.49099099],0
u3,1,0.338175,0.917338,[26 38] ; [12 11],[27.95402299 36.04597701] ; [10.04597701 12.95402299],0
d3,1,0.352872,0.863102,[83 64] ; [46 27],[86.19545455 60.80454545] ; [42.80454545 30.19545455],0
s3,1,0.396081,0.72019,[ 40 107] ; [16 57],[ 37.41818182 109.58181818] ; [18.58181818 54.41818182],0
b2,1,0.683658,0.166038,[30 55] ; [16 25],[31.03174603 53.96825397] ; [14.96825397 26.03174603],0
b3,1,0.683658,0.166038,[30 55] ; [16 25],[31.03174603 53.96825397] ; [14.96825397 26.03174603],0
s7,1,0.685803,0.163666,[ 28 114] ; [12 57],[ 26.91943128 115.08056872] ; [13.08056872 55.91943128],0
n1,1,0.732916,0.116451,[19 37] ; [ 8 13],[19.63636364 36.36363636] ; [ 7.36363636 13.63636364],0
d2,1,0.740696,0.109516,[59 88] ; [31 42],[60.13636364 86.86363636] ; [29.86363636 43.13636364],0
s4,1,0.791809,0.069676,[ 16 133] ; [ 7 66],[ 15.43693694 133.56306306] ; [ 7.56306306 65.43693694],0
p5,1,0.792338,0.069314,[  5 142] ; [ 2 71],[  4.67727273 142.32272727] ; [ 2.32272727 70.67727273],0
a7,1,0.82253,0.050307,[93 55] ; [47 26],[93.75565611 54.24434389] ; [46.24434389 26.75565611],0
p1,1,0.825472,0.048626,[  9 139] ; [ 5 68],[  9.37556561 138.62443439] ; [ 4.62443439 68.37556561],0
s2,1,0.826024,0.048314,[ 24 124] ; [11 62],[ 23.43891403 124.56108597] ; [11.56108597 61.43891403],0
s1,1,0.834752,0.043519,[  7 141] ; [ 3 70],[  6.69683258 141.30316742] ; [ 3.30316742 69.69683258],0
b4,1,0.876855,0.024012,[80 69] ; [40 33],[80.54054054 68.45945946] ; [39.45945946 33.54054054],0
n5,1,0.889514,0.019299,[89 59] ; [44 28],[89.47272727 58.52727273] ; [43.52727273 28.47272727],0
u2,1,0.990789,0.000133,[29 35] ; [10 12],[29.02325581 34.97674419] ; [ 9.97674419 12.02325581],0
