Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,4e-06,21.146606,[ 7 66] ; [21 24],[17.3220339 55.6779661] ; [10.6779661 34.3220339],1
p3,1,1.1e-05,19.36,[14 61] ; [26 19],[25. 50.] ; [15. 30.],1
p2,1,1.1e-05,19.354406,[29 46] ; [36  9],[40.625 34.375] ; [24.375 20.625],1
p8,1,0.000647,11.636364,[12 63] ; [20 25],[20. 55.] ; [12. 33.],1
p10,1,0.001704,9.843717,[25 47] ; [29 16],[33.23076923 38.76923077] ; [20.76923077 24.23076923],0
r4,1,0.00216,9.408,[39 36] ; [36  9],[46.875 28.125] ; [28.125 16.875],0
v4,1,0.003077,8.761263,[53 22] ; [42  3],[59.375 15.625] ; [35.625  9.375],0
s6,1,0.003653,8.44848,[22 52] ; [25 19],[29.47457627 44.52542373] ; [17.52542373 26.47457627],0
n6,1,0.009331,6.758386,[40 34] ; [35 10],[46.63865546 27.36134454] ; [28.36134454 16.63865546],0
p9,1,0.011621,6.367814,[28 43] ; [28 16],[34.57391304 36.42608696] ; [21.42608696 22.57391304],0
r2,1,0.021063,5.321538,[57 17] ; [42  3],[61.56302521 12.43697479] ; [37.43697479  7.56302521],0
r3,1,0.023217,5.152212,[49 26] ; [38  7],[54.375 20.625] ; [32.625 12.375],0
v1,1,0.031389,4.631579,[22 53] ; [22 23],[27.5 47.5] ; [16.5 28.5],0
p4,1,0.042928,4.098239,[21 53] ; [21 24],[26.11764706 47.88235294] ; [15.88235294 29.11764706],0
n3,1,0.043941,4.058824,[14 20] ; [9 3],[17. 17.] ; [6. 6.],0
a1,1,0.060632,3.52,[ 9 66] ; [ 1 44],[ 6.25 68.75] ; [ 3.75 41.25],0
b5,1,0.104781,2.631229,[44 31] ; [33 12],[48.125 26.875] ; [28.875 16.125],0
n5,1,0.112109,2.524242,[40 35] ; [30 14],[44.11764706 30.88235294] ; [25.88235294 18.11764706],0
u3,1,0.11769,2.447802,[ 9 19] ; [9 7],[11.45454545 16.54545455] ; [6.54545455 9.45454545],0
b4,1,0.171066,1.873573,[43 32] ; [20 25],[39.375 35.625] ; [23.625 21.375],0
u2,1,0.175568,1.83475,[ 9 19] ; [8 7],[11.06976744 16.93023256] ; [5.93023256 9.06976744],0
s1,1,0.185745,1.751051,[ 6 68] ; [ 1 44],[ 4.35294118 69.64705882] ; [ 2.64705882 42.35294118],0
b3,1,0.220486,1.501207,[18 28] ; [ 5 16],[15.79104478 30.20895522] ; [ 7.20895522 13.79104478],0
b2,1,0.220486,1.501207,[18 28] ; [ 5 16],[15.79104478 30.20895522] ; [ 7.20895522 13.79104478],0
n2,1,0.242936,1.363478,[17 19] ; [8 4],[18.75 17.25] ; [6.25 5.75],0
s2,1,0.270328,1.21508,[12 62] ; [11 34],[14.30252101 59.69747899] ; [ 8.69747899 36.30252101],0
a8,1,0.295001,1.096659,[ 5 64] ; [ 1 39],[ 3.79816514 65.20183486] ; [ 2.20183486 37.79816514],0
a5,1,0.310565,1.028272,[43 32] ; [30 15],[45.625 29.375] ; [27.375 17.625],0
b1,1,0.368762,0.807832,[43 32] ; [22 23],[40.625 34.375] ; [24.375 20.625],0
n1,1,0.394234,0.725844,[11 24] ; [5 6],[12.17391304 22.82608696] ; [3.82608696 7.17391304],0
d3,1,0.405897,0.690786,[43 32] ; [28 15],[45.12711864 29.87288136] ; [25.87288136 17.12711864],0
p1,1,0.408989,0.681739,[ 4 71] ; [ 1 44],[ 3.125 71.875] ; [ 1.875 43.125],0
r1,1,0.433508,0.613406,[44 31] ; [29 15],[46.00840336 28.99159664] ; [26.99159664 17.00840336],0
s7,1,0.433562,0.613262,[16 52] ; [13 30],[17.76576577 50.23423423] ; [11.23423423 31.76576577],0
d2,1,0.465036,0.533747,[33 41] ; [17 28],[31.09243697 42.90756303] ; [18.90756303 26.09243697],0
p5,1,0.599426,0.275862,[ 2 73] ; [ 2 43],[ 2.5 72.5] ; [ 1.5 43.5],0
v2,1,0.63518,0.225101,[28 46] ; [19 26],[29.22689076 44.77310924] ; [17.77310924 27.22689076],0
a7,1,0.643077,0.21474,[48 27] ; [30 14],[49.15966387 25.84033613] ; [28.84033613 15.15966387],0
d4,1,0.669815,0.181818,[54 21] ; [34 11],[55. 20.] ; [33. 12.],0
s4,1,0.673993,0.176967,[11 63] ; [ 8 37],[11.81512605 62.18487395] ; [ 7.18487395 37.81512605],0
n4,1,0.700311,0.148148,[44 31] ; [28 17],[45. 30.] ; [27. 18.],0
p12,1,0.712702,0.135593,[ 1 74] ; [ 1 44],[ 1.25 73.75] ; [ 0.75 44.25],0
d5,1,0.749223,0.102186,[56 19] ; [34 10],[56.72268908 18.27731092] ; [33.27731092 10.72268908],0
s8,1,0.752118,0.09976,[15 59] ; [10 34],[15.6779661 58.3220339] ; [ 9.3220339 34.6779661],0
a3,1,0.792688,0.069075,[47 27] ; [29 15],[47.66101695 26.33898305] ; [28.33898305 15.66101695],0
a4,1,0.825743,0.048472,[33 41] ; [21 24],[33.57983193 40.42016807] ; [20.42016807 24.57983193],0
a6,1,0.849105,0.036199,[42 33] ; [26 19],[42.5 32.5] ; [25.5 19.5],0
u1,1,0.883255,0.021563,[ 9 66] ; [ 5 40],[ 8.75 66.25] ; [ 5.25 39.75],0
v3,1,0.916378,0.011024,[23 48] ; [15 30],[23.25862069 47.74137931] ; [14.74137931 30.25862069],0
a2,1,0.956092,0.003031,[18 57] ; [11 34],[18.125 56.875] ; [10.875 34.125],0
d1,1,0.962143,0.002253,[33 42] ; [20 25],[33.125 41.875] ; [19.875 25.125],0
s5,1,0.99033,0.000147,[15 58] ; [ 9 35],[14.97435897 58.02564103] ; [ 9.02564103 34.97435897],0
