Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.000212,13.72274,[89 22] ; [11 14],[81.61764706 29.38235294] ; [18.38235294  6.61764706],1
p10,1,0.00046,12.270763,[83 24] ; [10 14],[75.96183206 31.03816794] ; [17.03816794  6.96183206],1
p8,1,0.001161,10.551559,[60 47] ; [ 5 20],[52.68939394 54.31060606] ; [12.31060606 12.68939394],0
v4,1,0.001909,9.634713,[103   8] ; [17  7],[98.66666667 12.33333333] ; [21.33333333  2.66666667],0
r4,1,0.005185,7.813881,[94 17] ; [15 10],[88.96323529 22.03676471] ; [20.03676471  4.96323529],0
p6,1,0.010451,6.556407,[42 66] ; [ 3 22],[36.54135338 71.45864662] ; [ 8.45864662 16.54135338],0
r3,1,0.011963,6.316302,[97 13] ; [17  8],[92.88888889 17.11111111] ; [21.11111111  3.88888889],0
p7,1,0.013022,6.166163,[60 48] ; [ 7 18],[54.40601504 53.59398496] ; [12.59398496 12.40601504],0
p4,1,0.014904,5.927811,[55 53] ; [ 6 19],[49.53383459 58.46616541] ; [11.46616541 13.53383459],0
p2,1,0.023677,5.118152,[78 31] ; [12 13],[73.20895522 35.79104478] ; [16.79104478  8.20895522],0
a1,1,0.040847,4.182353,[  3 108] ; [ 3 22],[  4.89705882 106.10294118] ; [ 1.10294118 23.89705882],0
a7,1,0.046181,3.974972,[68 42] ; [10 15],[63.55555556 46.44444444] ; [14.44444444 10.55555556],0
p9,1,0.052034,3.774675,[83 24] ; [14 10],[79.22900763 27.77099237] ; [17.77099237  6.22900763],0
s8,1,0.066708,3.36223,[38 71] ; [ 4 21],[34.1641791 74.8358209] ; [ 7.8358209 17.1641791],0
v2,1,0.084691,2.972491,[51 54] ; [ 7 17],[47.20930233 57.79069767] ; [10.79069767 13.20930233],0
n5,1,0.101609,2.680108,[95 16] ; [18  7],[92.22794118 18.77205882] ; [20.77205882  4.22794118],0
s5,1,0.105063,2.626952,[31 74] ; [ 3 20],[27.890625 77.109375] ; [ 6.109375 16.890625],0
a8,1,0.107224,2.594663,[10 93] ; [ 5 18],[12.26190476 90.73809524] ; [ 2.73809524 20.26190476],0
p5,1,0.122011,2.391311,[17 91] ; [ 1 24],[14.61654135 93.38345865] ; [ 3.38345865 21.61654135],0
v1,1,0.122617,2.383567,[53 55] ; [ 8 17],[49.53383459 58.46616541] ; [11.46616541 13.53383459],0
b4,1,0.158823,1.985399,[66 45] ; [11 14],[62.84558824 48.15441176] ; [14.15441176 10.84558824],0
n1,1,0.197156,1.663316,[10 12] ; [7 3],[11.6875 10.3125] ; [5.3125 4.6875],0
r1,1,0.234712,1.412076,[80 31] ; [15 10],[77.53676471 33.46323529] ; [17.46323529  7.53676471],0
s7,1,0.238383,1.390134,[48 55] ; [ 8 16],[45.41732283 57.58267717] ; [10.58267717 13.41732283],0
s2,1,0.241462,1.372036,[48 59] ; [ 8 17],[45.39393939 61.60606061] ; [10.60606061 14.39393939],0
s6,1,0.322826,0.977462,[63 44] ; [12 13],[60.79545455 46.20454545] ; [14.20454545 10.79545455],0
r2,1,0.339541,0.912162,[100  11] ; [20  4],[98.66666667 12.33333333] ; [21.33333333  2.66666667],0
n3,1,0.35322,0.861857,[16  6] ; [5 4],[14.90322581  7.09677419] ; [6.09677419 2.90322581],0
a6,1,0.365712,0.818182,[68 42] ; [13 12],[66. 44.] ; [15. 10.],0
b5,1,0.379619,0.771935,[64 47] ; [12 13],[62.02941176 48.97058824] ; [13.97058824 11.02941176],0
d4,1,0.389633,0.740086,[50 60] ; [ 9 16],[48.07407407 61.92592593] ; [10.92592593 14.07407407],0
