Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,37.016086,[21 35] ; [128  30],[38.99065421 17.00934579] ; [110.00934579  47.99065421],1
d3,1,6e-06,20.570757,[24 32] ; [120  38],[37.68224299 18.31775701] ; [106.31775701  51.68224299],1
a2,1,0.000277,13.217644,[ 3 53] ; [ 46 112],[12.82242991 43.17757009] ; [ 36.17757009 121.82242991],1
u1,1,0.000948,10.927354,[ 2 54] ; [ 37 121],[10.20560748 45.79439252] ; [ 28.79439252 129.20560748],1
r4,1,0.005442,7.726285,[43 13] ; [144  14],[48.93457944  7.06542056] ; [138.06542056  19.93457944],0
r3,1,0.025085,5.017974,[48  8] ; [149   8],[51.79342723  4.20657277] ; [145.20657277  11.79342723],0
s1,1,0.02548,4.990934,[ 3 53] ; [  1 156],[ 1.05164319 54.94835681] ; [  2.94835681 154.05164319],0
p3,1,0.027537,4.856804,[23 31] ; [94 63],[29.94312796 24.05687204] ; [87.05687204 69.94312796],0
b5,1,0.033949,4.497257,[31 25] ; [112  46],[37.42056075 18.57943925] ; [105.57943925  52.42056075],0
p2,1,0.05341,3.731033,[43 11] ; [141  16],[47.09004739  6.90995261] ; [136.90995261  20.09004739],0
r2,1,0.053449,3.72982,[46  8] ; [148  10],[49.41509434  4.58490566] ; [144.58490566  13.41509434],0
d5,1,0.05692,3.624919,[42 14] ; [136  22],[46.57943925  9.42056075] ; [131.42056075  26.57943925],0
p4,1,0.061086,3.507652,[29 26] ; [105  52],[34.76415094 20.23584906] ; [99.23584906 57.76415094],0
b1,1,0.062749,3.463181,[27 29] ; [ 54 104],[21.19626168 34.80373832] ; [59.80373832 98.19626168],0
r1,1,0.073956,3.192953,[41 15] ; [132  25],[45.48356808 10.51643192] ; [127.51643192  29.48356808],0
a8,1,0.083145,3.002331,[ 3 49] ; [ 20 112],[ 6.5 45.5] ; [ 16.5 115.5],0
p8,1,0.093401,2.814761,[25 29] ; [91 62],[30.26086957 23.73913043] ; [85.73913043 67.26086957],0
s6,1,0.105037,2.627341,[23 32] ; [84 70],[28.15789474 26.84210526] ; [78.84210526 75.15789474],0
s7,1,0.151977,2.052294,[13 41] ; [51 96],[17.19402985 36.80597015] ; [ 46.80597015 100.19402985],0
v4,1,0.206284,1.597314,[50  6] ; [149   9],[52.07476636  3.92523364] ; [146.92523364  11.07476636],0
n3,1,0.224244,1.477005,[12  2] ; [17  8],[10.41025641  3.58974359] ; [18.58974359  6.41025641],0
n4,1,0.239545,1.383268,[40 16] ; [125  33],[43.17757009 12.82242991] ; [121.82242991  36.17757009],0
p12,1,0.24699,1.340247,[ 1 53] ; [  9 148],[ 2.55924171 51.44075829] ; [  7.44075829 149.55924171],0
a5,1,0.283867,1.148481,[40 16] ; [124  34],[42.91588785 13.08411215] ; [121.08411215  36.91588785],0
u2,1,0.284938,1.143386,[ 7 10] ; [27 21],[8.89230769 8.10769231] ; [25.10769231 22.89230769],0
u3,1,0.308552,1.036863,[8 9] ; [30 19],[9.78787879 7.21212121] ; [28.21212121 20.78787879],0
s4,1,0.334913,0.929807,[ 4 52] ; [ 18 135],[ 5.89473684 50.10526316] ; [ 16.10526316 136.89473684],0
b3,1,0.402089,0.702069,[18 19] ; [39 57],[15.85714286 21.14285714] ; [41.14285714 54.85714286],0
b2,1,0.402089,0.702069,[18 19] ; [39 57],[15.85714286 21.14285714] ; [41.14285714 54.85714286],0
d2,1,0.413637,0.668324,[28 28] ; [69 89],[25.38317757 30.61682243] ; [71.61682243 86.38317757],0
n5,1,0.430742,0.620821,[45 11] ; [118  39],[42.85446009 13.14553991] ; [120.14553991  36.85446009],0
a1,1,0.457359,0.552351,[ 3 53] ; [  5 153],[ 2.09345794 53.90654206] ; [  5.90654206 152.09345794],0
p6,1,0.45893,0.548502,[19 35] ; [63 91],[21.28846154 32.71153846] ; [60.71153846 93.28846154],0
d4,1,0.469756,0.522551,[44 12] ; [131  27],[45.79439252 10.20560748] ; [129.20560748  28.79439252],0
p1,1,0.482792,0.492551,[ 3 53] ; [ 13 145],[ 4.18691589 51.81308411] ; [ 11.81308411 146.18691589],0
p9,1,0.511695,0.430599,[46  9] ; [136  20],[47.44075829  7.55924171] ; [134.55924171  21.44075829],0
n2,1,0.522166,0.409613,[10  5] ; [19  6],[10.875  4.125] ; [18.125  6.875],0
d1,1,0.545316,0.365776,[30 26] ; [92 66],[31.92523364 24.07476636] ; [90.07476636 67.92523364],0
s2,1,0.549096,0.35894,[11 45] ; [ 25 130],[ 9.55450237 46.44549763] ; [ 26.44549763 128.55450237],0
v2,1,0.588256,0.293077,[40 16] ; [106  51],[38.38497653 17.61502347] ; [107.61502347  49.38497653],0
n1,1,0.607565,0.263736,[6 9] ; [ 8 17],[5.25 9.75] ; [ 8.75 16.25],0
n6,1,0.627163,0.235928,[44 11] ; [131  27],[45.18779343  9.81220657] ; [129.81220657  28.18779343],0
p10,1,0.678779,0.171503,[43 11] ; [129  28],[44.01895735  9.98104265] ; [127.98104265  29.01895735],0
a4,1,0.687198,0.162136,[25 31] ; [75 82],[26.29107981 29.70892019] ; [73.70892019 83.29107981],0
s8,1,0.68935,0.15979,[15 40] ; [ 47 109],[16.16113744 38.83886256] ; [ 45.83886256 110.16113744],0
p11,1,0.715535,0.132812,[43 13] ; [125  33],[43.96261682 12.03738318] ; [124.03738318  33.96261682],0
p7,1,0.838834,0.041366,[35 20] ; [101  54],[35.61904762 19.38095238] ; [100.38095238  54.61904762],0
b4,1,0.887612,0.019973,[32 24] ; [92 66],[32.44859813 23.55140187] ; [91.55140187 66.44859813],0
p5,1,0.910849,0.012537,[ 6 49] ; [ 18 139],[ 6.22641509 48.77358491] ; [ 17.77358491 139.22641509],0
a3,1,0.975946,0.000909,[39 17] ; [109  48],[38.91079812 17.08920188] ; [109.08920188  47.91079812],0
s5,1,0.989743,0.000165,[12 41] ; [ 35 119],[12.03381643 40.96618357] ; [ 34.96618357 119.03381643],0
v3,1,0.992717,8.3e-05,[24 30] ; [69 86],[24.02870813 29.97129187] ; [68.97129187 86.02870813],0
