Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,32.717612,[133   9] ; [62 34],[116.34453782  25.65546218] ; [78.65546218 17.34453782],1
p10,1,0.0,32.503999,[105  37] ; [34 59],[83.99148936 58.00851064] ; [55.00851064 37.99148936],1
r4,1,0.0,26.444421,[124  19] ; [55 41],[107.10041841  35.89958159] ; [71.89958159 24.10041841],1
b1,1,0.0,25.918727,[46 97] ; [63 33],[65.21757322 77.78242678] ; [43.78242678 52.21757322],1
n6,1,7e-06,20.334856,[117  26] ; [52 43],[101.54201681  41.45798319] ; [67.45798319 27.54201681],1
p9,1,3.5e-05,17.145909,[109  34] ; [46 46],[94.31914894 48.68085106] ; [60.68085106 31.31914894],1
v4,1,0.000111,14.933321,[131  11] ; [71 25],[120.5210084  21.4789916] ; [81.4789916 14.5210084],1
p2,1,0.000192,13.905546,[104  38] ; [47 48],[90.47257384 51.52742616] ; [60.52742616 34.47257384],1
a1,1,0.00034,12.8366,[  2 141] ; [12 84],[  8.37656904 134.62343096] ; [ 5.62343096 90.37656904],1
u2,1,0.005888,7.584395,[29 14] ; [14 24],[22.82716049 20.17283951] ; [20.17283951 17.82716049],0
s6,1,0.010125,6.6128,[81 61] ; [38 57],[71.29957806 70.70042194] ; [47.70042194 47.29957806],0
r2,1,0.012907,6.181809,[130  13] ; [74 19],[123.61016949  19.38983051] ; [80.38983051 12.61016949],0
n4,1,0.01937,5.46776,[105  38] ; [56 39],[96.73529412 46.26470588] ; [64.26470588 30.73529412],0
n2,1,0.020527,5.366547,[33  9] ; [26 21],[27.84269663 14.15730337] ; [31.15730337 15.84269663],0
b4,1,0.030796,4.664287,[93 50] ; [49 47],[84.9623431 58.0376569] ; [57.0376569 38.9623431],0
r1,1,0.034522,4.468655,[99 44] ; [53 42],[91.32773109 51.67226891] ; [60.67226891 34.32773109],0
u3,1,0.038005,4.304813,[28 15] ; [16 22],[23.35802469 19.64197531] ; [20.64197531 17.35802469],0
n3,1,0.062902,3.459172,[31 11] ; [24 20],[26.86046512 15.13953488] ; [28.13953488 15.86046512],0
a5,1,0.072152,3.233373,[94 49] ; [52 44],[87.35564854 55.64435146] ; [58.64435146 37.35564854],0
p4,1,0.07754,3.115723,[61 81] ; [30 65],[54.52320675 87.47679325] ; [36.47679325 58.52320675],0
s3,1,0.085308,2.960766,[78 65] ; [41 54],[71.5 71.5] ; [47.5 47.5],0
p6,1,0.093077,2.820341,[ 28 113] ; [11 84],[ 23.30084746 117.69915254] ; [15.69915254 79.30084746],0
a6,1,0.097248,2.750108,[95 48] ; [53 42],[88.92436975 54.07563025] ; [59.07563025 35.92436975],0
s1,1,0.09916,2.718997,[  6 136] ; [ 9 85],[  9.02542373 132.97457627] ; [ 5.97457627 88.02542373],0
u1,1,0.103627,2.648813,[ 24 119] ; [ 9 87],[ 19.74476987 123.25523013] ; [13.25523013 82.74476987],0
p3,1,0.105938,2.613793,[47 96] ; [22 73],[ 41.45798319 101.54201681] ; [27.54201681 67.45798319],0
a3,1,0.13892,2.189877,[100  43] ; [57 37],[94.72995781 48.27004219] ; [62.27004219 31.72995781],0
n5,1,0.149675,2.075561,[100  42] ; [59 37],[94.86554622 47.13445378] ; [64.13445378 31.86554622],0
d4,1,0.154705,2.025234,[107  36] ; [63 32],[102.14285714  40.85714286] ; [67.85714286 27.14285714],0
s7,1,0.173162,1.855354,[53 85] ; [26 62],[48.23893805 89.76106195] ; [30.76106195 57.23893805],0
s8,1,0.17474,1.841801,[ 43 100] ; [21 74],[ 38.45378151 104.54621849] ; [25.54621849 69.45378151],0
v1,1,0.18277,1.774958,[48 91] ; [25 70],[43.36324786 95.63675214] ; [29.63675214 65.36324786],0
d3,1,0.196311,1.669607,[86 57] ; [48 45],[81.19491525 61.80508475] ; [52.80508475 40.19491525],0
d1,1,0.222297,1.489483,[65 78] ; [36 60],[60.43096234 82.56903766] ; [40.56903766 55.43096234],0
p7,1,0.309719,1.031875,[51 87] ; [29 66],[47.38197425 90.61802575] ; [32.61802575 62.38197425],0
b2,1,0.347519,0.882498,[39 52] ; [20 37],[36.27702703 54.72297297] ; [22.72297297 34.27702703],0
b3,1,0.347519,0.882498,[39 52] ; [20 37],[36.27702703 54.72297297] ; [22.72297297 34.27702703],0
a4,1,0.350225,0.872642,[64 78] ; [37 58],[60.51476793 81.48523207] ; [40.48523207 54.51476793],0
p12,1,0.368407,0.809031,[  6 136] ; [ 2 94],[  4.77310924 137.22689076] ; [ 3.22689076 92.77310924],0
s2,1,0.370475,0.802069,[60 82] ; [35 61],[56.68067227 85.31932773] ; [38.31932773 57.68067227],0
d5,1,0.380929,0.767701,[102  41] ; [62 32],[98.9535865 44.0464135] ; [65.0464135 28.9535865],0
p1,1,0.384692,0.755654,[  9 133] ; [ 9 87],[ 10.7394958 131.2605042] ; [ 7.2605042 88.7394958],0
s4,1,0.506983,0.44029,[ 23 117] ; [19 77],[ 24.91525424 115.08474576] ; [17.08474576 78.91525424],0
n1,1,0.581598,0.303658,[17 25] ; [16 30],[15.75 26.25] ; [17.25 28.75],0
a2,1,0.582507,0.302199,[ 31 112] ; [18 78],[ 29.31799163 113.68200837] ; [19.68200837 76.31799163],0
d2,1,0.596523,0.280271,[60 82] ; [43 51],[61.97457627 80.02542373] ; [41.02542373 52.97457627],0
b5,1,0.619634,0.246383,[88 55] ; [56 40],[86.15899582 56.84100418] ; [57.84100418 38.15899582],0
p5,1,0.727749,0.121189,[  6 134] ; [ 5 90],[  6.55319149 133.44680851] ; [ 4.44680851 90.55319149],0
v3,1,0.743271,0.107272,[ 25 115] ; [18 74],[ 25.94827586 114.05172414] ; [17.05172414 74.94827586],0
a8,1,0.789302,0.071405,[ 14 117] ; [11 82],[ 14.62053571 116.37946429] ; [10.37946429 82.62053571],0
u4,1,0.808019,0.05904,[  2 141] ; [ 1 95],[  1.79497908 141.20502092] ; [ 1.20502092 94.79497908],0
s5,1,0.902729,0.014937,[ 36 104] ; [23 69],[ 35.60344828 104.39655172] ; [23.39655172 68.60344828],0
a7,1,0.974759,0.001001,[84 59] ; [56 39],[84.11764706 58.88235294] ; [55.88235294 39.11764706],0
