Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,117.638889,[140  28] ; [20 92],[96. 72.] ; [64. 48.],1
s6,1,0.0,49.87024,[141  22] ; [52 59],[114.81386861  48.18613139] ; [78.18613139 32.81386861],1
s7,1,0.0,30.973491,[122  41] ; [41 60],[100.64015152  62.35984848] ; [62.35984848 38.64015152],1
s8,1,0.0,26.121167,[113  53] ; [41 70],[92.28880866 73.71119134] ; [61.71119134 49.28880866],1
s5,1,9e-06,19.640053,[80 82] ; [25 85],[62.53676471 99.46323529] ; [42.46323529 67.53676471],1
s4,1,0.002706,8.995733,[ 25 143] ; [  4 106],[ 17.52517986 150.47482014] ; [11.47482014 98.52517986],0
p11,1,0.002878,8.883434,[148  20] ; [84 29],[138.70462633  29.29537367] ; [93.29537367 19.70462633],0
r4,1,0.010164,6.605896,[161   7] ; [99 14],[155.44483986  12.55516014] ; [104.55516014   8.44483986],0
p12,1,0.011135,6.443618,[ 30 138] ; [  8 103],[ 22.88172043 145.11827957] ; [15.11827957 95.88172043],0
r3,1,0.011417,6.399254,[165   3] ; [103   9],[160.8   7.2] ; [107.2   4.8],0
p2,1,0.011895,6.326441,[149  19] ; [86 25],[141.50537634  26.49462366] ; [93.49462366 17.50537634],0
p9,1,0.028214,4.814951,[154  14] ; [93 19],[148.2  19.8] ; [98.8 13.2],0
a3,1,0.050002,3.841378,[136  31] ; [80 32],[129.29032258  37.70967742] ; [86.70967742 25.29032258],0
p8,1,0.051421,3.794493,[107  60] ; [57 52],[99.23188406 67.76811594] ; [64.76811594 44.23188406],0
u4,1,0.070326,3.275388,[  8 160] ; [  1 112],[  5.38078292 162.61921708] ; [  3.61921708 109.38078292],0
d3,1,0.076061,3.147111,[123  44] ; [72 41],[116.30357143  50.69642857] ; [78.69642857 34.30357143],0
d1,1,0.141449,2.162127,[114  54] ; [67 46],[108.21352313  59.78647687] ; [72.78647687 40.21352313],0
v1,1,0.154386,2.028376,[121  45] ; [72 39],[115.66064982  50.33935018] ; [77.33935018 33.66064982],0
p7,1,0.172564,1.860523,[122  41] ; [74 36],[117.02564103  45.97435897] ; [78.97435897 31.02564103],0
n6,1,0.174242,1.846064,[159   8] ; [103  10],[156.26428571  10.73571429] ; [105.73571429   7.26428571],0
p4,1,0.203593,1.61641,[117  50] ; [69 41],[112.13718412  54.86281588] ; [73.86281588 36.13718412],0
n2,1,0.219643,1.506701,[24  3] ; [19  6],[22.32692308  4.67307692] ; [20.67307692  4.32692308],0
p10,1,0.26451,1.245,[151  17] ; [94 16],[148.05755396  19.94244604] ; [96.94244604 13.05755396],0
n1,1,0.282716,1.153986,[13 13] ; [ 8 15],[11.14285714 14.85714286] ; [ 9.85714286 13.14285714],0
r2,1,0.299952,1.074409,[163   5] ; [104   6],[161.35251799   6.64748201] ; [105.64748201   4.35251799],0
n4,1,0.354362,0.857775,[158  10] ; [103  10],[156.04270463  11.95729537] ; [104.95729537   8.04270463],0
u3,1,0.37125,0.799476,[20 12] ; [17 16],[18.21538462 13.78461538] ; [18.78461538 14.21538462],0
v2,1,0.38413,0.757443,[134  32] ; [84 26],[131.11594203  34.88405797] ; [86.88405797 23.11594203],0
p6,1,0.386608,0.749583,[73 93] ; [43 68],[69.51624549 96.48375451] ; [46.48375451 64.51624549],0
r1,1,0.440097,0.596029,[144  24] ; [93 20],[141.69395018  26.30604982] ; [95.30604982 17.69395018],0
p5,1,0.448124,0.575392,[ 33 135] ; [18 94],[ 30.6 137.4] ; [20.4 91.6],0
u2,1,0.451259,0.567488,[16 16] ; [19 13],[17.5 14.5] ; [17.5 14.5],0
a5,1,0.511442,0.431115,[132  36] ; [85 28],[129.7366548  38.2633452] ; [87.2633452 25.7366548],0
a2,1,0.520248,0.413401,[ 49 119] ; [29 84],[ 46.63345196 121.36654804] ; [31.36654804 81.63345196],0
v4,1,0.52042,0.413061,[163   5] ; [108   5],[162.02135231   5.97864769] ; [108.97864769   4.02135231],0
s1,1,0.529399,0.395546,[  5 161] ; [  2 109],[  4.19494585 161.80505415] ; [  2.80505415 108.19494585],0
p3,1,0.534154,0.386483,[104  63] ; [65 46],[101.52158273  65.47841727] ; [67.47841727 43.52158273],0
d5,1,0.55633,0.346098,[141  25] ; [93 20],[139.22580645  26.77419355] ; [94.77419355 18.22580645],0
a1,1,0.557124,0.344709,[ 13 155] ; [ 11 102],[ 14.34875445 153.65124555] ; [  9.65124555 103.34875445],0
a6,1,0.557399,0.344229,[109  57] ; [78 35],[111.26164875  54.73835125] ; [75.73835125 37.26164875],0
b4,1,0.561048,0.337893,[101  67] ; [64 49],[98.64768683 69.35231317] ; [66.35231317 46.64768683],0
b5,1,0.613013,0.255811,[93 75] ; [66 47],[95.06049822 72.93950178] ; [63.93950178 49.06049822],0
a8,1,0.664826,0.187714,[ 26 133] ; [13 78],[ 24.804 134.196] ; [14.196 76.804],0
a4,1,0.696263,0.152389,[85 83] ; [54 58],[83.4 84.6] ; [55.6 56.4],0
b2,1,0.707666,0.14062,[45 59] ; [32 47],[43.75956284 60.24043716] ; [33.24043716 45.75956284],0
b3,1,0.707666,0.14062,[45 59] ; [32 47],[43.75956284 60.24043716] ; [33.24043716 45.75956284],0
d2,1,0.734534,0.114989,[89 78] ; [62 50],[90.38351254 76.61648746] ; [60.61648746 51.38351254],0
n3,1,0.735596,0.114035,[21  7] ; [17  7],[20.46153846  7.53846154] ; [17.53846154  6.46153846],0
d4,1,0.772585,0.083518,[140  26] ; [93 19],[139.1294964  26.8705036] ; [93.8705036 18.1294964],0
a7,1,0.807381,0.059441,[114  53] ; [78 34],[114.92473118  52.07526882] ; [77.07526882 34.92473118],0
u1,1,0.828315,0.04703,[ 36 132] ; [23 90],[ 35.27402135 132.72597865] ; [23.72597865 89.27402135],0
p1,1,0.902788,0.014918,[ 20 148] ; [14 99],[ 20.32740214 147.67259786] ; [13.67259786 99.32740214],0
b1,1,0.912811,0.011989,[ 68 100] ; [45 68],[ 67.55871886 100.44128114] ; [45.44128114 67.55871886],0
