Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.009054,6.812143,[ 6 19] ; [6 2],[ 9.09090909 15.90909091] ; [2.90909091 5.09090909],0
p4,1,0.018834,5.516827,[ 5 21] ; [5 3],[ 7.64705882 18.35294118] ; [2.35294118 5.64705882],0
d3,1,0.084522,2.975726,[ 5 21] ; [4 4],[ 6.88235294 19.11764706] ; [2.11764706 5.88235294],0
n5,1,0.084522,2.975726,[21  5] ; [4 4],[19.11764706  6.88235294] ; [5.88235294 2.11764706],0
n6,1,0.105832,2.615385,[11 15] ; [6 2],[13. 13.] ; [4. 4.],0
p2,1,0.105832,2.615385,[11 15] ; [6 2],[13. 13.] ; [4. 4.],0
p8,1,0.151317,2.058924,[ 7 18] ; [4 3],[ 8.59375 16.40625] ; [2.40625 4.59375],0
r4,1,0.176118,1.830077,[ 4 22] ; [3 5],[ 5.35294118 20.64705882] ; [1.64705882 6.35294118],0
b5,1,0.231133,1.433873,[10 16] ; [5 3],[11.47058824 14.52941176] ; [3.52941176 4.47058824],0
s8,1,0.264582,1.244623,[ 3 23] ; [2 5],[ 3.93939394 22.06060606] ; [1.06060606 5.93939394],0
s6,1,0.296934,1.087912,[ 6 20] ; [3 4],[ 7.09090909 18.90909091] ; [1.90909091 5.09090909],0
u2,1,0.301409,1.067949,[ 2 10] ; [2 3],[2.82352941 9.17647059] ; [1.17647059 3.82352941],0
a3,1,0.306488,1.045752,[14 10] ; [3 5],[12.75 11.25] ; [4.25 3.75],0
p11,1,0.319577,0.990676,[ 8 18] ; [4 4],[ 9.17647059 16.82352941] ; [2.82352941 5.17647059],0
a6,1,0.319577,0.990676,[ 8 18] ; [4 4],[ 9.17647059 16.82352941] ; [2.82352941 5.17647059],0
v2,1,0.320372,0.987429,[ 1 24] ; [1 6],[ 1.5625 23.4375] ; [0.4375 6.5625],0
p12,1,0.362989,0.827524,[ 1 25] ; [1 7],[ 1.52941176 24.47058824] ; [0.47058824 7.52941176],0
n3,1,0.374857,0.7875,[7 7] ; [3 1],[7.77777778 6.22222222] ; [2.22222222 1.77777778],0
r2,1,0.378369,0.775993,[15 11] ; [6 2],[16.05882353  9.94117647] ; [4.94117647 3.05882353],0
n4,1,0.378369,0.775993,[15 11] ; [6 2],[16.05882353  9.94117647] ; [4.94117647 3.05882353],0
p5,1,0.380492,0.769113,[ 1 24] ; [1 7],[ 1.51515152 23.48484848] ; [0.48484848 7.51515152],0
v4,1,0.418741,0.653846,[12 14] ; [5 3],[13. 13.] ; [4. 4.],0
d4,1,0.418741,0.653846,[ 6 20] ; [3 5],[ 6.88235294 19.11764706] ; [2.11764706 5.88235294],0
s2,1,0.418741,0.653846,[ 6 20] ; [3 5],[ 6.88235294 19.11764706] ; [2.11764706 5.88235294],0
v3,1,0.422018,0.644689,[ 4 22] ; [2 5],[ 4.72727273 21.27272727] ; [1.27272727 5.72727273],0
s7,1,0.458902,0.548571,[ 7 18] ; [1 6],[ 6.25 18.75] ; [1.75 5.25],0
s3,1,0.495378,0.464824,[ 7 17] ; [3 4],[ 7.74193548 16.25806452] ; [2.25806452 4.74193548],0
p1,1,0.532723,0.389194,[ 4 22] ; [2 6],[ 4.58823529 21.41176471] ; [1.41176471 6.58823529],0
n2,1,0.539222,0.376984,[10  5] ; [2 2],[9.47368421 5.52631579] ; [2.52631579 1.47368421],0
v1,1,0.565867,0.329647,[ 7 19] ; [3 5],[ 7.64705882 18.35294118] ; [2.35294118 5.64705882],0
b2,1,0.624073,0.240184,[ 7 12] ; [2 2],[ 7.43478261 11.56521739] ; [1.56521739 2.43478261],0
b3,1,0.624073,0.240184,[ 7 12] ; [2 2],[ 7.43478261 11.56521739] ; [1.56521739 2.43478261],0
s5,1,0.66233,0.190705,[ 5 21] ; [1 7],[ 4.58823529 21.41176471] ; [1.41176471 6.58823529],0
b4,1,0.66641,0.18583,[14 12] ; [5 3],[14.52941176 11.47058824] ; [4.47058824 3.52941176],0
b1,1,0.701585,0.146829,[15 11] ; [4 4],[14.52941176 11.47058824] ; [4.47058824 3.52941176],0
a7,1,0.721948,0.126634,[ 8 18] ; [3 5],[ 8.41176471 17.58823529] ; [2.58823529 5.41176471],0
a5,1,0.881318,0.02229,[ 9 17] ; [3 5],[ 9.17647059 16.82352941] ; [2.82352941 5.17647059],0
n1,1,0.905565,0.014074,[8 7] ; [2 2],[7.89473684 7.10526316] ; [2.10526316 1.89473684],0
d2,1,0.910717,0.012574,[ 6 20] ; [2 6],[ 6.11764706 19.88235294] ; [1.88235294 6.11764706],0
p10,1,0.938811,0.005893,[ 9 16] ; [3 5],[ 9.09090909 15.90909091] ; [2.90909091 5.09090909],0
p9,1,0.955212,0.003154,[10 14] ; [3 4],[10.06451613 13.93548387] ; [2.93548387 4.06451613],0
r1,1,0.960968,0.002395,[10 16] ; [3 5],[ 9.94117647 16.05882353] ; [3.05882353 4.94117647],0
p6,1,0.969915,0.001422,[ 3 22] ; [1 7],[ 3.03030303 21.96969697] ; [0.96969697 7.03030303],0
