Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,6e-06,20.383963,[19 38] ; [52 19],[31.6171875 25.3828125] ; [39.3828125 31.6171875],1
s2,1,1.4e-05,18.848679,[13 45] ; [44 29],[25.23664122 32.76335878] ; [31.76335878 41.23664122],1
s5,1,2.1e-05,18.074439,[ 4 52] ; [29 43],[14.4375 41.5625] ; [18.5625 53.4375],1
s7,1,8.6e-05,15.420572,[14 41] ; [43 28],[24.88095238 30.11904762] ; [32.11904762 38.88095238],1
v4,1,0.001338,10.289368,[45 13] ; [71  3],[50.96969697  7.03030303] ; [65.03030303  8.96969697],0
r4,1,0.003591,8.479897,[39 19] ; [66  9],[45.78947368 12.21052632] ; [59.21052632 15.78947368],0
u2,1,0.003753,8.399731,[ 8 20] ; [24 13],[13.78461538 14.21538462] ; [18.21538462 18.78461538],0
s8,1,0.005923,7.573513,[11 47] ; [31 44],[18.31578947 39.68421053] ; [23.68421053 51.31578947],0
p5,1,0.007575,7.131381,[ 2 55] ; [14 60],[ 6.96183206 50.03816794] ; [ 9.03816794 64.96183206],0
u3,1,0.010147,6.608919,[ 8 20] ; [23 15],[13.15151515 14.84848485] ; [17.84848485 20.15151515],0
a4,1,0.018085,5.587927,[18 40] ; [10 62],[12.49230769 45.50769231] ; [15.50769231 56.49230769],0
s4,1,0.020896,5.335477,[ 4 54] ; [16 59],[ 8.72180451 49.27819549] ; [11.27819549 63.72180451],0
a1,1,0.021,5.326794,[ 6 52] ; [ 1 74],[ 3.05263158 54.94736842] ; [ 3.94736842 71.05263158],0
p10,1,0.026742,4.907359,[35 22] ; [57 15],[40.65116279 16.34883721] ; [51.34883721 20.65116279],0
p4,1,0.030432,4.684731,[20 38] ; [39 34],[26.1221374 31.8778626] ; [32.8778626 40.1221374],0
r3,1,0.032473,4.573353,[44 13] ; [68  7],[48.36363636  8.63636364] ; [63.63636364 11.36363636],0
p7,1,0.042057,4.1329,[23 35] ; [42 31],[28.77862595 29.22137405] ; [36.22137405 36.77862595],0
b2,1,0.053327,3.733629,[22 19] ; [16 32],[17.50561798 23.49438202] ; [20.49438202 27.50561798],0
b3,1,0.053327,3.733629,[22 19] ; [16 32],[17.50561798 23.49438202] ; [20.49438202 27.50561798],0
p2,1,0.056046,3.650695,[34 24] ; [55 19],[39.10606061 18.89393939] ; [49.89393939 24.10606061],0
p9,1,0.07931,3.078976,[37 19] ; [59 15],[41.35384615 14.64615385] ; [54.64615385 19.35384615],0
r2,1,0.110553,2.546293,[48 10] ; [68  6],[50.96969697  7.03030303] ; [65.03030303  8.96969697],0
d4,1,0.124325,2.361976,[22 36] ; [38 36],[26.36363636 31.63636364] ; [33.63636364 40.36363636],0
p11,1,0.131549,2.274132,[38 20] ; [58 17],[41.86466165 16.13533835] ; [54.13533835 20.86466165],0
n1,1,0.157299,2.0,[10  6] ; [ 6 10],[8. 8.] ; [8. 8.],0
p8,1,0.228762,1.448539,[24 33] ; [39 35],[27.41221374 29.58778626] ; [35.58778626 38.41221374],0
r1,1,0.237394,1.396005,[37 21] ; [55 20],[40.12030075 17.87969925] ; [51.87969925 23.12030075],0
p6,1,0.240584,1.377169,[16 41] ; [28 46],[19.14503817 37.85496183] ; [24.85496183 49.14503817],0
v1,1,0.240884,1.375413,[23 34] ; [37 36],[26.30769231 30.69230769] ; [33.69230769 39.30769231],0
n5,1,0.257512,1.282085,[46 12] ; [65 10],[48.40601504  9.59398496] ; [62.59398496 12.40601504],0
d3,1,0.306617,1.045193,[20 38] ; [32 42],[22.84848485 35.15151515] ; [29.15151515 44.84848485],0
n6,1,0.322826,0.977462,[44 13] ; [63 12],[46.20454545 10.79545455] ; [60.79545455 14.20454545],0
p12,1,0.328864,0.953364,[ 4 53] ; [ 9 65],[ 5.65648855 51.34351145] ; [ 7.34351145 66.65648855],0
a8,1,0.378721,0.774848,[ 5 49] ; [10 59],[ 6.58536585 47.41463415] ; [ 8.41463415 60.58536585],0
b5,1,0.424184,0.638694,[30 28] ; [44 31],[32.27067669 25.72932331] ; [41.72932331 33.27067669],0
s1,1,0.480343,0.498084,[ 3 55] ; [ 6 66],[ 4.01538462 53.98461538] ; [ 4.98461538 67.01538462],0
a7,1,0.488935,0.47887,[31 27] ; [44 30],[32.95454545 25.04545455] ; [42.04545455 31.95454545],0
v2,1,0.631032,0.230664,[24 32] ; [33 37],[25.33333333 30.66666667] ; [31.66666667 38.33333333],0
a6,1,0.649854,0.206084,[33 25] ; [45 29],[34.27272727 23.72727273] ; [43.72727273 30.27272727],0
a2,1,0.671721,0.179595,[ 5 53] ; [ 5 70],[ 4.36090226 53.63909774] ; [ 5.63909774 69.36090226],0
d2,1,0.696082,0.15258,[13 45] ; [19 56],[13.95488722 44.04511278] ; [18.04511278 56.95488722],0
v3,1,0.701599,0.146814,[20 37] ; [28 45],[21.04615385 35.95384615] ; [26.95384615 46.04615385],0
d1,1,0.719286,0.129178,[ 3 55] ; [ 5 70],[ 3.4887218 54.5112782] ; [ 4.5112782 70.4887218],0
p1,1,0.753739,0.098416,[ 9 49] ; [13 61],[ 9.66666667 48.33333333] ; [12.33333333 61.66666667],0
b1,1,0.769316,0.086007,[27 31] ; [33 42],[26.16541353 31.83458647] ; [33.83458647 41.16541353],0
n2,1,0.776105,0.080882,[12  4] ; [12  5],[11.63636364  4.36363636] ; [12.36363636  4.63636364],0
u1,1,0.793538,0.068497,[ 2 56] ; [ 2 73],[ 1.7443609 56.2556391] ; [ 2.2556391 72.7443609],0
p3,1,0.79532,0.067293,[23 35] ; [31 43],[23.72727273 34.27272727] ; [30.27272727 43.72727273],0
a3,1,0.825584,0.048562,[30 27] ; [37 36],[29.37692308 27.62307692] ; [37.62307692 35.37692308],0
b4,1,0.917649,0.010691,[33 25] ; [42 33],[32.70676692 25.29323308] ; [42.29323308 32.70676692],0
a5,1,0.932114,0.007256,[31 27] ; [39 35],[30.75757576 27.24242424] ; [39.24242424 34.75757576],0
n3,1,0.980588,0.000592,[9 5] ; [11  6],[9.03225806 4.96774194] ; [10.96774194  6.03225806],0
