Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,25.263808,[52 28] ; [ 1 21],[41.56862745 38.43137255] ; [11.43137255 10.56862745],1
d5,1,5e-05,16.443015,[69 11] ; [10 12],[61.96078431 18.03921569] ; [17.03921569  4.96078431],1
a4,1,0.001709,9.838683,[46 34] ; [ 4 17],[39.6039604 40.3960396] ; [10.3960396 10.6039604],0
d2,1,0.005344,7.759222,[45 35] ; [ 5 17],[39.21568627 40.78431373] ; [10.78431373 11.21568627],0
d3,1,0.005416,7.735102,[61 19] ; [10 12],[55.68627451 24.31372549] ; [15.31372549  6.68627451],0
a3,1,0.011774,6.344586,[57 22] ; [ 9 12],[52.14 26.86] ; [13.86  7.14],0
b5,1,0.017164,5.679545,[58 22] ; [10 12],[53.33333333 26.66666667] ; [14.66666667  7.33333333],0
p1,1,0.043905,4.060204,[ 6 73] ; [ 5 17],[ 8.6039604 70.3960396] ; [ 2.3960396 19.6039604],0
r1,1,0.046842,3.951053,[64 15] ; [12  8],[60.64646465 18.35353535] ; [15.35353535  4.64646465],0
u1,1,0.05541,3.669695,[18 62] ; [ 1 21],[14.90196078 65.09803922] ; [ 4.09803922 17.90196078],0
v4,1,0.05767,3.603146,[73  7] ; [16  5],[70.4950495  9.5049505] ; [18.5049505  2.4950495],0
s6,1,0.05923,3.55881,[58 18] ; [11  9],[54.625 21.375] ; [14.375  5.625],0
p2,1,0.071052,3.258557,[61 17] ; [13  9],[57.72 20.28] ; [16.28  5.72],0
r3,1,0.097482,2.746267,[71  8] ; [16  5],[68.73 10.27] ; [18.27  2.73],0
a2,1,0.10111,2.68795,[25 55] ; [ 3 19],[21.96078431 58.03921569] ; [ 6.03921569 15.96078431],0
u3,1,0.120714,2.408027,[15  8] ; [5 8],[12.77777778 10.22222222] ; [7.22222222 5.77777778],0
s5,1,0.121174,2.402079,[31 42] ; [ 5 16],[27.95744681 45.04255319] ; [ 8.04255319 12.95744681],0
p3,1,0.145251,2.121429,[38 39] ; [ 7 15],[35. 42.] ; [10. 12.],0
a6,1,0.150241,2.069805,[50 30] ; [10 12],[47.05882353 32.94117647] ; [12.94117647  9.05882353],0
n5,1,0.187147,1.739935,[51 28] ; [16  4],[53.46464646 25.53535354] ; [13.53535354  6.46464646],0
b4,1,0.201707,1.629972,[45 35] ; [ 9 13],[42.35294118 37.64705882] ; [11.64705882 10.35294118],0
u2,1,0.217444,1.521162,[11 10] ; [4 9],[ 9.26470588 11.73529412] ; [5.73529412 7.26470588],0
s8,1,0.230329,1.43883,[36 42] ; [ 7 15],[33.54 44.46] ; [ 9.46 12.54],0
s2,1,0.240185,1.379506,[47 32] ; [10 12],[44.58415842 34.41584158] ; [12.41584158  9.58415842],0
p6,1,0.259591,1.270935,[27 49] ; [ 5 17],[24.81632653 51.18367347] ; [ 7.18367347 14.81632653],0
a8,1,0.276026,1.186551,[ 8 62] ; [ 4 15],[ 9.43820225 60.56179775] ; [ 2.56179775 16.43820225],0
v2,1,0.2983,1.081777,[47 31] ; [10 11],[44.90909091 33.09090909] ; [12.09090909  8.90909091],0
n2,1,0.305724,1.04906,[18  8] ; [7 1],[19.11764706  6.88235294] ; [5.88235294 2.11764706],0
n3,1,0.305724,1.04906,[18  8] ; [7 1],[19.11764706  6.88235294] ; [5.88235294 2.11764706],0
a5,1,0.332724,0.938268,[56 24] ; [13  9],[54.11764706 25.88235294] ; [14.88235294  7.11764706],0
n6,1,0.445415,0.582294,[52 25] ; [16  5],[53.42857143 23.57142857] ; [14.57142857  6.42857143],0
p7,1,0.562084,0.336109,[38 38] ; [12  9],[39.17525773 36.82474227] ; [10.82474227 10.17525773],0
a7,1,0.576809,0.311421,[56 24] ; [16  5],[57.02970297 22.97029703] ; [14.97029703  6.02970297],0
p4,1,0.59288,0.285869,[38 41] ; [12 10],[39.10891089 39.89108911] ; [10.89108911 11.10891089],0
s4,1,0.595184,0.282321,[14 65] ; [ 5 17],[14.86138614 64.13861386] ; [ 4.13861386 17.86138614],0
u4,1,0.615046,0.252893,[ 2 78] ; [ 1 21],[ 2.35294118 77.64705882] ; [ 0.64705882 21.35294118],0
a1,1,0.627364,0.235653,[ 6 74] ; [ 1 21],[ 5.49019608 74.50980392] ; [ 1.50980392 20.49019608],0
n1,1,0.66641,0.18583,[12 14] ; [3 5],[11.47058824 14.52941176] ; [3.52941176 4.47058824],0
s3,1,0.704224,0.144115,[42 38] ; [12  9],[42.77227723 37.22772277] ; [11.22772277  9.77227723],0
s1,1,0.736668,0.113077,[ 6 72] ; [ 2 18],[ 6.36734694 71.63265306] ; [ 1.63265306 18.36734694],0
p10,1,0.746449,0.10454,[47 30] ; [12  9],[46.35714286 30.64285714] ; [12.64285714  8.35714286],0
b1,1,0.754977,0.097396,[43 37] ; [11 11],[42.35294118 37.64705882] ; [11.64705882 10.35294118],0
