Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,30.333505,[ 19 117] ; [48 56],[37.96666667 98.03333333] ; [29.03333333 74.96666667],1
r1,1,0.000534,11.994573,[91 46] ; [91 15],[102.6090535  34.3909465] ; [79.3909465 26.6090535],1
a5,1,0.012581,6.227029,[87 50] ; [83 23],[95.8436214 41.1563786] ; [74.1563786 31.8436214],0
a3,1,0.022212,5.229135,[83 54] ; [79 27],[91.33333333 45.66666667] ; [70.66666667 35.33333333],0
u1,1,0.033685,4.510642,[ 12 125] ; [19 87],[ 17.47736626 119.52263374] ; [13.52263374 92.47736626],0
d4,1,0.038935,4.263715,[96 40] ; [87 19],[102.84297521  33.15702479] ; [80.15702479 25.84297521],0
a6,1,0.040018,4.217129,[83 53] ; [78 28],[90.47933884 45.52066116] ; [70.52066116 35.47933884],0
r4,1,0.045486,4.000515,[115  22] ; [98  8],[120.08641975  16.91358025] ; [92.91358025 13.08641975],0
r2,1,0.053816,3.718407,[119  16] ; [100   5],[123.1875  11.8125] ; [95.8125  9.1875],0
r3,1,0.059635,3.547511,[124  12] ; [101   3],[127.5   8.5] ; [97.5  6.5],0
v4,1,0.061534,3.495541,[125  12] ; [101   3],[128.47302905   8.52697095] ; [97.52697095  6.47302905],0
s1,1,0.071484,3.248602,[  7 129] ; [  1 104],[  4.51452282 131.48547718] ; [  3.48547718 101.51452282],0
p10,1,0.073416,3.204954,[99 38] ; [87 19],[104.86419753  32.13580247] ; [81.13580247 24.86419753],0
d5,1,0.0836,2.993487,[98 37] ; [87 19],[103.63070539  31.36929461] ; [81.36929461 24.63070539],0
s5,1,0.109029,2.568235,[37 99] ; [37 63],[42.6440678 93.3559322] ; [31.3559322 68.6440678],0
p9,1,0.110145,2.552145,[102  33] ; [89 17],[106.99170124  28.00829876] ; [84.00829876 21.99170124],0
b5,1,0.11084,2.542202,[80 57] ; [51 55],[73.85596708 63.14403292] ; [57.14403292 48.85596708],0
n1,1,0.1244,2.361027,[13 27] ; [ 3 18],[10.49180328 29.50819672] ; [ 5.50819672 15.49180328],0
p2,1,0.127603,2.321429,[122  14] ; [88 18],[118.01652893  17.98347107] ; [91.98347107 14.01652893],0
a7,1,0.127946,2.317246,[89 47] ; [79 27],[94.41322314 41.58677686] ; [73.58677686 32.41322314],0
s7,1,0.138384,2.195834,[59 73] ; [54 45],[64.57142857 67.42857143] ; [48.42857143 50.57142857],0
p11,1,0.156349,2.009183,[102  35] ; [87 19],[106.55555556  30.44444444] ; [82.44444444 23.55555556],0
a2,1,0.180076,1.797,[ 24 113] ; [26 80],[ 28.18930041 108.81069959] ; [21.81069959 84.18930041],0
n2,1,0.181167,1.788027,[27 14] ; [18  4],[29.28571429 11.71428571] ; [15.71428571  6.28571429],0
d3,1,0.189306,1.723009,[84 50] ; [75 31],[88.775 45.225] ; [70.225 35.775],0
p6,1,0.2085,1.581812,[62 74] ; [39 65],[57.23333333 78.76666667] ; [43.76666667 60.23333333],0
