Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,49.794364,[130  44] ; [19 53],[105.3902439  68.6097561] ; [43.6097561 28.3902439],1
s2,1,0.0,34.182672,[154  21] ; [39 33],[136.74089069  38.25910931] ; [56.25910931 15.74089069],1
s3,1,0.0,26.653798,[146  27] ; [37 33],[130.28395062  42.71604938] ; [52.71604938 17.28395062],1
a3,1,5.6e-05,16.220766,[148  27] ; [44 28],[136.03238866  38.96761134] ; [55.96761134 16.03238866],1
n4,1,6.3e-05,16.025052,[147  27] ; [44 28],[135.09756098  38.90243902] ; [55.90243902 16.09756098],1
n5,1,0.003816,8.369147,[145  29] ; [48 24],[136.51219512  37.48780488] ; [56.48780488 15.51219512],0
v3,1,0.003992,8.287609,[86 87] ; [21 50],[75.8647541 97.1352459] ; [31.1352459 39.8647541],0
u2,1,0.010066,6.623265,[19  8] ; [10 18],[14.23636364 12.76363636] ; [14.76363636 13.23636364],0
p6,1,0.018959,5.505253,[91 83] ; [25 45],[82.72131148 91.27868852] ; [33.27868852 36.72131148],0
p9,1,0.020509,5.368079,[163  11] ; [59 11],[158.31147541  15.68852459] ; [63.68852459  6.31147541],0
p7,1,0.031176,4.643244,[130  39] ; [45 26],[123.22916667  45.77083333] ; [51.77083333 19.22916667],0
u3,1,0.048192,3.903272,[22  6] ; [15 13],[18.5  9.5] ; [18.5  9.5],0
p4,1,0.050734,3.817039,[123  51] ; [41 30],[116.47346939  57.52653061] ; [47.52653061 23.47346939],0
p2,1,0.072265,3.230811,[153  23] ; [56 16],[148.32258065  27.67741935] ; [60.67741935 11.32258065],0
v2,1,0.07331,3.207311,[107  66] ; [34 35],[100.79752066  72.20247934] ; [40.20247934 28.79752066],0
b1,1,0.074556,3.179758,[ 70 106] ; [20 52],[ 63.87096774 112.12903226] ; [26.12903226 45.87096774],0
d2,1,0.08533,2.960346,[100  75] ; [32 39],[93.90243902 81.09756098] ; [38.09756098 32.90243902],0
r3,1,0.103229,2.654937,[169   6] ; [66  6],[166.49797571   8.50202429] ; [68.50202429  3.49797571],0
d1,1,0.110944,2.540723,[119  57] ; [41 31],[113.5483871  62.4516129] ; [46.4516129 25.5483871],0
p5,1,0.115321,2.479747,[ 40 136] ; [10 62],[ 35.48387097 140.51612903] ; [14.51612903 57.48387097],0
p3,1,0.119342,2.425937,[104  71] ; [35 37],[98.48178138 76.51821862] ; [40.51821862 31.48178138],0
d5,1,0.16896,1.89215,[150  24] ; [57 15],[146.41463415  27.58536585] ; [60.58536585 11.41463415],0
n1,1,0.171255,1.871921,[25 20] ; [4 8],[22.89473684 22.10526316] ; [6.10526316 5.89473684],0
r1,1,0.191119,1.708971,[152  23] ; [57 14],[148.67886179  26.32113821] ; [60.32113821 10.67886179],0
p1,1,0.252969,1.30683,[ 24 151] ; [ 6 65],[ 21.34146341 153.65853659] ; [ 8.65853659 62.34146341],0
s4,1,0.257007,1.284808,[ 53 121] ; [16 53],[ 49.40740741 124.59259259] ; [19.59259259 49.40740741],0
a2,1,0.263508,1.250233,[ 54 122] ; [17 55],[ 50.38709677 125.61290323] ; [20.61290323 51.38709677],0
r2,1,0.297424,1.085707,[169   5] ; [67  4],[167.60816327   6.39183673] ; [68.39183673  2.60816327],0
u1,1,0.348153,0.880177,[ 44 132] ; [14 58],[ 41.16129032 134.83870968] ; [16.83870968 55.16129032],0
a8,1,0.405755,0.691203,[ 25 133] ; [ 8 61],[ 22.969163 135.030837] ; [10.030837 58.969163],0
v1,1,0.435119,0.609121,[108  67] ; [40 31],[105.28455285  69.71544715] ; [42.71544715 28.28455285],0
d3,1,0.436738,0.604838,[130  45] ; [50 22],[127.53036437  47.46963563] ; [52.46963563 19.53036437],0
p8,1,0.476965,0.505794,[104  68] ; [40 32],[101.50819672  70.49180328] ; [42.49180328 29.50819672],0
n3,1,0.490696,0.475,[31 14] ; [7 5],[30. 15.] ; [8. 4.],0
s1,1,0.50082,0.453199,[  8 164] ; [ 2 70],[  7.04918033 164.95081967] ; [ 2.95081967 69.04918033],0
b5,1,0.506424,0.441449,[97 79] ; [43 29],[99.35483871 76.64516129] ; [40.64516129 31.35483871],0
d4,1,0.517946,0.417982,[152  22] ; [65  7],[153.48780488  20.51219512] ; [63.51219512  8.48780488],0
n2,1,0.527148,0.399886,[38  7] ; [10  3],[37.24137931  7.75862069] ; [10.75862069  2.24137931],0
n6,1,0.54579,0.364913,[155  17] ; [63  9],[153.67213115  18.32786885] ; [64.32786885  7.67213115],0
a5,1,0.553771,0.350605,[145  31] ; [57 15],[143.35483871  32.64516129] ; [58.64516129 13.35483871],0
a1,1,0.555623,0.347339,[ 11 165] ; [ 6 66],[ 12.06451613 163.93548387] ; [ 4.93548387 67.06451613],0
p11,1,0.582019,0.302981,[140  36] ; [55 17],[138.38709677  37.61290323] ; [56.61290323 15.38709677],0
p12,1,0.590261,0.289936,[ 24 152] ; [ 8 64],[ 22.70967742 153.29032258] ; [ 9.29032258 62.70967742],0
p10,1,0.655312,0.199268,[154  21] ; [61 10],[152.94715447  22.05284553] ; [62.05284553  8.94715447],0
r4,1,0.704973,0.143351,[166  10] ; [67  5],[165.35483871  10.64516129] ; [67.64516129  4.35483871],0
b3,1,0.738386,0.11155,[50 69] ; [14 22],[49.13548387 69.86451613] ; [14.86451613 21.13548387],0
b2,1,0.738386,0.11155,[50 69] ; [14 22],[49.13548387 69.86451613] ; [14.86451613 21.13548387],0
b4,1,0.739205,0.110826,[106  70] ; [45 27],[107.16129032  68.83870968] ; [43.83870968 28.16129032],0
a4,1,0.807417,0.059419,[91 85] ; [36 36],[90.12903226 85.87096774] ; [36.87096774 35.12903226],0
a6,1,0.983094,0.000449,[109  65] ; [45 27],[108.92682927  65.07317073] ; [45.07317073 26.92682927],0
a7,1,0.984381,0.000383,[122  54] ; [50 22],[122.06451613  53.93548387] ; [49.93548387 22.06451613],0
v4,1,0.986277,0.000296,[170   5] ; [69  2],[170.0203252   4.9796748] ; [68.9796748  2.0203252],0
