Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000121,14.781784,[38 76] ; [17  5],[46.10294118 67.89705882] ; [ 8.89705882 13.10294118],1
s4,1,0.00486,7.930969,[ 13 100] ; [ 8 15],[17.44852941 95.55147059] ; [ 3.55147059 19.44852941],0
s7,1,0.01673,5.724493,[20 86] ; [ 9 12],[24.20472441 81.79527559] ; [ 4.79527559 16.20472441],0
v2,1,0.022853,5.179665,[27 84] ; [11 12],[31.47761194 79.52238806] ; [ 6.52238806 16.47761194],0
p11,1,0.028606,4.791149,[46 68] ; [15  8],[50.75912409 63.24087591] ; [10.24087591 12.75912409],0
n6,1,0.028863,4.775786,[66 47] ; [19  4],[70.625 42.375] ; [14.375  8.625],0
a5,1,0.101317,2.684682,[53 61] ; [15  8],[56.58394161 57.41605839] ; [11.41605839 11.58394161],0
s2,1,0.106945,2.59879,[26 87] ; [ 9 14],[29.08088235 83.91911765] ; [ 5.91911765 17.08088235],0
d4,1,0.109396,2.562928,[72 40] ; [18  4],[75.2238806 36.7761194] ; [14.7761194  7.2238806],0
p6,1,0.132421,2.263893,[25 86] ; [ 2 21],[22.36567164 88.63432836] ; [ 4.63432836 18.36567164],0
d2,1,0.139701,2.181253,[47 65] ; [13  9],[50.14925373 61.85074627] ; [ 9.85074627 12.14925373],0
n2,1,0.162828,1.94776,[28 25] ; [7 2],[29.91935484 23.08064516] ; [5.08064516 3.91935484],0
r2,1,0.163184,1.944472,[89 24] ; [21  2],[91.39705882 21.60294118] ; [18.60294118  4.39705882],0
p3,1,0.180924,1.79002,[29 85] ; [ 9 14],[31.62043796 82.37956204] ; [ 6.37956204 16.62043796],0
u2,1,0.190777,1.711611,[25 30] ; [2 7],[23.203125 31.796875] ; [3.796875 5.203125],0
s3,1,0.207063,1.591846,[40 72] ; [11 11],[42.62686567 69.37313433] ; [ 8.37313433 13.62686567],0
a8,1,0.230961,1.434936,[  8 100] ; [ 3 16],[ 9.35433071 98.64566929] ; [ 1.64566929 17.35433071],0
u3,1,0.265296,1.240909,[27 28] ; [3 7],[25.38461538 29.61538462] ; [4.61538462 5.38461538],0
b5,1,0.295176,1.095863,[68 46] ; [11 12],[65.73722628 48.26277372] ; [13.26277372  9.73722628],0
a4,1,0.299104,1.078183,[41 72] ; [11 12],[43.20588235 69.79411765] ; [ 8.79411765 14.20588235],0
p1,1,0.303723,1.057775,[  8 105] ; [ 3 19],[  9.20740741 103.79259259] ; [ 1.79259259 20.20740741],0
d1,1,0.333515,0.935201,[47 67] ; [12 11],[49.09489051 64.90510949] ; [ 9.90510949 13.09489051],0
p7,1,0.401027,0.705245,[46 68] ; [11 11],[47.77941176 66.22058824] ; [ 9.22058824 12.77941176],0
r1,1,0.415154,0.663991,[69 45] ; [16  7],[70.72992701 43.27007299] ; [14.27007299  8.72992701],0
b1,1,0.423093,0.641708,[60 54] ; [10 13],[58.24817518 55.75182482] ; [11.75182482 11.24817518],0
d5,1,0.43371,0.612868,[74 39] ; [17  6],[75.61029412 37.38970588] ; [15.38970588  7.61029412],0
p4,1,0.463818,0.536664,[40 73] ; [10 13],[41.54411765 71.45588235] ; [ 8.45588235 14.54411765],0
b4,1,0.466748,0.529663,[65 49] ; [15  8],[66.56934307 47.43065693] ; [13.43065693  9.56934307],0
p2,1,0.469605,0.522905,[60 54] ; [14  9],[61.57664234 52.42335766] ; [12.42335766 10.57664234],0
v4,1,0.498021,0.45915,[86 27] ; [19  4],[87.24264706 25.75735294] ; [17.75735294  5.24264706],0
a2,1,0.508087,0.438004,[ 14 100] ; [ 4 19],[14.97810219 99.02189781] ; [ 3.02189781 19.97810219],0
n3,1,0.511403,0.431195,[28 23] ; [6 3],[28.9 22.1] ; [5.1 3.9],0
r4,1,0.54822,0.360516,[77 37] ; [17  6],[78.2189781 35.7810219] ; [15.7810219  7.2189781],0
a6,1,0.589766,0.29071,[61 52] ; [11 12],[59.82352941 53.17647059] ; [12.17647059 10.82352941],0
v3,1,0.619388,0.246729,[20 90] ; [ 5 17],[20.83333333 89.16666667] ; [ 4.16666667 17.83333333],0
n5,1,0.621054,0.244388,[63 51] ; [14  9],[64.0729927 49.9270073] ; [12.9270073 10.0729927],0
n1,1,0.62163,0.243584,[19 34] ; [4 5],[19.66129032 33.33870968] ; [3.33870968 5.66129032],0
u1,1,0.623957,0.240345,[ 11 103] ; [ 3 20],[ 11.64963504 102.35036496] ; [ 2.35036496 20.64963504],0
p9,1,0.668018,0.183929,[36 77] ; [ 7 12],[36.81060606 76.18939394] ; [ 6.18939394 12.81060606],0
a7,1,0.68456,0.165038,[62 52] ; [13  9],[62.86764706 51.13235294] ; [12.13235294  9.86764706],0
a3,1,0.705859,0.142448,[59 54] ; [13 10],[59.82352941 53.17647059] ; [12.17647059 10.82352941],0
b3,1,0.709959,0.138318,[22 46] ; [ 5 13],[21.34883721 46.65116279] ; [ 5.65116279 12.34883721],0
b2,1,0.709959,0.138318,[22 46] ; [ 5 13],[21.34883721 46.65116279] ; [ 5.65116279 12.34883721],0
s8,1,0.723795,0.124885,[19 95] ; [ 3 19],[18.44117647 95.55882353] ; [ 3.55882353 18.44117647],0
n4,1,0.841702,0.039887,[67 47] ; [13 10],[66.56934307 47.43065693] ; [13.43065693  9.56934307],0
s1,1,0.906693,0.013738,[  9 104] ; [ 2 21],[  9.13970588 103.86029412] ; [ 1.86029412 21.13970588],0
r3,1,0.922823,0.009385,[87 27] ; [17  5],[87.17647059 26.82352941] ; [16.82352941  5.17647059],0
p8,1,0.933224,0.007021,[31 81] ; [ 6 15],[31.15789474 80.84210526] ; [ 5.84210526 15.15789474],0
d3,1,0.940978,0.005482,[58 55] ; [12 11],[58.16176471 54.83823529] ; [11.83823529 11.16176471],0
p5,1,0.98693,0.000268,[  5 108] ; [ 1 22],[  4.98529412 108.01470588] ; [ 1.01470588 21.98529412],0
a1,1,0.990582,0.000139,[ 10 104] ; [ 2 21],[  9.98540146 104.01459854] ; [ 2.01459854 20.98540146],0
