Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,56.016577,[ 28 150] ; [32 13],[ 47.89237668 130.10762332] ; [12.10762332 32.89237668],1
s8,1,9.9e-05,15.154883,[ 28 150] ; [19 26],[ 37.51569507 140.48430493] ; [ 9.48430493 35.51569507],1
s7,1,0.00023,13.565285,[ 31 135] ; [20 24],[ 40.31428571 125.68571429] ; [10.68571429 33.31428571],1
p10,1,0.005412,7.73636,[125  51] ; [41  4],[132.19909502  43.80090498] ; [33.80090498 11.19909502],0
d4,1,0.036504,4.373413,[121  55] ; [38  7],[126.62443439  49.37556561] ; [32.37556561 12.62443439],0
a8,1,0.040314,4.204633,[ 15 143] ; [ 9 34],[ 18.86567164 139.13432836] ; [ 5.13432836 37.86567164],0
p11,1,0.063498,3.443588,[126  52] ; [38  7],[130.9058296  47.0941704] ; [33.0941704 11.9058296],0
p2,1,0.085532,2.956515,[122  54] ; [37  8],[126.62443439  49.37556561] ; [32.37556561 12.62443439],0
r1,1,0.088228,2.906413,[114  63] ; [35 10],[118.7972973  58.2027027] ; [30.2027027 14.7972973],0
r2,1,0.092802,2.825089,[151  24] ; [42  2],[154.22374429  20.77625571] ; [38.77625571  5.22374429],0
p7,1,0.110023,2.553884,[90 86] ; [29 16],[94.76923077 81.23076923] ; [24.23076923 20.76923077],0
r4,1,0.112621,2.517055,[130  48] ; [38  7],[134.09865471  43.90134529] ; [33.90134529 11.09865471],0
v2,1,0.116236,2.467316,[80 90] ; [26 17],[84.60093897 85.39906103] ; [21.39906103 21.60093897],0
n4,1,0.120008,2.417223,[145  33] ; [41  4],[148.46636771  29.53363229] ; [37.53363229  7.46636771],0
r3,1,0.131934,2.269596,[144  32] ; [41  4],[147.33031674  28.66968326] ; [37.66968326  7.33031674],0
p12,1,0.133109,2.255868,[  4 172] ; [ 3 42],[  5.57466063 170.42533937] ; [ 1.42533937 43.57466063],0
v4,1,0.15388,2.033357,[151  26] ; [42  3],[153.87837838  23.12162162] ; [39.12162162  5.87837838],0
p9,1,0.168588,1.895452,[130  44] ; [38  7],[133.47945205  40.52054795] ; [34.52054795 10.47945205],0
d3,1,0.192504,1.698348,[99 78] ; [30 15],[102.85135135  74.14864865] ; [26.14864865 18.85135135],0
