Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,8e-06,19.968925,[ 34 101] ; [113 118],[54.22131148 80.77868852] ; [ 92.77868852 138.22131148],1
p4,1,0.000121,14.777151,[69 66] ; [167  68],[86.10810811 48.89189189] ; [149.89189189  85.10810811],1
p3,1,0.000696,11.499252,[58 78] ; [143  92],[73.6819407 62.3180593] ; [127.3180593 107.6819407],1
p2,1,0.001989,9.559554,[104  32] ; [210  27],[114.48793566  21.51206434] ; [199.51206434  37.48793566],0
n5,1,0.00199,9.558859,[88 45] ; [191  46],[100.28918919  32.71081081] ; [178.71081081  58.28918919],0
b5,1,0.007055,7.258802,[75 61] ; [165  74],[87.04 48.96] ; [152.96  86.04],0
p8,1,0.008541,6.916392,[61 72] ; [140  93],[73.04098361 59.95901639] ; [127.95901639 105.04098361],0
v3,1,0.031501,4.62544,[65 69] ; [140  93],[74.85013624 59.14986376] ; [130.14986376 102.85013624],0
p7,1,0.032,4.598487,[79 55] ; [161  69],[88.35164835 45.64835165] ; [151.64835165  78.35164835],0
s7,1,0.043081,4.092214,[59 70] ; [128  97],[68.1440678 60.8559322] ; [118.8559322 106.1440678],0
s8,1,0.046179,3.975049,[53 82] ; [117 117],[62.19512195 72.80487805] ; [107.80487805 126.19512195],0
u2,1,0.048912,3.878356,[14 20] ; [35 21],[18.51111111 15.48888889] ; [30.48888889 25.51111111],0
r4,1,0.063512,3.443214,[120  16] ; [224  15],[124.75733333  11.24266667] ; [219.24266667  19.75733333],0
p5,1,0.074105,3.189679,[ 11 125] ; [ 34 203],[ 16.4075067 119.5924933] ; [ 28.5924933 208.4075067],0
u1,1,0.07827,3.100474,[ 28 108] ; [ 69 170],[ 35.17866667 100.82133333] ; [ 61.82133333 177.17866667],0
a5,1,0.085423,2.958586,[102  34] ; [197  42],[108.43733333  27.56266667] ; [190.56266667  48.43733333],0
n6,1,0.08811,2.908577,[111  24] ; [209  27],[116.44204852  18.55795148] ; [203.55795148  32.44204852],0
a4,1,0.096278,2.766148,[57 79] ; [121 117],[64.72727273 71.27272727] ; [113.27272727 124.72727273],0
s1,1,0.11353,2.504381,[  1 132] ; [  8 227],[  3.25271739 129.74728261] ; [  5.74728261 229.25271739],0
s6,1,0.115142,2.482184,[86 47] ; [169  64],[92.66393443 40.33606557] ; [162.33606557  70.66393443],0
p1,1,0.126653,2.333052,[  8 128] ; [ 25 212],[ 12.03217158 123.96782842] ; [ 20.96782842 216.03217158],0
p9,1,0.129639,2.296821,[111  23] ; [207  27],[115.79347826  18.20652174] ; [202.20652174  31.79347826],0
p11,1,0.1339,2.246695,[104  32] ; [198  41],[109.52533333  26.47466667] ; [192.47466667  46.52533333],0
s4,1,0.1343,2.242088,[ 25 110] ; [ 30 205],[ 20.06756757 114.93243243] ; [ 34.93243243 200.06756757],0
d3,1,0.141697,2.15943,[106  30] ; [200  38],[111.27272727  24.72727273] ; [194.72727273  43.27272727],0
n4,1,0.142877,2.146702,[99 36] ; [191  48],[104.67914439  30.32085561] ; [185.32085561  53.67914439],0
a2,1,0.155332,2.019089,[37 99] ; [ 82 157],[43.15733333 92.84266667] ; [ 75.84266667 163.15733333],0
v4,1,0.156497,2.007754,[126   8] ; [230   7],[128.58221024   5.41778976] ; [227.41778976   9.58221024],0
d1,1,0.217351,1.521777,[86 50] ; [166  73],[91.392 44.608] ; [160.608  78.392],0
a8,1,0.231409,1.432178,[ 15 107] ; [ 35 168],[ 18.76923077 103.23076923] ; [ 31.23076923 171.76923077],0
n1,1,0.234411,1.413893,[ 7 23] ; [16 28],[ 9.32432432 20.67567568] ; [13.67567568 30.32432432],0
u3,1,0.2673,1.23055,[18 17] ; [36 21],[20.54347826 14.45652174] ; [33.45652174 23.54347826],0
