Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.791667,[231  12] ; [7 5],[226.8  16.2] ; [11.2  0.8],1
p7,1,0.000118,14.821526,[189  46] ; [4 8],[183.62348178  51.37651822] ; [9.37651822 2.62348178],1
r2,1,0.000325,12.919606,[233   8] ; [9 3],[230.52173913  10.47826087] ; [11.47826087  0.52173913],1
r1,1,0.000532,11.998819,[208  32] ; [6 6],[203.80952381  36.19047619] ; [10.19047619  1.80952381],1
v2,1,0.017871,5.608775,[143  97] ; [3 9],[139.04761905 100.95238095] ; [6.95238095 5.04761905],0
b1,1,0.030872,4.660088,[ 87 156] ; [8 4],[ 90.52941176 152.47058824] ; [4.47058824 7.52941176],0
p11,1,0.038106,4.300267,[200  43] ; [7 5],[197.25882353  45.74117647] ; [9.74117647 2.25882353],0
d5,1,0.059037,3.564246,[209  33] ; [8 4],[206.7480315  35.2519685] ; [10.2519685  1.7480315],0
p8,1,0.063551,3.442196,[153  86] ; [4 7],[150.092  88.908] ; [6.908 4.092],0
d3,1,0.079404,3.077059,[178  65] ; [6 6],[175.34117647  67.65882353] ; [8.65882353 3.34117647],0
s2,1,0.083116,3.002901,[176  65] ; [6 6],[173.36758893  67.63241107] ; [8.63241107 3.36758893],0
p10,1,0.083893,2.987817,[219  23] ; [9 3],[217.22834646  24.77165354] ; [10.77165354  1.22834646],0
n6,1,0.101107,2.688,[216  24] ; [9 3],[214.28571429  25.71428571] ; [10.71428571  1.28571429],0
p4,1,0.103152,2.656116,[174  68] ; [6 6],[171.49606299  70.50393701] ; [8.50393701 3.49606299],0
s3,1,0.106687,2.602622,[170  67] ; [6 6],[167.51807229  69.48192771] ; [8.48192771 3.51807229],0
p6,1,0.111099,2.538524,[116 123] ; [3 9],[113.31075697 125.68924303] ; [5.68924303 6.31075697],0
a2,1,0.122446,2.385751,[ 70 173] ; [ 1 11],[ 67.65882353 175.34117647] ; [3.34117647 8.65882353],0
s7,1,0.123891,2.367434,[158  75] ; [5 6],[155.65163934  77.34836066] ; [7.34836066 3.65163934],0
v1,1,0.125587,2.346218,[152  87] ; [5 7],[149.4940239  89.5059761] ; [7.5059761 4.4940239],0
p1,1,0.131485,2.274887,[ 26 215] ; [3 9],[ 27.62450593 213.37549407] ; [ 1.37549407 10.62450593],0
d4,1,0.16537,1.92442,[214  28] ; [9 3],[212.46456693  29.53543307] ; [10.53543307  1.46456693],0
p9,1,0.173589,1.851669,[223  17] ; [9 2],[221.83266932  18.16733068] ; [10.16733068  0.83266932],0
b2,1,0.178835,1.807283,[65 79] ; [2 7],[63.05882353 80.94117647] ; [3.94117647 5.05882353],0
b3,1,0.178835,1.807283,[65 79] ; [2 7],[63.05882353 80.94117647] ; [3.94117647 5.05882353],0
v3,1,0.185836,1.750327,[107 134] ; [3 9],[104.7826087 136.2173913] ; [5.2173913 6.7826087],0
u1,1,0.212867,1.551819,[ 58 185] ; [ 1 11],[ 56.22352941 186.77647059] ; [2.77647059 9.22352941],0
s1,1,0.233723,1.418057,[  6 232] ; [ 1 11],[  6.664 231.336] ; [ 0.336 11.664],0
d1,1,0.247575,1.336935,[161  82] ; [6 6],[159.14117647  83.85882353] ; [7.85882353 4.14117647],0
v4,1,0.294226,1.100184,[234   7] ; [11  1],[233.37944664   7.62055336] ; [11.62055336  0.37944664],0
a3,1,0.299001,1.078644,[191  50] ; [8 4],[189.56126482  51.43873518] ; [9.43873518 2.56126482],0
n4,1,0.308333,1.037804,[192  49] ; [11  1],[193.3715415  47.6284585] ; [9.6284585 2.3715415],0
b5,1,0.329155,0.952218,[127 116] ; [8 4],[128.64705882 114.35294118] ; [6.35294118 5.64705882],0
d2,1,0.336383,0.924168,[127 115] ; [8 4],[128.62204724 113.37795276] ; [6.37795276 5.62204724],0
